plant_ID,root associated,root_length_cm,length_longest_leaf_cm,petiole_longest_leaf_cm,width_longest_leaf_cm,leaves_number,eaten_leaves,temperature_C,petiole-length-ratio,length-width-ratio,longitude_GMS,latitude_GMS,altitude,date,time,comments,season,year,location,petiole_length_ratio,aspect_ratio
5,NA,NA,0.725,0.193,0.496,11,n,4.4,0.266206896551724,1.4616935483871,NA,NA,NA,NA,NA,NA,Winter,2021,Spiekeroog,0.266206896551724,0.684137931034483
6,NA,NA,0.726,0.241,0.4,12,n,4.3,0.331955922865014,1.815,NA,NA,NA,NA,NA,NA,Winter,2021,Spiekeroog,0.331955922865014,0.550964187327824
7,NA,NA,0.406,0.13,0.291,12,n,4.3,0.320197044334975,1.39518900343643,NA,NA,NA,NA,NA,NA,Winter,2021,Spiekeroog,0.320197044334975,0.716748768472906
8,NA,NA,0.421,0.139,0.277,10,n,4.3,0.330166270783848,1.51985559566787,NA,NA,NA,NA,NA,NA,Winter,2021,Spiekeroog,0.330166270783848,0.657957244655582
9,NA,NA,0.618,0.23,0.305,10,n,4.4,0.372168284789644,2.02622950819672,NA,NA,NA,NA,NA,NA,Winter,2021,Spiekeroog,0.372168284789644,0.493527508090615
10,NA,NA,0.66,0.242,0.313,10,n,NA,0.366666666666667,2.10862619808307,NA,NA,NA,NA,NA,temp. Nicht erkennbar,Winter,2021,Oldenburg,0.366666666666667,0.474242424242424
11,NA,NA,1.099,0.488,0.443,10,n,5.6,0.444040036396724,2.48081264108352,NA,NA,NA,NA,NA,NA,Winter,2021,Oldenburg,0.444040036396724,0.403093721565059
16,12,4.125,0.699,0.148,0.372,8,n,3,0.21173104434907,1.87903225806452,NA,NA,NA,NA,NA,NA,Winter,2021,Spiekeroog,0.21173104434907,0.532188841201717
19,NA,NA,0.755,0.312,0.318,9,n,4.4,0.413245033112583,2.37421383647799,NA,NA,NA,NA,NA,NA,Winter,2021,Oldenburg,0.413245033112583,0.421192052980132
21,NA,NA,1.05,0.481,0.475,10,n,5.1,0.458095238095238,2.21052631578947,NA,NA,NA,NA,NA,NA,Winter,2021,Oldenburg,0.458095238095238,0.452380952380952
23,NA,NA,0.724,0.226,0.314,9,n,5,0.312154696132597,2.30573248407643,NA,NA,NA,NA,NA,NA,Winter,2021,Oldenburg,0.312154696132597,0.433701657458564
25,NA,NA,0.923,0.379,0.511,9,y,4.9,0.410617551462622,1.80626223091977,NA,NA,NA,NA,NA,angefressen,Winter,2021,Oldenburg,0.410617551462622,0.553629469122427
26,NA,NA,0.441,0.18,0.233,7,n,3.3,0.408163265306123,1.89270386266094,NA,NA,NA,2021-12-06,1899-12-31 11:16:00,2 temp. Angegeben,Winter,2021,Oldenburg,0.408163265306122,0.528344671201814
27,NA,NA,0.542,0.172,0.302,13,n,4,0.317343173431734,1.79470198675497,NA,NA,NA,NA,NA,bild 008,Winter,2021,Spiekeroog,0.317343173431734,0.557195571955719
33,NA,NA,0.723,0.302,0.289,12,y,4.8,0.417704011065007,2.50173010380623,8.16589166666667,53.1520666666667,49.286,2021-12-08,1899-12-31 15:46:00,raue oberfläche, etwas angefressen, zahnige Blätter,Winter,2021,Oldenburg,0.417704011065007,0.399723374827109
36,NA,NA,0.444,0.199,0.248,7,n,5.1,0.448198198198198,1.79032258064516,NA,NA,NA,NA,NA,NA,Winter,2021,Oldenburg,0.448198198198198,0.558558558558559
37,4,4.7,0.752,0.28,0.335,12,n,3.2,0.372340425531915,2.24477611940299,NA,NA,NA,NA,NA,NA,Winter,2021,Spiekeroog,0.372340425531915,0.445478723404255
43,NA,NA,0.821,0.244,0.36,12,n,5.2,0.297198538367844,2.28055555555556,NA,NA,NA,NA,NA,NA,Winter,2021,Spiekeroog,0.297198538367844,0.438489646772229
44,NA,NA,0.609,0.32,0.278,7,n,3.1,0.525451559934319,2.19064748201439,NA,NA,NA,2021-12-06,1899-12-31 11:09:00,wächst halb unter/am Rande eines gegenstands,Winter,2021,Oldenburg,0.525451559934319,0.456486042692939
45,NA,NA,0.822,0.317,0.369,11,y,4.7,0.385644768856448,2.22764227642276,NA,NA,NA,NA,NA,einige blätter etwas angefressen,Winter,2021,Oldenburg,0.385644768856448,0.448905109489051
47,NA,NA,0.566,0.171,0.263,9,n,4.4,0.302120141342756,2.15209125475285,8.16566944444445,53.152,29.518,2021-12-08,1899-12-31 15:41:00,NA,Winter,2021,Oldenburg,0.302120141342756,0.464664310954064
