plant_ID,length_longest_leaf_cm,petiole_longest_leaf_cm,width_longest_leaf_cm,leaves_number,temperature_C,longitude_GMS,latitude_GMS,season,year,location,petiole_length_ratio,aspect_ratio
5,0.725,0.193,0.496,11,4.4,NA,NA,Winter,2021,Spiekeroog,0.266206896551724,0.684137931034483
6,0.726,0.241,0.4,12,4.3,NA,NA,Winter,2021,Spiekeroog,0.331955922865014,0.550964187327824
7,0.406,0.13,0.291,12,4.3,NA,NA,Winter,2021,Spiekeroog,0.320197044334975,0.716748768472906
8,0.421,0.139,0.277,10,4.3,NA,NA,Winter,2021,Spiekeroog,0.330166270783848,0.657957244655582
9,0.618,0.23,0.305,10,4.4,NA,NA,Winter,2021,Spiekeroog,0.372168284789644,0.493527508090615
16,0.699,0.148,0.372,8,3,NA,NA,Winter,2021,Spiekeroog,0.21173104434907,0.532188841201717
27,0.542,0.172,0.302,13,4,NA,NA,Winter,2021,Spiekeroog,0.317343173431734,0.557195571955719
37,0.752,0.28,0.335,12,3.2,NA,NA,Winter,2021,Spiekeroog,0.372340425531915,0.445478723404255
43,0.821,0.244,0.36,12,5.2,NA,NA,Winter,2021,Spiekeroog,0.297198538367844,0.438489646772229
48,NA,NA,NA,NA,4.4,NA,NA,Winter,2021,Spiekeroog,NA,NA
49,0.532,0.17,0.322,8,5,NA,NA,Winter,2021,Spiekeroog,0.319548872180451,0.605263157894737
50,0.835,0.321,0.429,10,4.3,NA,NA,Winter,2021,Spiekeroog,0.384431137724551,0.51377245508982
51,0.702,0.291,0.35,14,3.7,NA,NA,Winter,2021,Spiekeroog,0.414529914529915,0.498575498575499
53,0.862,0.299,0.497,12,4.2,NA,NA,Winter,2021,Spiekeroog,0.346867749419954,0.576566125290023
59,0.686,0.29,0.251,13,4.2,NA,NA,Winter,2021,Spiekeroog,0.422740524781341,0.365889212827988
62,0.506,0.131,0.313,7,4.1,NA,NA,Winter,2021,Spiekeroog,0.258893280632411,0.618577075098814
65,0.978,0.292,0.477,13,3.4,NA,NA,Winter,2021,Spiekeroog,0.298568507157464,0.487730061349693
66,0.439,0.175,0.301,9,3.5,NA,NA,Winter,2021,Spiekeroog,0.398633257403189,0.685649202733485
78,0.714,0.26,0.336,10,3.2,NA,NA,Winter,2021,Spiekeroog,0.364145658263305,0.470588235294118
80,1.07,0.429,0.503,12,4.5,NA,NA,Winter,2021,Spiekeroog,0.400934579439252,0.470093457943925
82,0.591,0.231,0.224,10,3.2,NA,NA,Winter,2021,Spiekeroog,0.390862944162437,0.379018612521151
83,0.647,0.242,0.271,10,3.9,NA,NA,Winter,2021,Spiekeroog,0.37403400309119,0.418856259659969
85,0.665,0.203,0.419,11,4.5,NA,NA,Winter,2021,Spiekeroog,0.305263157894737,0.630075187969925
87,0.76,0.32,0.386,13,3.5,NA,NA,Winter,2021,Spiekeroog,0.421052631578947,0.507894736842105
88,0.732,0.316,0.356,10,3.3,NA,NA,Winter,2021,Spiekeroog,0.431693989071038,0.486338797814208
89,0.639,0.219,0.415,10,4.3,NA,NA,Winter,2021,Spiekeroog,0.342723004694836,0.649452269170579
93,1.147,0.435,0.432,10,3.6,NA,NA,Winter,2021,Spiekeroog,0.379250217959895,0.376634699215344
94,0.625,0.228,0.327,9,4.3,NA,NA,Winter,2021,Spiekeroog,0.3648,0.5232
95,0.672,0.233,0.365,13,4.2,NA,NA,Winter,2021,Spiekeroog,0.34672619047619,0.543154761904762
97,0.789,0.418,0.245,11,3.1,NA,NA,Winter,2021,Spiekeroog,0.5297845373891,0.310519645120406
98,0.837,0.313,0.326,10,3.5,NA,NA,Winter,2021,Spiekeroog,0.373954599761051,0.389486260454002
101,0.615,0.223,0.373,11,3.8,7.72273583333333,53.7742472222222,Winter,2021,Spiekeroog,0.36260162601626,0.60650406504065
102,0.609,0.217,0.287,12,3.3,7.72272194444444,53.7742722222222,Winter,2021,Spiekeroog,0.35632183908046,0.471264367816092
103,0.82,0.306,0.438,10,2.5,7.72271388888889,53.7743944444444,Winter,2021,Spiekeroog,0.373170731707317,0.534146341463415
104,0.758,0.2,0.467,10,0.6,7.72583583333333,53.7682719444444,Winter,2021,Spiekeroog,0.263852242744063,0.616094986807388
105,0.671,0.209,0.495,10,3.6,7.72275527777778,53.7743830555556,Winter,2021,Spiekeroog,0.311475409836065,0.737704918032787
106,0.734,0.325,0.432,7,3.5,7.72270555555556,53.7744052777778,Winter,2021,Spiekeroog,0.442779291553134,0.588555858310627
107,1.068,0.357,0.549,6,2.5,7.7227025,53.7744361111111,Winter,2021,Spiekeroog,0.334269662921348,0.514044943820225
108,0.48,0.184,0.23,8,0.6,7.72260555555556,53.7744330555556,Winter,2021,Spiekeroog,0.383333333333333,0.479166666666667
109,0.627,0.251,0.317,10,3.3,7.72275527777778,53.7742580555556,Winter,2021,Spiekeroog,0.400318979266348,0.505582137161085
110,1.194,0.433,0.549,12,0.7,7.72530527777778,53.7684055555556,Winter,2021,Spiekeroog,0.362646566164154,0.459798994974874
111,0.983,0.303,0.475,7,-0.4,7.72520833333333,53.7683552777778,Winter,2021,Spiekeroog,0.30824008138352,0.483214649033571
112,0.504,0.165,0.304,9,2.9,7.7227025,53.7744138888889,Winter,2021,Spiekeroog,0.327380952380952,0.603174603174603
113,1.114,0.6,0.489,8,1.4,7.72273888888889,53.7743719444444,Winter,2021,Spiekeroog,0.538599640933573,0.438958707360862
114,0.591,0.224,0.302,9,3.7,7.72271083333333,53.7742413888889,Winter,2021,Spiekeroog,0.379018612521151,0.510998307952623
115,1.009,0.278,0.434,12,3.5,7.72273055555556,53.7742722222222,Winter,2021,Spiekeroog,0.275520317145689,0.430128840436075
116,0.953,0.375,0.442,9,3.7,7.72269444444444,53.7744194444444,Winter,2021,Spiekeroog,0.393494228751312,0.463798530954879
117,0.672,0.146,0.385,7,4,7.72272194444444,53.7743025,Winter,2021,Spiekeroog,0.217261904761905,0.572916666666667
118,1.214,0.464,0.54,17,3.8,7.72518055555556,53.7683219444444,Winter,2021,Spiekeroog,0.382207578253707,0.444810543657331
119,1.245,0.525,0.452,10,2.1,7.7252275,53.7683527777778,Winter,2021,Spiekeroog,0.421686746987952,0.363052208835341
120,0.526,0.205,0.316,9,2.7,7.72524138888889,53.768325,Winter,2021,Spiekeroog,0.389733840304182,0.600760456273764
121,1.342,0.762,0.351,10,2.7,7.72269694444444,53.7744305555556,Winter,2021,Spiekeroog,0.567809239940387,0.261549925484352
122,0.889,0.379,0.39,12,2.7,7.72533888888889,53.7682802777778,Winter,2021,Spiekeroog,0.426321709786277,0.438695163104612
123,1.029,0.393,0.458,11,3.1,7.72527194444444,53.7683944444444,Winter,2021,Spiekeroog,0.381924198250729,0.445092322643343
124,1.007,0.344,0.447,9,0.7,7.71823055555556,53.7682305555556,Winter,2021,Spiekeroog,0.341608738828203,0.443892750744787
125,0.599,0.26,0.326,9,3.9,7.72271083333333,53.7742219444444,Winter,2021,Spiekeroog,0.434056761268781,0.54424040066778
126,0.709,0.272,0.381,8,3.7,7.72273333333333,53.7742580555556,Winter,2021,Spiekeroog,0.383638928067701,0.53737658674189
127,0.693,0.293,0.314,11,2.7,7.72271083333333,53.7744222222222,Winter,2021,Spiekeroog,0.422799422799423,0.453102453102453
128,1.249,0.476,0.53,18,0.1,7.72523583333333,53.7683636111111,Winter,2021,Spiekeroog,0.381104883907126,0.424339471577262
129,0.868,0.277,0.503,8,3.6,7.72274138888889,53.7742497222222,Winter,2021,Spiekeroog,0.319124423963134,0.579493087557604
130,0.946,0.447,0.434,9,3.1,7.72268055555556,53.7743802777778,Winter,2021,Spiekeroog,0.472515856236786,0.45877378435518
131,0.775,0.309,0.375,10,3.6,7.72275527777778,53.7742525,Winter,2021,Spiekeroog,0.398709677419355,0.483870967741935
132,1.184,0.636,0.512,9,1.4,7.72273888888889,53.7743719444444,Winter,2021,Spiekeroog,0.537162162162162,0.432432432432432
133,0.843,0.317,0.333,11,3.4,7.72272194444444,53.7742691666667,Winter,2021,Spiekeroog,0.376037959667853,0.395017793594306
134,1.352,0.537,0.521,8,1,7.72524444444444,53.7683861111111,Winter,2021,Spiekeroog,0.397189349112426,0.385355029585799
135,0.801,0.294,0.471,12,4.1,7.72274444444444,53.7742525,Winter,2021,Spiekeroog,0.367041198501873,0.588014981273408
136,1.1,0.424,0.438,11,2.7,7.72274694444444,53.7744444444444,Winter,2021,Spiekeroog,0.385454545454545,0.398181818181818
137,0.702,0.213,0.391,11,1,NA,NA,Winter,2021,Spiekeroog,0.303418803418803,0.556980056980057
138,0.89,0.306,0.43,8,3.6,7.72277777777778,53.7742413888889,Winter,2021,Spiekeroog,0.343820224719101,0.48314606741573
139,0.675,0.214,0.431,11,1.1,7.72275527777778,53.7743136111111,Winter,2021,Spiekeroog,0.317037037037037,0.638518518518518
140,0.954,0.466,0.422,6,1.1,7.72275527777778,53.7743136111111,Winter,2021,Spiekeroog,0.488469601677149,0.442348008385744
141,0.618,0.202,0.33,9,3.7,7.72276388888889,53.7742525,Winter,2021,Spiekeroog,0.326860841423948,0.533980582524272
142,0.603,0.225,0.314,7,3.1,7.72266111111111,53.7742222222222,Winter,2021,Spiekeroog,0.373134328358209,0.520729684908789
143,0.826,0.387,0.334,11,3.9,7.72274694444444,53.7742194444444,Winter,2021,Spiekeroog,0.468523002421308,0.404358353510896
144,0.574,0.188,0.296,8,3.1,7.72277194444444,53.7743552777778,Winter,2021,Spiekeroog,0.327526132404181,0.515679442508711
145,0.419,0.167,0.229,10,3.9,7.72276083333333,53.8388888888889,Winter,2021,Spiekeroog,0.398568019093079,0.54653937947494
146,0.576,0.278,0.311,7,2.9,7.72269444444444,53.7744194444444,Winter,2021,Spiekeroog,0.482638888888889,0.539930555555556
147,0.851,0.285,0.422,8,3.8,7.72275277777778,53.7742525,Winter,2021,Spiekeroog,0.334900117508813,0.495887191539366
148,1.17,0.569,0.396,9,3.4,7.72272194444444,53.7742722222222,Winter,2021,Spiekeroog,0.486324786324786,0.338461538461538
149,1.842,0.717,0.716,16,NA,7.7252275,53.7683611111111,Winter,2021,Spiekeroog,0.389250814332248,0.38870792616721
150,1.202,0.54,0.406,16,2.9,7.7227025,53.7744194444444,Winter,2021,Spiekeroog,0.449251247920133,0.337770382695508
151,0.734,0.225,0.38,9,3.6,7.72275277777778,53.7742580555556,Winter,2021,Spiekeroog,0.306539509536785,0.517711171662125
