,Variable,W,P_value
W,Length longest leaf_2023,0.814081746364965,7.9657135264086e-20
W1,Length longest leaf_2024,0.695136715260927,9.53573459753521e-13
W2,Length longest leaf_2025,0.671909531331403,1.43673102017766e-31
W3,Petiole longest leaf_2023,0.820881169199133,1.77665934960539e-19
W4,Petiole longest leaf_2024,0.947886243378663,0.000863604216333401
W5,Petiole longest leaf_2025,0.658949392477772,4.77630712458819e-32
W6,Stem width_2023,0.956073422077542,9.61325196617275e-09
W7,Stem width_2024,0.958234418563501,0.00409839461853002
W8,Stem width_2025,0.976572738555163,7.52583534572364e-08
W9,Width longest leaf_2023,0.652820500274175,3.66953921913323e-26
W10,Width longest leaf_2024,0.909213652587793,6.46064062257709e-06
W11,Width longest leaf_2025,0.952022581734561,1.93624725638347e-10
W12,Leaf number_2023,0.888983009439113,2.67120257774234e-15
W13,Leaf number_2024,0.926534218160189,4.94755460073923e-05
W14,Leaf number_2025,0.822044341462013,1.61786966511354e-24
W15,Cauline leaf_2023,0.611980526951864,2.17641748999345e-27
W16,Cauline leaf_2024,0.756013406367246,2.9086746623402e-11
W17,Cauline leaf_2025,0.96535687593532,2.87058388001225e-10
W18,Flowers_2023,0.711181935007782,3.38445508646971e-24
W19,Flowers_2024,0.77307990961985,8.40656790337398e-11
W20,Flowers_2025,0.843329650506545,3.62195501800204e-23
W21,Plant length_2023,0.994899666479182,0.297148576038952
W22,Plant length_2024,0.985956892899421,0.407973296990081
W23,Plant length_2025,0.673316841724807,1.62259875673158e-31
W24,Sideshoots_2023,0.553740513062676,5.65869624461802e-29
W25,Sideshoots_2024,0.53926261446472,8.98248927493054e-16
W26,Sideshoots_2025,0.413147303567001,3.81057787968547e-39
W27,Sidebranch_2023,0.7721546507093,8.72796092591572e-22
W28,Sidebranch_2024,0.901134771840296,2.68210150228891e-06
W29,Sidebranch_2025,0.791055288279803,2.81583888088226e-26
W30,aspect_ratio_2023,0.302597566644962,2.38127003950458e-34
W31,aspect_ratio_2024,0.982547223533123,0.23773538534299
W32,aspect_ratio_2025,0.924290949810828,1.01379650508452e-13
W33,petiole_length_ratio_2023,0.726782435340509,1.27732590521016e-23
W34,petiole_length_ratio_2024,0.940004949733654,0.000285460717940807
W35,petiole_length_ratio_2025,0.868286330590972,2.14857961038438e-21
