,Variable,W,P_value
W,Length longest leaf_2021,0.941178585170996,2.52913187942825e-05
W1,Length longest leaf_2022,0.859411374551674,1.55062143455911e-09
W2,Length longest leaf_2023,0.831758469588284,1.91417249005026e-17
W3,Length longest leaf_2024,0.824913812285388,3.37984500748394e-24
W4,Length longest leaf_2025,0.914784752071187,1.2096374632649e-10
W5,Petiole longest leaf_2021,0.799738509006135,4.89881412413928e-12
W6,Petiole longest leaf_2022,0.784965366292686,2.98598015625142e-12
W7,Petiole longest leaf_2023,0.791179262207621,2.22034353672733e-19
W8,Petiole longest leaf_2024,0.788302213712529,2.86000800703922e-26
W9,Petiole longest leaf_2025,0.916085276080902,1.52421731361568e-10
W10,Stem width_2021,0.963636735514711,0.00148520472435142
W11,Stem width_2022,0.955413146019786,0.000407521255857253
W12,Stem width_2023,0.942179447138042,1.70903874758987e-09
W13,Stem width_2024,0.946670614484352,2.82437596045463e-13
W14,Stem width_2025,0.942677167031394,3.14554371447203e-08
W15,Width longest leaf_2021,0.938315933751907,1.59236621184404e-05
W16,Width longest leaf_2022,0.46960199907782,2.61105324818711e-19
W17,Width longest leaf_2023,0.792923149537264,2.65217329334537e-19
W18,Width longest leaf_2024,0.959346514213888,2.81702607789261e-11
W19,Width longest leaf_2025,0.936299420983109,7.76632787667927e-09
W20,Leaf number_2021,0.881092578370952,8.67388717801748e-09
W21,Leaf number_2022,0.965649294413758,0.00287223841315584
W22,Leaf number_2023,0.83263935033283,2.1263369178145e-17
W23,Leaf number_2024,0.970051238239362,3.11254491717392e-09
W24,Leaf number_2025,0.97124071266137,7.03749095527227e-05
W25,Cauline leaf_2021,0.945082550797744,4.8415298433446e-05
W26,Cauline leaf_2022,0.770136515755525,3.30287249496566e-11
W27,Cauline leaf_2023,0.437374470868379,1.12317162147417e-29
W28,Cauline leaf_2024,0.940322450150334,3.705789200487e-14
W29,Cauline leaf_2025,0.933639883362624,4.44472275712734e-09
W30,Flowers_2021,0.917064746700066,6.96797568678194e-07
W31,Flowers_2022,0.491865119890116,8.70420804860259e-19
W32,Flowers_2023,0.432093817804107,8.75606300379153e-30
W33,Flowers_2024,0.785385396042296,2.2266037205712e-26
W34,Flowers_2025,0.91854051412972,2.37330364434187e-10
W35,Plant length_2021,0.874044901546994,4.0558912147425e-09
W36,Plant length_2022,0.950842083116576,0.000192636126639151
W37,Plant length_2023,0.977256546856437,0.00010602897921054
W38,Plant length_2024,0.978774553000447,3.26704014738867e-07
W39,Plant length_2025,0.980661297648672,0.00196167458395782
W40,Sideshoots_2021,0.704622890719036,7.71808821566585e-15
W41,Sideshoots_2022,0.557953371912633,9.61737925018108e-18
W42,Sideshoots_2023,0.554102746609525,4.73393082098223e-27
W43,Sideshoots_2024,0.354603277790685,2.89102130815317e-40
W44,Sideshoots_2025,0.19727995912602,3.86310253913149e-31
W45,Sidebranch_2021,0.888678163014229,2.23451587306103e-08
W46,Sidebranch_2022,0.579000264182735,2.8829057729047e-17
W47,Sidebranch_2023,0.302940996068043,3.297339756809e-32
W48,Sidebranch_2024,0.69794967318255,2.27729979144354e-30
W49,Sidebranch_2025,0.68622965940382,3.89984133421045e-21
W50,aspect_ratio_2021,0.989158130464555,0.402086528247478
W51,aspect_ratio_2022,0.407036308314243,2.6480175560748e-20
W52,aspect_ratio_2023,0.970044345057832,6.32778911475452e-06
W53,aspect_ratio_2024,0.810705968962121,4.87801125404858e-25
W54,aspect_ratio_2025,0.963655816710902,6.77553913861099e-06
W55,petiole_length_ratio_2021,0.381556989756206,4.52929916892066e-21
W56,petiole_length_ratio_2022,0.675119473283504,2.93144676194198e-15
W57,petiole_length_ratio_2023,0.918101713922293,8.62451154331545e-12
W58,petiole_length_ratio_2024,0.809717335844765,4.28127351095464e-25
W59,petiole_length_ratio_2025,0.976986947202273,0.000503328716535012
