plant_ID,leaves_number,petiole_longest_leaf_cm,length_longest_leaf_cm,width_longest_leaf_cm,stem_cm,Cauline_leaves,flowers,plant_length_cm,Sideshoots,Sidebranch,location,season,year,longitude_GMS,latitude_GMS,temperature_C,petiole_length_ratio,aspect_ratio,leaf_to_stem,leaf_plant_length,stem_plant_length,Sideshoot_to_plant_length,flower_to_plnat_length,plant_length_latitude
1_1,9,1.75,1.3,0.6,0.6,3,49,8.8,6,1,Spiekeroog,Spring,2021,NA,NA,NA,1.34615384615385,0.461538461538462,2.16666666666667,1.02272727272727,0.0681818181818182,0.681818181818182,5.56818181818182,NA
1_2,4,0.9,0.8,0.4,0.9,4,19,84.1,0,1,Spiekeroog,Spring,2021,NA,NA,NA,1.125,0.5,0.888888888888889,0.0475624256837099,0.0107015457788347,0,0.225921521997622,NA
1_3,7,3.2,0.9,0.3,0.7,4,10,68.8,2,0,Spiekeroog,Spring,2021,NA,NA,NA,3.55555555555556,0.333333333333333,1.28571428571429,0.101744186046512,0.0101744186046512,0.0290697674418605,0.145348837209302,NA
1_4,2,1.3,0.7,0.2,0.3,5,19,18.3,1,2,Spiekeroog,Spring,2021,NA,NA,NA,1.85714285714286,0.285714285714286,2.33333333333333,0.109289617486339,0.0163934426229508,0.0546448087431694,1.03825136612022,NA
1_5,11,1,1.3,0.4,0.5,5,21,11.4,2,0,Spiekeroog,Spring,2021,NA,NA,NA,0.769230769230769,0.307692307692308,2.6,0.964912280701754,0.043859649122807,0.175438596491228,1.84210526315789,NA
1_6,7,0.2,0.8,0.2,1.2,2,40,13.6,4,2,Spiekeroog,Spring,2021,NA,NA,NA,0.25,0.25,0.666666666666667,0.514705882352941,0.0882352941176471,0.294117647058824,2.94117647058824,NA
1_7,5,0.2,0.7,0.2,0.7,5,38,11.7,3,0,Spiekeroog,Spring,2021,NA,NA,NA,0.285714285714286,0.285714285714286,1,0.427350427350427,0.0598290598290598,0.256410256410256,3.24786324786325,NA
1_8,9,0.4,1.7,0.6,1,4,26,38.8,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.235294117647059,0.352941176470588,1.7,0.231958762886598,0.0257731958762887,0,0.670103092783505,NA
1_9,13,1.3,2.9,0.5,1,3,69,20.8,5,0,Spiekeroog,Spring,2021,NA,NA,NA,0.448275862068966,0.172413793103448,2.9,0.625,0.0480769230769231,0.240384615384615,3.31730769230769,NA
1_10,7,0.6,1.7,0.5,0.8,3,67,23.4,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.352941176470588,0.294117647058824,2.125,0.299145299145299,0.0341880341880342,0,2.86324786324786,NA
1_11,10,0.5,1.2,0.5,0.9,4,15,12,0,0,Spiekeroog,Spring,2021,NA,NA,NA,0.416666666666667,0.416666666666667,1.33333333333333,0.833333333333333,0.075,0,1.25,NA
1_12,4,1.2,3.6,0.9,1,3,74,23.1,4,2,Spiekeroog,Spring,2021,NA,NA,NA,0.333333333333333,0.25,3.6,0.173160173160173,0.0432900432900433,0.173160173160173,3.2034632034632,NA
1_13,9,0.4,2,0.6,1,2,45,13.4,5,1,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.3,2,0.671641791044776,0.0746268656716418,0.373134328358209,3.35820895522388,NA
1_14,7,0.4,1.7,0.6,1.1,5,67,34.5,0,4,Spiekeroog,Spring,2021,NA,NA,NA,0.235294117647059,0.352941176470588,1.54545454545455,0.202898550724638,0.0318840579710145,0,1.94202898550725,NA
1_15,16,0.8,1.8,0.4,1.3,0,88,32,2,4,Spiekeroog,Spring,2021,NA,NA,NA,0.444444444444444,0.222222222222222,1.38461538461538,0.5,0.040625,0.0625,2.75,NA
1_16,8,0.5,2.7,0.7,1.4,4,59,36.4,0,4,Spiekeroog,Spring,2021,NA,NA,NA,0.185185185185185,0.259259259259259,1.92857142857143,0.21978021978022,0.0384615384615385,0,1.62087912087912,NA
1_17,5,0.2,1.2,0.4,0.8,2,41,19.4,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.166666666666667,0.333333333333333,1.5,0.257731958762887,0.0412371134020619,0,2.11340206185567,NA
1_18,5,0.3,1.8,0.6,1,3,25,26.3,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.166666666666667,0.333333333333333,1.8,0.190114068441065,0.0380228136882129,0,0.950570342205323,NA
1_19,10,0.2,1.1,0.5,0.4,3,16,12,1,1,Spiekeroog,Spring,2021,NA,NA,NA,0.181818181818182,0.454545454545455,2.75,0.833333333333333,0.0333333333333333,0.0833333333333333,1.33333333333333,NA
1_20,3,0.4,2,0.6,0.9,3,26,24.6,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.3,2.22222222222222,0.121951219512195,0.0365853658536585,0,1.05691056910569,NA
