"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","`temperature_2m_mean (°C)`",-0.450739904943295,0.144768885673642,-3.11351367281651,6.21616577591203,0.0198157131149001
"fixed","precipitation_sum:traitFlowers",-0.477826523077841,0.088123744667156,-5.4222221818035,21877.0043852252,5.94858441596448e-08
"fixed","precipitation_sum:traitLength longest leaf",0.224786349515811,0.088123744667156,2.55080342267377,21877.004379977,0.0107542406417664
"fixed","precipitation_sum:traitPetiole longest leaf",0.207823955348716,0.0881237446671561,2.35831961219611,21877.0043819658,0.0183666261973172
"fixed","precipitation_sum:traitPlant length",0.250591979833986,0.0881237446671562,2.84363744165063,21877.0043839469,0.00446431052401468
"fixed","precipitation_sum:traitStem width",0.323100372674585,0.0881237446671561,3.6664394357609,21877.0043748975,0.000246533327419166
"fixed","`temperature_2m_mean (°C)`:traitFlowers",0.63575505767407,0.111985077801601,5.67714083121332,21877.0043923848,1.38699417909819e-08
"fixed","`temperature_2m_mean (°C)`:traitPetiole longest leaf",0.460105070192956,0.111985077801602,4.1086283925087,21877.0043863266,3.99464425360425e-05
"fixed","`temperature_2m_mean (°C)`:traitSideshoots",0.371300724125702,0.111985077801601,3.31562679077224,21877.0043957707,0.000915865923639911
"fixed","`temperature_2m_mean (°C)`:traitStem width",-0.375475102907291,0.111985077801601,-3.35290299634835,21877.0043812893,0.00080104318559087
"fixed","`temperature_2m_mean (°C)`:traitWidth longest leaf",0.70166837379762,0.111985077801601,6.26573100248885,21877.0043904733,3.78001456158246e-10
"fixed","`wind_speed_10m_mean (km/h)`:traitFlowers",-0.357212686581773,0.0821474210430194,-4.34843458317098,21877.00436415,1.3773213647572e-05
"fixed","`wind_speed_10m_mean (km/h)`:traitLeaf number",-0.206095957237991,0.0821474210430196,-2.50885486873728,21877.0043608103,0.0121194951338395
"fixed","`wind_speed_10m_mean (km/h)`:traitPetiole longest leaf",-0.163408923555721,0.0821474210430196,-1.98921550404054,21877.0043596675,0.0466898536807321
"fixed","`wind_speed_10m_mean (km/h)`:traitPlant length",-0.236577544994544,0.0821474210430195,-2.87991445124798,21877.0043657858,0.00398169081239583
"fixed","`wind_speed_10m_mean (km/h)`:traitSideshoots",-0.18173293299009,0.0821474210430195,-2.21227800803289,21877.0043674366,0.0269577518113331
"fixed","`wind_speed_10m_mean (km/h)`:traitWidth longest leaf",-0.602061582280158,0.0821474210430195,-7.32903814429995,21877.0043634617,2.39859603909034e-13
"fixed","`sunshine_duration (s)`:traitFlowers",-0.214661632269568,0.055910463266604,-3.83938210717327,21877.0043620559,0.000123691608882468
"fixed","`sunshine_duration (s)`:traitLeaf number",0.376583078438748,0.0559104632666039,6.73546696694402,21877.0043593465,1.67459284934614e-11
"fixed","`sunshine_duration (s)`:traitLength longest leaf",0.371337465180521,0.055910463266604,6.64164529293617,21877.0043593483,3.17482674091024e-11
"fixed","`sunshine_duration (s)`:traitPetiole longest leaf",0.469102803309198,0.055910463266604,8.39025069551514,21877.0043620244,5.14129015777895e-17
"fixed","`sunshine_duration (s)`:traitSidebranch",0.119413641469019,0.0559104632666041,2.13580132397769,21877.0043620568,0.0327066805835079
"fixed","`sunshine_duration (s)`:traitSideshoots",0.233799796255757,0.055910463266604,4.18168232913586,21877.0043616534,2.90486171736864e-05
"fixed","`sunshine_duration (s)`:traitStem width",0.279496047269605,0.055910463266604,4.99899358617103,21877.0043584898,5.80753922670368e-07
"fixed","`sunshine_duration (s)`:traitWidth longest leaf",0.31963845511919,0.055910463266604,5.71697024928989,21877.0043593519,1.09851582723075e-08
