"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",1.03329889218186,0.516174336457458,2.00184088824226,89.915818563842,0.0483156366711477
"fixed","precipitation_sum",1.21788445049967,0.173933078620545,7.00202894215787,46.9950204458483,8.12013817148478e-09
"fixed","`temperature_2m_mean (°C)`",-2.25863293436785,0.309192649376149,-7.30493735515719,65.6857315730142,4.74823697814714e-10
"fixed","`sunshine_duration (s)`",0.173202025406401,0.0827871128217642,2.09213752603373,133.931779671876,0.0383139197492666
"fixed","traitFlowers",9.70082075823282,0.729965705988917,13.2894198708838,13216.6569845575,4.81685846253168e-40
"fixed","traitLeaf number",-5.50692864112089,0.72996570598887,-7.54409227165099,13217.103403211,4.85173751513589e-14
"fixed","traitLength longest leaf",5.93477023819608,0.729965705988799,8.13020418562944,13218.4310460072,4.66513680702405e-16
"fixed","traitPetiole longest leaf",2.73753929180147,0.729965705988851,3.75023000305618,13217.2985480187,0.000177426424836925
"fixed","traitPlant length",11.5137810782801,0.729965705988759,15.7730438345516,13218.3104082585,1.52977142834189e-55
"fixed","traitSideshoots",3.65177576297175,0.729965705988939,5.00266756782007,13216.5644429564,5.72687419475132e-07
"fixed","traitStem width",3.27585539858672,0.729965705988844,4.48768397160398,13216.9251893182,7.26098530499208e-06
"fixed","traitWidth longest leaf",4.82754179362038,0.729965705988847,6.61338163425192,13216.154563443,3.90086418770896e-11
"fixed","precipitation_sum:traitFlowers",2.06443854322243,0.245971500762355,8.39299893208761,13217.1897492889,5.2173193053215e-17
"fixed","precipitation_sum:traitLeaf number",-2.85303274020668,0.24597150076234,-11.5990378209031,13217.5840511262,5.88484352734694e-31
"fixed","precipitation_sum:traitLength longest leaf",1.86614021769573,0.245971500762323,7.58681478103003,13218.5060249647,3.49756777002727e-14
"fixed","precipitation_sum:traitPetiole longest leaf",0.679573668823993,0.24597150076234,2.7628146623401,13217.708897488,0.00573845220398579
"fixed","precipitation_sum:traitPlant length",3.88482567045395,0.245971500762317,15.79380399117,13218.4603842402,1.10762634397589e-55
"fixed","precipitation_sum:traitStem width",0.907005669067224,0.245971500762337,3.68744210713904,13217.5086458939,0.000227426809636303
"fixed","precipitation_sum:traitWidth longest leaf",0.935120308970698,0.245971500762337,3.80174250298303,13216.98057112,0.000144327568483342
"fixed","`temperature_2m_mean (°C)`:traitFlowers",5.88170241072788,0.437253908420849,13.4514576026771,13219.9999895666,5.6132206956704e-41
"fixed","`temperature_2m_mean (°C)`:traitLeaf number",2.0535295633648,0.437253908420846,4.6964235740766,13219.999915152,2.67419555508636e-06
"fixed","`temperature_2m_mean (°C)`:traitLength longest leaf",2.69914302913743,0.43725390842082,6.17294203014815,13219.9465398058,6.89913852243296e-10
"fixed","`temperature_2m_mean (°C)`:traitPetiole longest leaf",3.06664109443057,0.437253908420824,7.01341036723029,13219.9941356963,2.43887420343499e-12
"fixed","`temperature_2m_mean (°C)`:traitPlant length",3.50273046357967,0.437253908420799,8.01074706508686,13219.9783058586,1.23513159002207e-15
"fixed","`temperature_2m_mean (°C)`:traitSideshoots",3.68847894159915,0.437253908420871,8.43555396661856,13219.9999613875,3.63607253036132e-17
"fixed","`temperature_2m_mean (°C)`:traitStem width",2.43025660945406,0.437253908420826,5.55799859681326,13219.9995777508,2.78167258789087e-08
"fixed","`temperature_2m_mean (°C)`:traitWidth longest leaf",3.49286142576992,0.437253908420835,7.9881765685859,13219.9819408995,1.48228600993824e-15
"fixed","`wind_speed_10m_mean (km/h)`:traitFlowers",-18.5512737324545,1.26853636201927,-14.624156065124,13217.4450782441,4.67360883689407e-48
"fixed","`wind_speed_10m_mean (km/h)`:traitLeaf number",6.5491991857445,1.2685363620192,5.1627997287518,13217.7717410744,2.46815063808587e-07
"fixed","`wind_speed_10m_mean (km/h)`:traitLength longest leaf",-10.7051851346993,1.26853636201906,-8.43900534128992,13218.9736767346,3.53089494790978e-17
"fixed","`wind_speed_10m_mean (km/h)`:traitPetiole longest leaf",-6.13096728900858,1.26853636201914,-4.83310330911592,13218.0121153779,1.35931784556795e-06
"fixed","`wind_speed_10m_mean (km/h)`:traitPlant length",-19.6613858674051,1.26853636201897,-15.4992686501414,13218.8251480475,1.04081349169305e-53
"fixed","`wind_speed_10m_mean (km/h)`:traitSideshoots",-8.03021805137469,1.26853636201932,-6.33030182799944,13217.3585562756,2.52590542964006e-10
"fixed","`wind_speed_10m_mean (km/h)`:traitStem width",-6.87464742096915,1.26853636201913,-5.41935385283458,13217.6198618564,6.0863821984246e-08
"fixed","`wind_speed_10m_mean (km/h)`:traitWidth longest leaf",-9.80359284427983,1.26853636201915,-7.72827105143072,13216.8783494182,1.1686435135941e-14
"fixed","`sunshine_duration (s)`:traitLength longest leaf",0.585771703234253,0.11707668845657,5.00331629598104,13219.9872388717,5.70764460014267e-07
"fixed","`sunshine_duration (s)`:traitPetiole longest leaf",0.611244061739845,0.11707668845657,5.22088615417736,13219.9883467062,1.80768528674816e-07
"fixed","`sunshine_duration (s)`:traitPlant length",0.392480259946805,0.11707668845657,3.35233482532603,13219.990601524,0.000803578175625121
"fixed","`sunshine_duration (s)`:traitSidebranch",-0.329813989405953,0.117076688456571,-2.81707651415418,13219.9912270825,0.00485348374555795
"fixed","`sunshine_duration (s)`:traitStem width",0.345951643860324,0.11707668845657,2.95491483762504,13219.9923771565,0.00313306873219726
