Gene,log2FoldChange,p_adj,state
AT1G07200,-1.00006278085718,0.00948161859819311,DOWN
AT5G33290,-1.00061532257424,1.79886938612876e-05,DOWN
AT3G49530,-1.00065272307477,7.32942682409828e-07,DOWN
AT1G65486,-1.00097429086937,0.0018159632487411,DOWN
AT3G48760,-1.00232632324746,0.00191294096657555,DOWN
AT1G08433,-1.0027870462386,4.29997510313131e-10,DOWN
AT3G53420,-1.00350763245333,0.000236151801021658,DOWN
AT3G58040,-1.00547559102608,1.14792582436443e-05,DOWN
AT5G42650,-1.00551073524497,0.000423518124866893,DOWN
AT2G27500,-1.00581350991637,1.98858375467971e-06,DOWN
AT2G45660,-1.00588505252052,2.35644822600537e-06,DOWN
AT5G11670,-1.0064196722552,9.1073787394757e-05,DOWN
AT5G27280,-1.00729523606597,0.00274802627965399,DOWN
AT4G36900,-1.0082260734897,0.000173636010416548,DOWN
AT1G53400,-1.00835392361061,0.000584725436365875,DOWN
AT5G24320,-1.00891000966323,4.45747012934164e-05,DOWN
AT3G51830,-1.00909550039658,0.00404665630342832,DOWN
AT1G68010,-1.00927899304313,1.17621130111308e-06,DOWN
AT2G20010,-1.00962353265566,0.00453286456477645,DOWN
AT5G03630,-1.00966417764487,1.08717114600842e-05,DOWN
AT2G19830,-1.01004036206264,3.36419843020921e-05,DOWN
AT1G67360,-1.01010547682275,3.18547012536684e-10,DOWN
AT2G29970,-1.01057119398502,0.000657366935281555,DOWN
AT5G13010,-1.01109057042955,0.00105749147532432,DOWN
AT1G28420,-1.01162045069038,0.00214680880723881,DOWN
AT3G59950,-1.01172788909802,0.00851353524087735,DOWN
AT1G10160,-1.01221477905673,1.47846173693915e-08,DOWN
AT5G24770,-1.01225867238698,2.77124514899437e-10,DOWN
AT4G33820,-1.0124729663513,0.000864915744655309,DOWN
AT5G42470,-1.01338322596732,0.000438201327049495,DOWN
AT2G20960,-1.01342967522531,3.34012661788997e-05,DOWN
AT5G22290,-1.01469993630023,1.48190309626781e-05,DOWN
AT1G05010,-1.01496434634345,8.59419086821674e-09,DOWN
AT5G45360,-1.01516438227233,0.000215470620138591,DOWN
AT3G03702,-1.01574933992752,4.99060258197425e-09,DOWN
AT3G18820,-1.01592968455025,1.10019772147918e-09,DOWN
AT2G39050,-1.01677841767235,1.6142780018818e-05,DOWN
AT3G07090,-1.01726653169564,0.00424965487128963,DOWN
AT1G29340,-1.01731003889975,0.000145711142228125,DOWN
AT1G67310,-1.01794694796325,4.51383181115754e-05,DOWN
AT2G36330,-1.01838571670593,0.00102757578198474,DOWN
AT5G20610,-1.01847210155793,0.000799831680129598,DOWN
AT3G61600,-1.01853936500742,0.00150400637928268,DOWN
AT5G06370,-1.01899644551446,9.02228853053716e-07,DOWN
AT5G57140,-1.01954418316592,1.39606191692459e-06,DOWN
AT1G21450,-1.01966919181448,7.1106140643803e-05,DOWN
AT5G64260,-1.01971599471604,1.69660830849199e-05,DOWN
AT3G24050,-1.02068176981171,0.00271917363582992,DOWN
AT2G17200,-1.02146456806666,2.68782413072531e-06,DOWN
AT4G30270,-1.02147196409525,4.18201467016929e-06,DOWN
AT5G14500,-1.02261659547211,7.96034363883314e-05,DOWN
AT2G21180,-1.02322783297625,1.12735671749919e-05,DOWN
AT1G35470,-1.02395907391963,0.0063643936087382,DOWN
AT2G18960,-1.02478606749481,2.05812710324335e-11,DOWN
AT2G46100,-1.02625621994822,0.0028012850099625,DOWN
AT1G27970,-1.02678491263969,3.44742826410789e-05,DOWN
AT1G08770,-1.0269053178007,8.60089719802352e-06,DOWN
AT2G31510,-1.02698418313493,0.00943946263845348,DOWN
AT5G44790,-1.02776901011029,8.23765167772367e-05,DOWN
AT4G32920,-1.02785446126191,0.000592970106320942,DOWN
AT1G21580,-1.02842873002034,1.25222757954985e-06,DOWN
AT3G16857,-1.02849209853484,0.000565310378364991,DOWN
AT1G03280,-1.02908795928361,0.00516140934748578,DOWN
AT5G62540,-1.0290921282033,2.76741227933728e-07,DOWN
AT1G55250,-1.02927940191694,0.000614622780761671,DOWN
AT5G06850,-1.03011345433363,4.76182041516904e-09,DOWN
AT1G66240,-1.03029268204367,0.000263182223098044,DOWN
AT5G06320,-1.03084468492386,0.000955309903003328,DOWN
AT1G45249,-1.03131382810184,1.08810801165754e-05,DOWN
AT5G58060,-1.0323076408333,0.000212145098648302,DOWN
AT2G35060,-1.03335598511593,3.57147132685375e-05,DOWN
AT1G79600,-1.03392451503157,3.39408397206637e-06,DOWN
AT1G49000,-1.03453268183366,0.00536787923342888,DOWN
AT5G59820,-1.03468776793497,1.33243129979209e-10,DOWN
AT4G16520,-1.03547797233976,1.20512920389132e-07,DOWN
AT4G30390,-1.03594434507475,0.00356522818010169,DOWN
AT1G47056,-1.03621914026893,2.24696204707126e-05,DOWN
AT1G52720,-1.03661463048032,5.79618077232439e-05,DOWN
AT5G20150,-1.03746316187294,0.000146450068095414,DOWN
AT5G58590,-1.0375090082053,0.000203460836540525,DOWN
AT1G70810,-1.03906077034209,5.52781009447802e-08,DOWN
AT5G48020,-1.03937016707921,0.00468859537298518,DOWN
AT2G37150,-1.03939979524905,5.68270111378275e-05,DOWN
AT5G38285,-1.03940541191737,5.55677958652625e-11,DOWN
AT3G09370,-1.0398941488301,0.00671733272948666,DOWN
