Gene,log2FoldChange,p_adj,state
AT3G22120,6.56725204120664,1.43510853811755e-45,UP
AT2G05380,5.67477971433518,1.43510853811755e-45,UP
AT4G12470,4.41248162766378,8.30966880120195e-45,UP
AT1G29920,4.33481253246985,1.43510853811755e-45,UP
AT1G29930,3.96822491871155,5.94135739513459e-45,UP
AT2G02100,3.93361244979421,6.69089311636548e-45,UP
AT1G29910,3.86793063763739,3.60603849325785e-44,UP
AT4G12490,3.85049145997917,7.74027228249448e-38,UP
AT5G14920,3.75448043816125,1.58067799324608e-41,UP
AT1G33960,3.73971601957135,2.61030740144389e-33,UP
AT1G28290,3.71366693852461,4.05389196057774e-40,UP
AT3G05730,3.68994985484402,4.1607357116079e-43,UP
AT2G34430,3.66826300402561,9.50350800516248e-41,UP
AT1G75040,3.53546180854981,2.80717450428496e-42,UP
AT5G26000,3.32411145205739,2.96626161886989e-41,UP
AT2G42840,3.31444918662161,3.60306137301085e-34,UP
AT4G27440,3.22738544677398,2.32002036121036e-39,UP
AT2G25510,3.17003304518726,3.1057988304736e-43,UP
AT1G12090,3.15001897909977,5.82337939217682e-40,UP
AT2G05440,3.12453926814402,1.08364542418389e-29,UP
AT4G29020,3.10931720457006,5.69525564095167e-38,UP
ATCG00330,3.04883946275494,3.49120366603143e-37,UP
AT2G45180,3.03976399664139,3.98571866877437e-41,UP
AT4G12480,3.03813105173442,1.81320487292914e-40,UP
AT4G12500,2.99709366323714,6.48449711286831e-33,UP
AT1G76930,2.99708520671369,3.51048255184067e-42,UP
ATCG00110,2.99398804197265,1.05506341058498e-31,UP
AT2G05520,2.97973576966028,1.28732149329539e-44,UP
ATCG01020,2.94674754635011,3.89500350832965e-30,UP
AT4G38770,2.92879762089165,3.51048255184067e-42,UP
AT3G27690,2.90714534800282,6.18756266034411e-36,UP
ATCG00790,2.90543275620962,4.25015006530885e-28,UP
AT2G22170,2.90217437183474,6.60218557595924e-35,UP
ATCG00470,2.89456204759237,1.00949463408635e-41,UP
ATCG00480,2.86966366836808,1.47833988916577e-32,UP
AT1G21310,2.81241836542361,1.33988497375151e-36,UP
AT2G14610,2.81032622558028,2.32002036121036e-39,UP
AT2G45470,2.7701529493298,1.79390238294059e-30,UP
AT1G68520,2.7507658132799,1.21398601288315e-34,UP
AT5G07030,2.67048310242593,1.04552624356866e-27,UP
AT2G15970,2.63872231539114,2.96626161886989e-41,UP
AT1G75750,2.63805719903155,1.58067799324608e-41,UP
AT5G53490,2.61614082742712,1.27588417519284e-32,UP
ATCG00160,2.59698910983895,4.78967038083917e-28,UP
AT3G12930,2.59345455992568,6.10976606474088e-24,UP
AT5G54270,2.59115386749982,2.55737240216111e-40,UP
AT4G14400,2.5790112092972,5.37408726125016e-36,UP
AT5G22880,2.53778120175139,2.78420947898249e-23,UP
AT2G33450,2.53378537682455,6.50097288181381e-29,UP
AT1G35720,2.53256483602204,5.37408726125016e-36,UP
AT1G54040,2.52030565789137,3.60749210439001e-38,UP
AT4G04692,2.5005547704498,2.27090934015006e-24,UP
AT4G12600,2.47155094471045,3.53438980858946e-25,UP
AT1G44446,2.42659907777607,2.33201664671579e-26,UP
AT3G53460,2.42120768255297,5.36331033337561e-39,UP
AT3G20820,2.4191694238992,4.34794404623417e-24,UP
AT2G05070,2.41441261793057,8.44459819150692e-38,UP
AT3G57260,2.40412488226383,3.75903503155572e-28,UP
AT2G18660,2.38584425650602,1.5960195865701e-29,UP
AT3G11630,2.36526955012148,3.19624434370757e-38,UP
ATCG00340,2.3643161825941,2.5807490040056e-29,UP
AT1G78820,2.36185208014267,1.25582937463518e-26,UP
ATCG00090,2.35984715613725,7.24845908999665e-25,UP
AT4G27520,2.33391416853494,4.55435321194755e-37,UP
AT1G55490,2.33172707833317,1.93339118954189e-36,UP
AT4G23140,2.32920268928485,2.16655123733739e-18,UP
AT1G68590,2.32221724279872,7.21678522337521e-25,UP
AT2G35960,2.29658719164897,2.79476393950752e-27,UP
AT5G02160,2.28885014957524,8.44459819150692e-38,UP
AT3G56940,2.26975944508876,8.78597371795664e-39,UP
AT1G78995,2.25006037088114,1.71941456572104e-24,UP
AT4G09040,2.23467849383227,2.2056422768633e-22,UP
AT3G54560,2.22952525878987,3.14428580594541e-23,UP
AT1G58290,2.22871468938108,1.30535034334405e-33,UP
AT5G49330,2.22509981638541,8.15612375265459e-12,UP
AT5G19510,2.20870198369198,1.21398601288315e-34,UP
