Gene,log2FoldChange,p_adj,state
AT3G08940,-1.00304655232959,4.22921889631947e-31,DOWN
AT1G03860,-1.00409714114493,1.79471002095466e-07,DOWN
AT2G36885,-1.00467306459594,1.56353250770988e-05,DOWN
AT1G43560,-1.00497248175719,7.73919774288421e-24,DOWN
AT1G55480,-1.01046769816152,4.35675938095961e-29,DOWN
AT5G62430,-1.01068805110261,1.36411094012991e-12,DOWN
AT5G19875,-1.01159308646282,5.727553067811e-24,DOWN
AT1G69870,-1.01362901038118,1.57974380422941e-24,DOWN
AT5G09660,-1.01549127659908,4.33376879880308e-40,DOWN
AT1G30530,-1.0168369059047,4.40890657116835e-12,DOWN
AT1G60000,-1.01736634838218,1.6139458581668e-14,DOWN
AT4G20360,-1.01748158933747,7.55782033736753e-44,DOWN
AT3G53990,-1.0174833435867,1.52495312200082e-30,DOWN
AT2G45680,-1.01759321216703,9.14464106112339e-06,DOWN
AT3G56940,-1.01873147971017,3.146970879719e-29,DOWN
AT5G08410,-1.02032955444285,5.1150716799559e-29,DOWN
AT1G04430,-1.02079209083495,2.71380705311863e-09,DOWN
AT4G34150,-1.02123052618197,6.87917040522288e-35,DOWN
AT5G20830,-1.02444646118459,3.05571452316582e-31,DOWN
AT4G14890,-1.02853023715116,6.60253478400781e-11,DOWN
AT4G01080,-1.02913338927767,3.83551025764852e-16,DOWN
AT4G21210,-1.02913511146489,4.43633513928094e-23,DOWN
AT1G73060,-1.02925162714199,2.20361870478077e-25,DOWN
AT3G03250,-1.02925258206511,9.72798622065174e-30,DOWN
AT3G27280,-1.03115610862259,8.86994208283933e-11,DOWN
AT1G10550,-1.03547669827083,2.03545198885114e-05,DOWN
AT5G45680,-1.03556818927001,2.09789809332798e-25,DOWN
AT1G29390,-1.04051763090398,5.75592465985262e-43,DOWN
AT1G67700,-1.04059058149856,5.41880370238512e-18,DOWN
AT5G25610,-1.04062214754946,1.4716488531747e-49,DOWN
AT2G18230,-1.04099857599519,6.68979098131453e-32,DOWN
AT1G68570,-1.0447056818465,7.45146174833797e-23,DOWN
