Gene,log2FoldChange,p_adj,state
AT1G15380,4.37060758203952,4.17028426524792e-84,UP
AT5G65207,4.25777857007113,1.35681086765716e-43,UP
AT5G52640,3.97950686040175,5.70978721910981e-66,UP
AT5G12030,3.75010830934516,7.84081832110786e-47,UP
AT4G32810,3.64958549990512,2.38908432858232e-67,UP
AT2G36950,3.63934030901488,4.78794932938512e-76,UP
AT5G45890,3.46787764334886,8.80781001887832e-72,UP
AT5G59150,3.46531180188056,1.43735959643431e-13,UP
AT4G16000,3.35175550846013,9.85573308069379e-74,UP
AT5G20250,3.30541330652426,9.26506096629539e-52,UP
AT2G18050,3.25883280895366,1.06618204934635e-67,UP
AT1G65480,3.25343111414945,2.48406094735881e-62,UP
AT1G80920,3.23797693776746,2.07731886001378e-79,UP
AT1G69920,3.21198532744491,1.62273121455975e-21,UP
AT4G27260,3.20149498372537,9.34557025348347e-48,UP
AT5G49450,3.14199996420067,9.56069161841868e-31,UP
AT5G47370,3.12846100342835,1.55648423471156e-57,UP
AT3G60140,3.12043708797659,5.32220029212084e-52,UP
AT5G40690,3.11925568617442,2.2910233079397e-50,UP
AT3G18250,3.0982152012684,2.03012481033858e-27,UP
AT1G08600,3.07687642952799,1.06918870589037e-07,UP
AT5G18630,3.06641225278522,5.06580841374836e-51,UP
AT3G45160,3.06494473116437,3.77330076168413e-19,UP
AT5G57685,3.05850623456347,4.24926751935998e-40,UP
AT4G32250,2.98318463395079,1.03729354176058e-75,UP
AT2G43510,2.97955331891774,3.30614596161591e-65,UP
AT1G53560,2.93717689135102,4.87838152624551e-28,UP
AT2G37130,2.91254795363368,1.9805580180081e-80,UP
AT2G37750,2.90060555418723,5.92700213531829e-42,UP
AT5G27350,2.87970810191899,1.87815177048935e-50,UP
AT2G30750,2.86756455868156,1.37217578116047e-39,UP
AT5G16370,2.84864073643552,1.86002081134959e-39,UP
AT1G64360,2.84147551734649,4.43595547845055e-78,UP
AT2G43120,2.82568221293247,2.72717749477422e-53,UP
AT2G34810,2.8246983007106,1.65339101048417e-49,UP
AT5G05340,2.80843705225012,1.69894611092158e-43,UP
AT2G43820,2.79228035057638,3.32238954845068e-26,UP
AT2G33310,2.79139437147368,6.76015697965099e-28,UP
AT3G19370,2.79037116302513,1.16336395491544e-23,UP
AT4G11650,2.77265401126781,1.97520496612265e-43,UP
AT3G22740,2.75469797362621,1.6248348692358e-19,UP
