Gene,log2FoldChange,p_adj,state
AT2G20850,-1.00004534093002,5.45481510358606e-05,DOWN
AT1G32380,-1.00025917795917,1.09004661175573e-09,DOWN
AT2G28750,-1.0005074786209,4.49786566108816e-07,DOWN
AT2G41100,-1.0006698763532,5.37185328402185e-24,DOWN
AT4G38930,-1.001142345202,5.89937489085175e-16,DOWN
AT1G29400,-1.00125988173334,3.92928177930048e-19,DOWN
AT4G03415,-1.0014330569895,0.00864592969198756,DOWN
AT5G43800,-1.00147869402923,1.81150989565552e-12,DOWN
AT4G35640,-1.00236890856662,1.88072892728046e-08,DOWN
AT5G34851,-1.0025583113318,2.45981261910614e-39,DOWN
AT3G27330,-1.00398273629326,1.15903823881724e-11,DOWN
AT1G08180,-1.00412462702838,4.92639330590303e-08,DOWN
AT3G01380,-1.00441027334263,5.1952142880758e-08,DOWN
AT3G22270,-1.00443649305876,5.7785303932549e-13,DOWN
AT1G68140,-1.00517112266334,5.60157341563777e-17,DOWN
AT3G22310,-1.00533795048062,1.73341254457011e-18,DOWN
AT3G21430,-1.00534117336942,3.26269835114045e-08,DOWN
AT2G46550,-1.0053636084565,1.23198681342529e-21,DOWN
AT5G18600,-1.00552562941116,0.00435967021548228,DOWN
AT5G23860,-1.00703926058626,3.09796024982634e-08,DOWN
AT3G04605,-1.00739083179776,3.98961107531248e-06,DOWN
AT4G26270,-1.00742827099219,1.3028634558405e-20,DOWN
AT5G35700,-1.00762138652082,7.75129184292615e-06,DOWN
AT4G23990,-1.00823022664276,4.88772345373467e-14,DOWN
AT1G55960,-1.0082783998634,6.41605067861032e-13,DOWN
AT3G18210,-1.00844952151068,1.69083961781619e-06,DOWN
AT3G63380,-1.00920213176435,1.97151266276168e-10,DOWN
AT2G18735,-1.00955875756817,1.30294472719983e-06,DOWN
AT1G56280,-1.01016138149703,1.17327146549283e-41,DOWN
AT4G30240,-1.01065115279976,3.30454353102959e-08,DOWN
AT3G16620,-1.01147282690293,7.22453498150294e-06,DOWN
AT3G49600,-1.01206607422885,1.59586831892071e-13,DOWN
AT1G26690,-1.01253651096926,2.81178913385896e-17,DOWN
AT4G37520,-1.01307137754614,2.5357168252819e-08,DOWN
AT1G17340,-1.01388016771492,2.37443114892542e-10,DOWN
AT1G75550,-1.0141837517531,0.00354294750558078,DOWN
AT5G37600,-1.01429352666544,2.61211699732212e-24,DOWN
AT4G29380,-1.01431150842331,6.16421278199942e-07,DOWN
AT1G27150,-1.01438384462669,0.000453946229167996,DOWN
AT5G20300,-1.01455488310303,4.93759046817856e-09,DOWN
AT3G48640,-1.0149230698933,1.58878619942944e-09,DOWN
AT2G47410,-1.01523694285242,0.00830577989311145,DOWN
AT5G43190,-1.015328455723,0.00118608071322102,DOWN
AT4G38932,-1.01588223332717,5.09497751262409e-05,DOWN
AT5G16450,-1.01599120990783,3.95425110307045e-08,DOWN
AT4G32950,-1.0161088578873,3.0900306465254e-05,DOWN
AT5G64370,-1.01636213137814,7.72145991008767e-18,DOWN
AT5G59890,-1.01646446634015,1.89405222859224e-19,DOWN
AT2G26170,-1.01678015020859,2.04153925042871e-05,DOWN
