Gene,log2FoldChange,p_adj,state
AT3G22120,8.41025164513664,4.55159050564035e-210,UP
AT2G05380,5.96612420765689,1.13370854434852e-207,UP
AT1G29920,5.90971353450866,6.52452250147304e-209,UP
AT1G29930,5.67636178273231,1.7780462437926e-208,UP
AT4G12470,5.6115398944554,8.95370004142309e-208,UP
AT4G38770,5.30251794552218,5.27122894812605e-208,UP
AT1G12090,5.27807954203268,1.01682224027523e-205,UP
AT1G29910,5.10566800171556,6.25779824494313e-207,UP
AT2G34430,4.83812462929641,3.81980346215232e-204,UP
AT2G02100,4.7224576547205,1.13370854434852e-207,UP
AT3G05730,4.48315979211741,1.29480706668245e-201,UP
AT1G28290,4.28699733025503,1.74962010170196e-190,UP
AT4G12490,4.26503737194347,5.2436891637321e-182,UP
AT4G12480,4.13789242509526,3.74201691554954e-196,UP
AT2G05070,4.03010978972216,1.57843884909541e-200,UP
AT3G27690,4.01307339940556,4.30199622850944e-181,UP
AT2G14610,3.8434046748384,1.31326169030199e-184,UP
AT4G29020,3.82825811990494,2.81228226369332e-182,UP
AT5G14920,3.81905131169451,3.45816799610343e-188,UP
AT5G54270,3.7559766589678,2.5670852601722e-203,UP
AT1G75040,3.72101403308701,4.4522911198797e-191,UP
ATCG00110,3.645869257673,4.35557425131851e-169,UP
AT4G27440,3.62447462821115,5.27682862924815e-182,UP
AT5G47030,3.60749635150095,1.82787234570739e-49,UP
AT5G02160,3.5805491044561,6.41588825056445e-194,UP
AT2G42840,3.51191612459687,4.47797465198362e-153,UP
AT2G45180,3.49989582574982,2.27123443185616e-194,UP
ATCG00330,3.47505466984566,2.6762670507132e-183,UP
AT2G22170,3.44764203752062,1.80854269560903e-175,UP
ATCG01020,3.43231480533964,4.16699836333342e-170,UP
AT1G33960,3.42120655068659,2.57237278803504e-142,UP
AT2G15970,3.40103018167425,2.19149502918987e-202,UP
ATCG00470,3.34505312751033,4.07122300851238e-200,UP
AT2G05520,3.34046733248038,2.34502682313453e-203,UP
AT4G27520,3.33611466670295,6.14252802613155e-187,UP
AT2G35960,3.24132135533431,1.07567146127982e-153,UP
AT5G11420,3.22463255522659,7.85717379937396e-150,UP
AT3G02380,3.20831127925807,3.50998854574676e-141,UP
AT3G11630,3.14281594375858,8.8291688181448e-193,UP
AT1G52220,3.10936230178363,4.37136075170488e-121,UP
AT2G05100,3.09450324970436,1.58805884859589e-189,UP
AT2G25510,3.08739904637613,3.68057128831961e-193,UP
AT2G05440,3.07580593420962,4.72660555207942e-137,UP
AT2G38540,3.07331529352786,4.4522911198797e-191,UP
AT3G14210,3.00713888914215,5.83822355984405e-144,UP
AT2G45470,3.0034266772643,1.97421662916046e-136,UP
AT4G12500,2.98148863057608,1.56950364620337e-142,UP
AT3G63160,2.97823673106719,4.88168110984798e-188,UP
AT1G75750,2.94370753718377,1.37264208714076e-193,UP
AT5G53490,2.94161837871256,9.81675433078287e-161,UP
ATCG00790,2.93652497468487,3.57913315862165e-144,UP
AT1G76100,2.93380694826868,1.87036177629498e-146,UP
AT3G20820,2.91535663420611,1.51714311695744e-129,UP
AT1G15820,2.89178303610348,1.03891685955119e-178,UP
AT5G44420,2.87969451107737,3.98597950403485e-55,UP
AT5G07030,2.87301896441014,2.59877607147536e-131,UP
AT1G55670,2.83968487797338,1.91133144859779e-194,UP
ATCG00480,2.7908071973066,5.74086011625743e-159,UP
AT1G54040,2.77866308223111,9.25418197017145e-175,UP
AT1G44446,2.77693940512787,2.40979984650786e-146,UP
AT3G56940,2.75627017646484,3.12008538668251e-190,UP
AT3G09090,2.7183595536592,7.45123444753013e-07,UP
AT1G35720,2.70904265976127,3.01265351026896e-172,UP
AT1G58290,2.69994919046733,1.32513051455276e-171,UP
AT5G26000,2.69922940185257,2.35758831701283e-188,UP
AT1G68520,2.69562903230296,3.15141307718514e-169,UP
AT3G57260,2.69106425419422,1.30863662510096e-141,UP
AT4G10340,2.6808771811132,8.22423986550994e-183,UP
AT1G55490,2.66632794843037,2.62750688784029e-167,UP
AT3G21055,2.65692433926845,1.12202448810134e-166,UP
AT1G75690,2.64807848622232,3.67811166654287e-161,UP
ATCG00090,2.62750096406351,7.41167193144718e-124,UP
AT3G01480,2.61973946471246,2.97305116665591e-134,UP
AT3G46780,2.60280515647445,2.73363098088891e-146,UP
AT5G14740,2.5873190353712,2.07669901413664e-173,UP
AT5G13630,2.58702542429229,1.85225137841187e-188,UP
AT1G76930,2.57708737674932,1.46436608237752e-172,UP
