query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,Upregulated
query_1,TRUE,1.07293615638833e-74,281,426,85,0.199530516431925,0.302491103202847,GO:0015979,GO:BP,photosynthesis,21925,5035,Brachwitz
query_1,TRUE,1.6228716125499e-34,146,426,42,0.0985915492957746,0.287671232876712,GO:0019684,GO:BP,photosynthesis, light reaction,21925,5970,Brachwitz
query_1,TRUE,1.14902573538518e-26,462,426,57,0.133802816901408,0.123376623376623,GO:0006091,GO:BP,generation of precursor metabolites and energy,21925,1950,Brachwitz
query_1,TRUE,1.14902573538518e-26,410,426,54,0.126760563380282,0.131707317073171,GO:0009409,GO:BP,response to cold,21925,3460,Brachwitz
query_1,TRUE,2.22675058738149e-26,37,426,22,0.0516431924882629,0.594594594594595,GO:0009765,GO:BP,photosynthesis, light harvesting,21925,3647,Brachwitz
query_1,TRUE,6.67253091160154e-22,644,426,60,0.140845070422535,0.093167701863354,GO:0009266,GO:BP,response to temperature stimulus,21925,3417,Brachwitz
query_1,TRUE,3.09596370730599e-18,764,426,60,0.140845070422535,0.0785340314136126,GO:0009416,GO:BP,response to light stimulus,21925,3466,Brachwitz
query_1,TRUE,8.3144999511375e-18,781,426,60,0.140845070422535,0.0768245838668374,GO:0009314,GO:BP,response to radiation,21925,3446,Brachwitz
query_1,TRUE,9.19553251804773e-16,21,426,13,0.0305164319248826,0.619047619047619,GO:0019253,GO:BP,reductive pentose-phosphate cycle,21925,5594,Brachwitz
query_1,TRUE,9.19553251804773e-16,21,426,13,0.0305164319248826,0.619047619047619,GO:0019685,GO:BP,photosynthesis, dark reaction,21925,5971,Brachwitz
query_1,TRUE,1.78282659514373e-14,64,426,18,0.0422535211267606,0.28125,GO:0009644,GO:BP,response to high light intensity,21925,3548,Brachwitz
query_1,TRUE,3.12641952168118e-14,154,426,25,0.0586854460093897,0.162337662337662,GO:0009642,GO:BP,response to light intensity,21925,3546,Brachwitz
query_1,TRUE,6.62469828826455e-14,27,426,13,0.0305164319248826,0.481481481481481,GO:0015977,GO:BP,carbon fixation,21925,5034,Brachwitz
query_1,TRUE,3.09742496405373e-12,52,426,15,0.0352112676056338,0.288461538461538,GO:0009767,GO:BP,photosynthetic electron transport chain,21925,3648,Brachwitz
query_1,TRUE,4.0759474700034e-11,331,426,31,0.0727699530516432,0.0936555891238671,GO:0016051,GO:BP,carbohydrate biosynthetic process,21925,5059,Brachwitz
query_1,TRUE,1.23056974310647e-10,261,426,27,0.0633802816901408,0.103448275862069,GO:0009657,GO:BP,plastid organization,21925,3558,Brachwitz
query_1,TRUE,3.22560118652634e-10,1101,426,58,0.136150234741784,0.0526793823796549,GO:0005975,GO:BP,carbohydrate metabolic process,21925,1848,Brachwitz
query_1,TRUE,1.12832707954123e-09,64,426,14,0.0328638497652582,0.21875,GO:0015995,GO:BP,chlorophyll biosynthetic process,21925,5043,Brachwitz
query_1,TRUE,1.12832707954123e-09,90,426,16,0.0375586854460094,0.177777777777778,GO:0015994,GO:BP,chlorophyll metabolic process,21925,5042,Brachwitz
query_1,TRUE,4.48076359752994e-09,71,426,14,0.0328638497652582,0.197183098591549,GO:0006779,GO:BP,porphyrin-containing compound biosynthetic process,21925,2457,Brachwitz
query_1,TRUE,6.30068583861617e-09,10,426,7,0.0164319248826291,0.7,GO:0009768,GO:BP,photosynthesis, light harvesting in photosystem I,21925,3649,Brachwitz
query_1,TRUE,7.62123476633529e-09,436,426,32,0.0751173708920188,0.073394495412844,GO:0009415,GO:BP,response to water,21925,3465,Brachwitz
query_1,TRUE,7.69896950531905e-09,103,426,16,0.0375586854460094,0.155339805825243,GO:0006778,GO:BP,porphyrin-containing compound metabolic process,21925,2456,Brachwitz
query_1,TRUE,8.38301237070482e-09,75,426,14,0.0328638497652582,0.186666666666667,GO:0033014,GO:BP,tetrapyrrole biosynthetic process,21925,7922,Brachwitz
query_1,TRUE,9.54301268475746e-09,193,426,21,0.0492957746478873,0.10880829015544,GO:0022900,GO:BP,electron transport chain,21925,6597,Brachwitz
query_1,TRUE,9.54301268475746e-09,105,426,16,0.0375586854460094,0.152380952380952,GO:0033013,GO:BP,tetrapyrrole metabolic process,21925,7921,Brachwitz
query_1,TRUE,3.00065658805307e-08,186,426,20,0.0469483568075117,0.10752688172043,GO:0042440,GO:BP,pigment metabolic process,21925,10087,Brachwitz
query_1,TRUE,3.00065658805307e-08,464,426,32,0.0751173708920188,0.0689655172413793,GO:0001101,GO:BP,response to acid chemical,21925,285,Brachwitz
query_1,TRUE,1.0500082739208e-07,142,426,17,0.039906103286385,0.119718309859155,GO:0007623,GO:BP,circadian rhythm,21925,3066,Brachwitz
query_1,TRUE,1.56883850866729e-07,146,426,17,0.039906103286385,0.116438356164384,GO:0046148,GO:BP,pigment biosynthetic process,21925,11756,Brachwitz
query_1,TRUE,2.56000383018186e-07,151,426,17,0.039906103286385,0.112582781456954,GO:0048511,GO:BP,rhythmic process,21925,12629,Brachwitz
query_1,TRUE,3.71469542361119e-07,16,426,7,0.0164319248826291,0.4375,GO:0009773,GO:BP,photosynthetic electron transport in photosystem I,21925,3652,Brachwitz
query_1,TRUE,1.0394740231007e-06,49,426,10,0.0234741784037559,0.204081632653061,GO:0010109,GO:BP,regulation of photosynthesis,21925,3901,Brachwitz
query_1,TRUE,1.4987390451606e-06,192,426,18,0.0422535211267606,0.09375,GO:0009658,GO:BP,chloroplast organization,21925,3559,Brachwitz
