query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,Upregulated
query_1,TRUE,8.59707464641877e-46,281,670,75,0.111940298507463,0.266903914590747,GO:0015979,GO:BP,photosynthesis,21925,5035,Lower LST
query_1,TRUE,6.1685545571099e-28,1401,670,130,0.194029850746269,0.092790863668808,GO:0006412,GO:BP,translation,21925,2162,Lower LST
query_1,TRUE,1.94315486038115e-21,7344,670,350,0.522388059701492,0.0476579520697168,GO:0009058,GO:BP,biosynthetic process,21925,3220,Lower LST
query_1,TRUE,4.31957120817973e-19,64,670,25,0.0373134328358209,0.390625,GO:0015995,GO:BP,chlorophyll biosynthetic process,21925,5043,Lower LST
query_1,TRUE,9.14646058338839e-19,12615,670,501,0.747761194029851,0.0397146254458977,GO:0008152,GO:BP,metabolic process,21925,3111,Lower LST
query_1,TRUE,3.03030930672132e-18,146,670,34,0.0507462686567164,0.232876712328767,GO:0019684,GO:BP,photosynthesis, light reaction,21925,5970,Lower LST
query_1,TRUE,5.485955685773e-18,71,670,25,0.0373134328358209,0.352112676056338,GO:0006779,GO:BP,porphyrin-containing compound biosynthetic process,21925,2457,Lower LST
query_1,TRUE,2.29425116386311e-17,75,670,25,0.0373134328358209,0.333333333333333,GO:0033014,GO:BP,tetrapyrrole biosynthetic process,21925,7922,Lower LST
query_1,TRUE,2.58772208149431e-17,37,670,19,0.0283582089552239,0.513513513513513,GO:0009765,GO:BP,photosynthesis, light harvesting,21925,3647,Lower LST
query_1,TRUE,1.53236221271472e-16,261,670,42,0.0626865671641791,0.160919540229885,GO:0009657,GO:BP,plastid organization,21925,3558,Lower LST
query_1,TRUE,1.87115721141209e-16,90,670,26,0.0388059701492537,0.288888888888889,GO:0015994,GO:BP,chlorophyll metabolic process,21925,5042,Lower LST
query_1,TRUE,6.92590795010584e-15,103,670,26,0.0388059701492537,0.252427184466019,GO:0006778,GO:BP,porphyrin-containing compound metabolic process,21925,2456,Lower LST
query_1,TRUE,1.00433038335431e-14,105,670,26,0.0388059701492537,0.247619047619048,GO:0033013,GO:BP,tetrapyrrole metabolic process,21925,7921,Lower LST
query_1,TRUE,1.05170322201981e-14,146,670,30,0.0447761194029851,0.205479452054795,GO:0046148,GO:BP,pigment biosynthetic process,21925,11756,Lower LST
query_1,TRUE,9.32939652995287e-13,462,670,50,0.0746268656716418,0.108225108225108,GO:0006091,GO:BP,generation of precursor metabolites and energy,21925,1950,Lower LST
query_1,TRUE,1.26079656860871e-12,186,670,31,0.0462686567164179,0.166666666666667,GO:0042440,GO:BP,pigment metabolic process,21925,10087,Lower LST
