query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,Upregulated
query_1,TRUE,4.52477274033082e-33,2131,426,133,0.312206572769953,0.0624120131393712,GO:0009628,GO:BP,response to abiotic stimulus,21925,3535,Brachwitz
query_1,TRUE,3.52768033085681e-22,6001,426,215,0.504694835680751,0.0358273621063156,GO:0050896,GO:BP,response to stimulus,21925,13167,Brachwitz
query_1,TRUE,2.9093292969434e-18,3733,426,151,0.354460093896714,0.0404500401821591,GO:0006950,GO:BP,response to stress,21925,2571,Brachwitz
query_1,TRUE,7.15333724241345e-13,1659,426,81,0.190140845070423,0.0488245931283906,GO:1901700,GO:BP,response to oxygen-containing compound,21925,21371,Brachwitz
query_1,TRUE,4.19987496806824e-09,424,426,32,0.0751173708920188,0.0754716981132075,GO:0009414,GO:BP,response to water deprivation,21925,3464,Brachwitz
query_1,TRUE,9.19114844850779e-08,2940,426,102,0.23943661971831,0.0346938775510204,GO:0042221,GO:BP,response to chemical,21925,9956,Brachwitz
query_1,TRUE,7.64074831930347e-07,12615,426,300,0.704225352112676,0.0237812128418549,GO:0008152,GO:BP,metabolic process,21925,3111,Brachwitz
query_1,TRUE,5.33263425149115e-06,1684,426,64,0.150234741784038,0.0380047505938242,GO:0009605,GO:BP,response to external stimulus,21925,3519,Brachwitz
query_1,TRUE,8.7025699931081e-06,1022,426,45,0.105633802816901,0.0440313111545988,GO:0033993,GO:BP,response to lipid,21925,8310,Brachwitz
query_1,TRUE,1.11822597404316e-05,16591,426,364,0.854460093896714,0.0219396058103791,GO:0009987,GO:BP,cellular process,21925,3796,Brachwitz
query_1,TRUE,3.56776838950875e-05,613,426,31,0.0727699530516432,0.0505709624796085,GO:0097305,GO:BP,response to alcohol,21925,18345,Brachwitz
query_1,TRUE,7.25906429810459e-05,1595,426,58,0.136150234741784,0.0363636363636364,GO:0044281,GO:BP,small molecule metabolic process,21925,10850,Brachwitz
query_1,TRUE,9.85263220551736e-05,1461,426,54,0.126760563380282,0.0369609856262834,GO:0051707,GO:BP,response to other organism,21925,13714,Brachwitz
query_1,TRUE,9.85263220551736e-05,1461,426,54,0.126760563380282,0.0369609856262834,GO:0043207,GO:BP,response to external biotic stimulus,21925,10480,Brachwitz
