query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,Upregulated
query_1,TRUE,3.82719850409849e-16,1068,863,106,0.122827346465817,0.099250936329588,GO:0006082,GO:BP,organic acid metabolic process,21925,1943,Spiekeroog
query_1,TRUE,3.82719850409849e-16,1067,863,106,0.122827346465817,0.0993439550140581,GO:0043436,GO:BP,oxoacid metabolic process,21925,10596,Spiekeroog
query_1,TRUE,6.56211271380546e-16,230,863,44,0.0509849362688297,0.191304347826087,GO:0031667,GO:BP,response to nutrient levels,21925,7231,Spiekeroog
query_1,TRUE,2.04065725577779e-15,158,863,36,0.0417149478563152,0.227848101265823,GO:0031669,GO:BP,cellular response to nutrient levels,21925,7232,Spiekeroog
query_1,TRUE,7.40202908034e-14,2897,863,200,0.231749710312862,0.0690369347600966,GO:0051716,GO:BP,cellular response to stimulus,21925,13719,Spiekeroog
query_1,TRUE,1.99122113874798e-13,182,863,36,0.0417149478563152,0.197802197802198,GO:0042594,GO:BP,response to starvation,21925,10161,Spiekeroog
query_1,TRUE,3.54775263408208e-13,1378,863,117,0.135573580533024,0.0849056603773585,GO:0009056,GO:BP,catabolic process,21925,3218,Spiekeroog
query_1,TRUE,7.14906823734185e-13,1085,863,99,0.114716106604867,0.0912442396313364,GO:0033554,GO:BP,cellular response to stress,21925,8226,Spiekeroog
query_1,TRUE,1.01558561176519e-12,143,863,31,0.0359212050984936,0.216783216783217,GO:0009267,GO:BP,cellular response to starvation,21925,3418,Spiekeroog
query_1,TRUE,1.38627158941092e-11,955,863,88,0.101969872537659,0.0921465968586387,GO:0019752,GO:BP,carboxylic acid metabolic process,21925,6004,Spiekeroog
query_1,TRUE,4.69103062812034e-11,1669,863,127,0.147161066048667,0.0760934691431995,GO:0070887,GO:BP,cellular response to chemical stimulus,21925,16130,Spiekeroog
query_1,TRUE,4.51409345194179e-10,435,863,51,0.0590961761297798,0.117241379310345,GO:0006520,GO:BP,amino acid metabolic process,21925,2233,Spiekeroog
query_1,TRUE,9.48540179209118e-10,320,863,42,0.048667439165701,0.13125,GO:0006790,GO:BP,sulfur compound metabolic process,21925,2468,Spiekeroog
query_1,TRUE,3.33132955168453e-09,171,863,29,0.033603707995365,0.169590643274854,GO:0090693,GO:BP,plant organ senescence,21925,18174,Spiekeroog
query_1,TRUE,5.91700505284265e-09,164,863,28,0.0324449594438007,0.170731707317073,GO:0010150,GO:BP,leaf senescence,21925,3937,Spiekeroog
query_1,TRUE,2.33651101449052e-08,5330,863,290,0.33603707995365,0.0544090056285178,GO:0065007,GO:BP,biological regulation,21925,15666,Spiekeroog
query_1,TRUE,3.69163950758388e-08,239,863,33,0.0382387022016222,0.138075313807531,GO:0071456,GO:BP,cellular response to hypoxia,21925,16459,Spiekeroog
query_1,TRUE,4.24692266556167e-08,241,863,33,0.0382387022016222,0.136929460580913,GO:0071453,GO:BP,cellular response to oxygen levels,21925,16456,Spiekeroog
query_1,TRUE,4.24692266556167e-08,241,863,33,0.0382387022016222,0.136929460580913,GO:0036294,GO:BP,cellular response to decreased oxygen levels,21925,9458,Spiekeroog
query_1,TRUE,5.85970677560703e-08,1635,863,115,0.133256083429896,0.0703363914373089,GO:0009725,GO:BP,response to hormone,21925,3608,Spiekeroog
query_1,TRUE,5.85970677560703e-08,1636,863,115,0.133256083429896,0.0702933985330073,GO:0009719,GO:BP,response to endogenous stimulus,21925,3602,Spiekeroog
query_1,TRUE,1.1034303909056e-07,3256,863,193,0.223638470451912,0.0592751842751843,GO:0032502,GO:BP,developmental process,21925,7558,Spiekeroog
query_1,TRUE,1.56707649006416e-07,2636,863,163,0.188876013904983,0.0618361153262519,GO:0051179,GO:BP,localization,21925,13378,Spiekeroog
query_1,TRUE,2.13419974842061e-07,1053,863,82,0.0950173812282735,0.0778727445394112,GO:0048518,GO:BP,positive regulation of biological process,21925,12634,Spiekeroog
query_1,TRUE,2.28041640627931e-07,2715,863,166,0.192352259559676,0.0611418047882136,GO:0007275,GO:BP,multicellular organism development,21925,2788,Spiekeroog
query_1,TRUE,2.53907283160724e-07,3166,863,187,0.216685979142526,0.0590650663297536,GO:0048856,GO:BP,anatomical structure development,21925,12931,Spiekeroog
query_1,TRUE,3.22424692452922e-07,1477,863,104,0.120509849362688,0.0704129993229519,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,21925,10892,Spiekeroog
