query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,Upregulated
query_1,TRUE,4.51793363864711e-53,2940,1603,444,0.276980661260137,0.151020408163265,GO:0042221,GO:BP,response to chemical,21925,9956,Spring
query_1,TRUE,1.02101931334945e-29,239,1603,80,0.049906425452277,0.334728033472803,GO:0071456,GO:BP,cellular response to hypoxia,21925,16459,Spring
query_1,TRUE,1.41870277387807e-29,241,1603,80,0.049906425452277,0.33195020746888,GO:0036294,GO:BP,cellular response to decreased oxygen levels,21925,9458,Spring
query_1,TRUE,1.41870277387807e-29,241,1603,80,0.049906425452277,0.33195020746888,GO:0071453,GO:BP,cellular response to oxygen levels,21925,16456,Spring
query_1,TRUE,1.31059849378084e-28,266,1603,83,0.0517779164067374,0.31203007518797,GO:0001666,GO:BP,response to hypoxia,21925,375,Spring
query_1,TRUE,3.45495301853768e-28,270,1603,83,0.0517779164067374,0.307407407407407,GO:0036293,GO:BP,response to decreased oxygen levels,21925,9457,Spring
query_1,TRUE,4.21429157489994e-28,271,1603,83,0.0517779164067374,0.306273062730627,GO:0070482,GO:BP,response to oxygen levels,21925,15915,Spring
query_1,TRUE,2.642744440247e-24,1669,1603,243,0.151590767311291,0.145596165368484,GO:0070887,GO:BP,cellular response to chemical stimulus,21925,16130,Spring
query_1,TRUE,1.43953649539626e-22,1085,1603,177,0.110417966313163,0.163133640552995,GO:0033554,GO:BP,cellular response to stress,21925,8226,Spring
query_1,TRUE,1.5186778957872e-20,1378,1603,203,0.126637554585153,0.147314949201742,GO:0009056,GO:BP,catabolic process,21925,3218,Spring
query_1,TRUE,2.16095291952216e-20,2897,1603,348,0.217092950717405,0.120124266482568,GO:0051716,GO:BP,cellular response to stimulus,21925,13719,Spring
query_1,TRUE,5.90536836880042e-20,424,1603,93,0.058016219588272,0.219339622641509,GO:0009414,GO:BP,response to water deprivation,21925,3464,Spring
query_1,TRUE,4.36105706102819e-19,436,1603,93,0.058016219588272,0.213302752293578,GO:0009415,GO:BP,response to water,21925,3465,Spring
query_1,TRUE,6.00355757357832e-19,164,1603,53,0.0330630068621335,0.323170731707317,GO:0010150,GO:BP,leaf senescence,21925,3937,Spring
query_1,TRUE,8.11460454385068e-19,171,1603,54,0.033686837180287,0.31578947368421,GO:0090693,GO:BP,plant organ senescence,21925,18174,Spring
query_1,TRUE,8.11460454385068e-19,464,1603,96,0.0598877105427324,0.206896551724138,GO:0001101,GO:BP,response to acid chemical,21925,285,Spring
query_1,TRUE,1.21884525809513e-18,1067,1603,165,0.102932002495321,0.154639175257732,GO:0043436,GO:BP,oxoacid metabolic process,21925,10596,Spring
query_1,TRUE,1.28215067372861e-18,1068,1603,165,0.102932002495321,0.154494382022472,GO:0006082,GO:BP,organic acid metabolic process,21925,1943,Spring
query_1,TRUE,4.3510627877207e-17,955,1603,149,0.0929507174048659,0.156020942408377,GO:0019752,GO:BP,carboxylic acid metabolic process,21925,6004,Spring
query_1,TRUE,6.53647459437681e-17,128,1603,44,0.0274485339987523,0.34375,GO:0046395,GO:BP,carboxylic acid catabolic process,21925,11957,Spring
query_1,TRUE,6.53647459437681e-17,128,1603,44,0.0274485339987523,0.34375,GO:0016054,GO:BP,organic acid catabolic process,21925,5062,Spring
query_1,TRUE,9.11073341282304e-17,158,1603,49,0.0305676855895196,0.310126582278481,GO:0031669,GO:BP,cellular response to nutrient levels,21925,7232,Spring
query_1,TRUE,1.33321728145839e-16,243,1603,62,0.0386774797255147,0.255144032921811,GO:0009611,GO:BP,response to wounding,21925,3525,Spring
query_1,TRUE,1.95271085720957e-16,1635,1603,216,0.134747348721148,0.132110091743119,GO:0009725,GO:BP,response to hormone,21925,3608,Spring
query_1,TRUE,2.0250659607728e-16,1636,1603,216,0.134747348721148,0.132029339853301,GO:0009719,GO:BP,response to endogenous stimulus,21925,3602,Spring
query_1,TRUE,6.13778463149492e-16,537,1603,99,0.0617592014971928,0.184357541899441,GO:0006970,GO:BP,response to osmotic stress,21925,2586,Spring
query_1,TRUE,2.62748456174396e-15,230,1603,58,0.0361821584529008,0.252173913043478,GO:0031667,GO:BP,response to nutrient levels,21925,7231,Spring
query_1,TRUE,4.98261676762352e-15,1477,1603,196,0.122270742358079,0.132701421800948,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,21925,10892,Spring
query_1,TRUE,6.30499625943933e-15,1461,1603,194,0.121023081721772,0.132785763175907,GO:0051707,GO:BP,response to other organism,21925,13714,Spring
