query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,Upregulated
query_1,TRUE,1.61499680534275e-58,2940,1097,354,0.322698268003646,0.120408163265306,GO:0042221,GO:BP,response to chemical,21925,9956,Upper LST
query_1,TRUE,1.13856306190964e-53,3733,1097,399,0.363719234275296,0.106884543262791,GO:0006950,GO:BP,response to stress,21925,2571,Upper LST
query_1,TRUE,3.63593793441929e-31,239,1097,69,0.0628988149498633,0.288702928870293,GO:0071456,GO:BP,cellular response to hypoxia,21925,16459,Upper LST
query_1,TRUE,4.8741939892097e-31,241,1097,69,0.0628988149498633,0.286307053941909,GO:0071453,GO:BP,cellular response to oxygen levels,21925,16456,Upper LST
query_1,TRUE,4.8741939892097e-31,241,1097,69,0.0628988149498633,0.286307053941909,GO:0036294,GO:BP,cellular response to decreased oxygen levels,21925,9458,Upper LST
query_1,TRUE,7.00679392305031e-30,266,1097,71,0.064721969006381,0.266917293233083,GO:0001666,GO:BP,response to hypoxia,21925,375,Upper LST
query_1,TRUE,1.77978088879433e-29,270,1097,71,0.064721969006381,0.262962962962963,GO:0036293,GO:BP,response to decreased oxygen levels,21925,9457,Upper LST
query_1,TRUE,2.09017283422009e-29,271,1097,71,0.064721969006381,0.261992619926199,GO:0070482,GO:BP,response to oxygen levels,21925,15915,Upper LST
query_1,TRUE,3.13023946415655e-28,1669,1097,196,0.178669097538742,0.117435590173757,GO:0070887,GO:BP,cellular response to chemical stimulus,21925,16130,Upper LST
query_1,TRUE,7.91214736161843e-25,1085,1097,143,0.130355515041021,0.131797235023041,GO:0033554,GO:BP,cellular response to stress,21925,8226,Upper LST
query_1,TRUE,1.1388286126896e-24,2897,1097,273,0.248860528714676,0.0942354159475319,GO:0051716,GO:BP,cellular response to stimulus,21925,13719,Upper LST
query_1,TRUE,2.24304719746975e-24,424,1097,82,0.0747493163172288,0.193396226415094,GO:0009414,GO:BP,response to water deprivation,21925,3464,Upper LST
query_1,TRUE,1.49973744330806e-23,436,1097,82,0.0747493163172288,0.188073394495413,GO:0009415,GO:BP,response to water,21925,3465,Upper LST
query_1,TRUE,5.26589779437252e-23,464,1097,84,0.0765724703737466,0.181034482758621,GO:0001101,GO:BP,response to acid chemical,21925,285,Upper LST
query_1,TRUE,3.73787188229531e-19,158,1097,44,0.0401093892433911,0.278481012658228,GO:0031669,GO:BP,cellular response to nutrient levels,21925,7232,Upper LST
query_1,TRUE,5.10870270233102e-19,1477,1097,160,0.145852324521422,0.10832769126608,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,21925,10892,Upper LST
query_1,TRUE,1.00654923862554e-18,1461,1097,158,0.144029170464904,0.108145106091718,GO:0043207,GO:BP,response to external biotic stimulus,21925,10480,Upper LST
query_1,TRUE,1.00654923862554e-18,1461,1097,158,0.144029170464904,0.108145106091718,GO:0051707,GO:BP,response to other organism,21925,13714,Upper LST
query_1,TRUE,2.33925650990602e-18,1488,1097,159,0.144940747493163,0.106854838709677,GO:0009607,GO:BP,response to biotic stimulus,21925,3521,Upper LST
query_1,TRUE,3.61174495958874e-18,1635,1097,169,0.154056517775752,0.103363914373089,GO:0009725,GO:BP,response to hormone,21925,3608,Upper LST
query_1,TRUE,3.6853244502653e-18,1636,1097,169,0.154056517775752,0.103300733496333,GO:0009719,GO:BP,response to endogenous stimulus,21925,3602,Upper LST
query_1,TRUE,4.81671683382927e-18,243,1097,53,0.0483135824977211,0.218106995884774,GO:0009611,GO:BP,response to wounding,21925,3525,Upper LST
query_1,TRUE,1.48092722400691e-16,1684,1097,168,0.153144940747493,0.0997624703087886,GO:0009605,GO:BP,response to external stimulus,21925,3519,Upper LST
query_1,TRUE,3.25492981075763e-16,230,1097,49,0.0446672743846855,0.21304347826087,GO:0031667,GO:BP,response to nutrient levels,21925,7231,Upper LST
query_1,TRUE,7.23516664961342e-16,143,1097,38,0.0346399270738377,0.265734265734266,GO:0009267,GO:BP,cellular response to starvation,21925,3418,Upper LST
query_1,TRUE,2.07277792010125e-15,1022,1097,117,0.10665451230629,0.114481409001957,GO:0033993,GO:BP,response to lipid,21925,8310,Upper LST
query_1,TRUE,2.42062355835957e-15,1378,1097,143,0.130355515041021,0.10377358490566,GO:0009056,GO:BP,catabolic process,21925,3218,Upper LST
query_1,TRUE,3.38547325798671e-15,182,1097,42,0.0382862351868733,0.230769230769231,GO:0042594,GO:BP,response to starvation,21925,10161,Upper LST
query_1,TRUE,7.17763644368861e-15,1067,1097,119,0.108477666362808,0.111527647610122,GO:0043436,GO:BP,oxoacid metabolic process,21925,10596,Upper LST
query_1,TRUE,7.47077052799062e-15,1068,1097,119,0.108477666362808,0.111423220973783,GO:0006082,GO:BP,organic acid metabolic process,21925,1943,Upper LST
query_1,TRUE,1.36428063704403e-14,537,1097,76,0.0692798541476755,0.141527001862197,GO:0006970,GO:BP,response to osmotic stress,21925,2586,Upper LST
query_1,TRUE,1.9611745396051e-13,955,1097,107,0.097538742023701,0.112041884816754,GO:0019752,GO:BP,carboxylic acid metabolic process,21925,6004,Upper LST
query_1,TRUE,3.40432245795924e-13,171,1097,38,0.0346399270738377,0.222222222222222,GO:0090693,GO:BP,plant organ senescence,21925,18174,Upper LST
query_1,TRUE,4.539816786484e-13,164,1097,37,0.0337283500455789,0.225609756097561,GO:0010150,GO:BP,leaf senescence,21925,3937,Upper LST
query_1,TRUE,1.77462574565276e-12,613,1097,78,0.0711030082041933,0.127243066884176,GO:0097305,GO:BP,response to alcohol,21925,18345,Upper LST
query_1,TRUE,2.30501459732571e-12,604,1097,77,0.0701914311759344,0.127483443708609,GO:0009737,GO:BP,response to abscisic acid,21925,3619,Upper LST
query_1,TRUE,4.83713665967755e-11,128,1097,30,0.0273473108477666,0.234375,GO:0046395,GO:BP,carboxylic acid catabolic process,21925,11957,Upper LST
query_1,TRUE,4.83713665967755e-11,128,1097,30,0.0273473108477666,0.234375,GO:0016054,GO:BP,organic acid catabolic process,21925,5062,Upper LST
query_1,TRUE,6.80746389946089e-11,426,1097,59,0.0537830446672744,0.13849765258216,GO:0006979,GO:BP,response to oxidative stress,21925,2591,Upper LST
query_1,TRUE,6.6590558280805e-10,1636,1097,144,0.13126709206928,0.0880195599022005,GO:0006952,GO:BP,defense response,21925,2572,Upper LST
query_1,TRUE,1.33420308040565e-09,2477,1097,196,0.178669097538742,0.0791279773920065,GO:0006810,GO:BP,transport,21925,2482,Upper LST
query_1,TRUE,1.64685409093059e-09,320,1097,47,0.0428441203281677,0.146875,GO:0006790,GO:BP,sulfur compound metabolic process,21925,2468,Upper LST
query_1,TRUE,3.55363151203788e-09,316,1097,46,0.0419325432999088,0.145569620253165,GO:0009636,GO:BP,response to toxic substance,21925,3540,Upper LST
query_1,TRUE,3.80210164532569e-09,446,1097,57,0.0519598906107566,0.12780269058296,GO:0009651,GO:BP,response to salt stress,21925,3555,Upper LST
query_1,TRUE,5.51526318967658e-09,2636,1097,203,0.185050136736554,0.07701062215478,GO:0051179,GO:BP,localization,21925,13378,Upper LST
query_1,TRUE,5.51526318967658e-09,463,1097,58,0.0528714676390155,0.125269978401728,GO:0009617,GO:BP,response to bacterium,21925,3529,Upper LST
query_1,TRUE,6.63722323243805e-09,38,1097,15,0.0136736554238833,0.394736842105263,GO:0043562,GO:BP,cellular response to nitrogen levels,21925,10674,Upper LST
query_1,TRUE,8.87871984718164e-09,2536,1097,196,0.178669097538742,0.0772870662460568,GO:0051234,GO:BP,establishment of localization,21925,13403,Upper LST
query_1,TRUE,1.17565716666671e-08,178,1097,32,0.0291704649042844,0.179775280898876,GO:0044282,GO:BP,small molecule catabolic process,21925,10851,Upper LST
query_1,TRUE,3.59166533043866e-08,1154,1097,106,0.0966271649954421,0.0918544194107452,GO:0098542,GO:BP,defense response to other organism,21925,18545,Upper LST
query_1,TRUE,5.74202953125848e-08,1239,1097,111,0.101185050136737,0.089588377723971,GO:0055085,GO:BP,transmembrane transport,21925,14029,Upper LST
query_1,TRUE,1.77218354604295e-07,275,1097,39,0.0355515041020966,0.141818181818182,GO:0098754,GO:BP,detoxification,21925,18624,Upper LST
query_1,TRUE,7.06392301654003e-07,489,1097,55,0.0501367365542388,0.112474437627812,GO:0032787,GO:BP,monocarboxylic acid metabolic process,21925,7765,Upper LST
query_1,TRUE,7.31398091510636e-07,821,1097,79,0.0720145852324521,0.0962241169305725,GO:0048522,GO:BP,positive regulation of cellular process,21925,12638,Upper LST
query_1,TRUE,9.74575221105969e-07,235,1097,34,0.0309936189608022,0.14468085106383,GO:0070542,GO:BP,response to fatty acid,21925,15943,Upper LST
query_1,TRUE,1.04855980202423e-06,39,1097,13,0.0118505013673655,0.333333333333333,GO:0009062,GO:BP,fatty acid catabolic process,21925,3224,Upper LST
query_1,TRUE,1.24320926282475e-06,407,1097,48,0.0437556973564266,0.117936117936118,GO:0048366,GO:BP,leaf development,21925,12534,Upper LST
query_1,TRUE,1.77057202903458e-06,276,1097,37,0.0337283500455789,0.134057971014493,GO:0006631,GO:BP,fatty acid metabolic process,21925,2335,Upper LST
query_1,TRUE,1.99564481939258e-06,231,1097,33,0.0300820419325433,0.142857142857143,GO:0009753,GO:BP,response to jasmonic acid,21925,3635,Upper LST
query_1,TRUE,2.26966106700076e-06,1053,1097,93,0.0847766636280766,0.0883190883190883,GO:0048518,GO:BP,positive regulation of biological process,21925,12634,Upper LST
query_1,TRUE,2.33059469496784e-06,35,1097,12,0.0109389243391067,0.342857142857143,GO:0006635,GO:BP,fatty acid beta-oxidation,21925,2338,Upper LST
query_1,TRUE,2.43802975664463e-06,29,1097,11,0.0100273473108478,0.379310344827586,GO:0006995,GO:BP,cellular response to nitrogen starvation,21925,2597,Upper LST
query_1,TRUE,2.52472307491836e-06,49,1097,14,0.0127620783956244,0.285714285714286,GO:0034440,GO:BP,lipid oxidation,21925,8570,Upper LST
query_1,TRUE,3.41232959429328e-06,435,1097,49,0.0446672743846855,0.11264367816092,GO:0006520,GO:BP,amino acid metabolic process,21925,2233,Upper LST
query_1,TRUE,4.82712422700081e-06,5330,1097,340,0.309936189608022,0.0637898686679174,GO:0065007,GO:BP,biological regulation,21925,15666,Upper LST
query_1,TRUE,5.33555006718985e-06,185,1097,28,0.0255241567912489,0.151351351351351,GO:0009751,GO:BP,response to salicylic acid,21925,3633,Upper LST
query_1,TRUE,6.13572106398774e-06,255,1097,34,0.0309936189608022,0.133333333333333,GO:0009408,GO:BP,response to heat,21925,3459,Upper LST
