PC	eigenvalue	proportion of total	cumulative proportion
0	21.30585	0.14794	0.14794
1	13.28565	0.09225	0.2402
2	6.25181	0.04341	0.28361
3	4.16551	0.02892	0.31253
4	3.67965	0.02555	0.33808
5	2.97029	0.02063	0.35871
6	2.19155	0.01522	0.37393
7	1.96909	0.01367	0.3876
8	1.25262	0.0087	0.3963
9	1.17951	0.00819	0.40449
10	1.0074	0.007	0.41148
11	0.91231	0.00633	0.41782
12	0.80161	0.00557	0.42338
13	0.72683	0.00505	0.42843
14	0.71613	0.00497	0.4334
15	0.67319	0.00467	0.43808
16	0.60599	0.00421	0.44229
17	0.60131	0.00418	0.44646
18	0.57428	0.00399	0.45045
19	0.5665	0.00393	0.45438
20	0.54565	0.00379	0.45817
21	0.52816	0.00367	0.46184
22	0.51899	0.0036	0.46544
23	0.51302	0.00356	0.469
24	0.50311	0.00349	0.4725
25	0.48741	0.00338	0.47588
26	0.47453	0.0033	0.47918
27	0.46746	0.00325	0.48242
28	0.45863	0.00318	0.48561
29	0.44844	0.00311	0.48872
30	0.43982	0.00305	0.49178
31	0.42575	0.00296	0.49473
32	0.42275	0.00294	0.49767
33	0.41393	0.00287	0.50054
34	0.40865	0.00284	0.50338
35	0.40231	0.00279	0.50617
36	0.39713	0.00276	0.50893
37	0.39466	0.00274	0.51167
38	0.39281	0.00273	0.5144
39	0.38753	0.00269	0.51709
40	0.38225	0.00265	0.51974
41	0.37422	0.0026	0.52234
42	0.37259	0.00259	0.52493
43	0.36745	0.00255	0.52748
44	0.36501	0.00253	0.53002
45	0.35827	0.00249	0.5325
46	0.35635	0.00247	0.53498
47	0.3527	0.00245	0.53743
48	0.34716	0.00241	0.53984
49	0.34533	0.0024	0.54224
50	0.34189	0.00237	0.54461
51	0.33834	0.00235	0.54696
52	0.33481	0.00232	0.54928
53	0.3326	0.00231	0.55159
54	0.3276	0.00227	0.55387
55	0.3254	0.00226	0.55613
56	0.32176	0.00223	0.55836
57	0.31997	0.00222	0.56058
58	0.31662	0.0022	0.56278
59	0.31417	0.00218	0.56496
60	0.31078	0.00216	0.56712
61	0.30969	0.00215	0.56927
62	0.30847	0.00214	0.57141
63	0.30327	0.00211	0.57352
64	0.30066	0.00209	0.57561
65	0.29987	0.00208	0.57769
66	0.29795	0.00207	0.57976
67	0.29628	0.00206	0.58182
68	0.29564	0.00205	0.58387
69	0.29193	0.00203	0.5859
70	0.29168	0.00203	0.58792
71	0.28854	0.002	0.58993
72	0.28616	0.00199	0.59191
73	0.28464	0.00198	0.59389
74	0.28155	0.00196	0.59584
75	0.28139	0.00195	0.5978
76	0.27705	0.00192	0.59972
77	0.27656	0.00192	0.60164
78	0.27472	0.00191	0.60355
79	0.27243	0.00189	0.60544
80	0.26968	0.00187	0.60731
81	0.26807	0.00186	0.60918
82	0.26548	0.00184	0.61102
83	0.26506	0.00184	0.61286
84	0.26308	0.00183	0.61469
85	0.26169	0.00182	0.6165
86	0.26049	0.00181	0.61831
87	0.25842	0.00179	0.62011
88	0.25691	0.00178	0.62189
89	0.25572	0.00178	0.62367
90	0.25374	0.00176	0.62543
91	0.25237	0.00175	0.62718
92	0.25162	0.00175	0.62893
93	0.25096	0.00174	0.63067
94	0.25021	0.00174	0.63241
95	0.24818	0.00172	0.63413
96	0.24562	0.00171	0.63584
97	0.24457	0.0017	0.63753
98	0.24349	0.00169	0.63923
99	0.24227	0.00168	0.64091
100	0.24161	0.00168	0.64259
101	0.23873	0.00166	0.64424
102	0.2371	0.00165	0.64589
103	0.23498	0.00163	0.64752
104	0.23411	0.00163	0.64915
105	0.2337	0.00162	0.65077
106	0.23161	0.00161	0.65238
107	0.2307	0.0016	0.65398
108	0.23012	0.0016	0.65558
109	0.22755	0.00158	0.65716
110	0.22614	0.00157	0.65873
111	0.22584	0.00157	0.6603
112	0.22483	0.00156	0.66186
113	0.22343	0.00155	0.66341
114	0.22284	0.00155	0.66496
115	0.22232	0.00154	0.6665
116	0.22107	0.00154	0.66804
117	0.22049	0.00153	0.66957
118	0.21928	0.00152	0.67109
119	0.21747	0.00151	0.6726
120	0.21676	0.00151	0.6741
121	0.2163	0.0015	0.67561
122	0.21494	0.00149	0.6771
123	0.21434	0.00149	0.67859
124	0.21309	0.00148	0.68007
125	0.21266	0.00148	0.68154
126	0.21053	0.00146	0.683
127	0.20958	0.00146	0.68446
128	0.20882	0.00145	0.68591
129	0.20823	0.00145	0.68736
130	0.20681	0.00144	0.68879
131	0.20641	0.00143	0.69023
132	0.20592	0.00143	0.69166
133	0.20372	0.00141	0.69307
134	0.20279	0.00141	0.69448
135	0.20206	0.0014	0.69588
136	0.20071	0.00139	0.69727
137	0.20048	0.00139	0.69867
138	0.19856	0.00138	0.70005
139	0.19816	0.00138	0.70142
140	0.19752	0.00137	0.70279
141	0.19646	0.00136	0.70416
142	0.19558	0.00136	0.70552
143	0.19504	0.00135	0.70687
144	0.19465	0.00135	0.70822
145	0.19361	0.00134	0.70957
146	0.19292	0.00134	0.71091
147	0.19253	0.00134	0.71224
148	0.19087	0.00133	0.71357
149	0.18981	0.00132	0.71489
150	0.18881	0.00131	0.7162
151	0.18835	0.00131	0.7175
152	0.18787	0.0013	0.71881
153	0.18713	0.0013	0.72011
154	0.18591	0.00129	0.7214
155	0.18543	0.00129	0.72269
156	0.1848	0.00128	0.72397
157	0.18452	0.00128	0.72525
158	0.18279	0.00127	0.72652
159	0.18227	0.00127	0.72779
160	0.18176	0.00126	0.72905
161	0.18095	0.00126	0.7303
162	0.1801	0.00125	0.73156
163	0.17944	0.00125	0.7328
164	0.17829	0.00124	0.73404
165	0.17717	0.00123	0.73527
166	0.17697	0.00123	0.7365
167	0.17671	0.00123	0.73773
168	0.17574	0.00122	0.73895
169	0.17539	0.00122	0.74016
170	0.17487	0.00121	0.74138
171	0.17438	0.00121	0.74259
172	0.17388	0.00121	0.7438
173	0.1722	0.0012	0.74499
174	0.17111	0.00119	0.74618
