Taxa	PC1	PC2	PC3	PC4	PC5
481	-14.1279955	-1.1252675	15.646935	-1.7773575	-2.130898
482	7.4438057	-1.7132711	1.2348003	3.1007137	-1.0068744
483	-7.714187	-1.6140949	12.441961	-1.3883781	-2.3424244
486	7.3874664	-1.7940711	1.2474474	2.5295522	-0.5685152
487	6.726402	-1.8029156	1.6353776	2.6634789	-0.5840495
489	6.22949	-1.8253914	1.5082554	2.0938463	-0.5543383
490	-14.90948	-1.2611378	16.091074	-1.3079127	-2.1036966
491	-16.030622	-1.1814213	16.800865	-1.7099022	-2.3532772
492	-4.0311704	-1.185248	10.51899	1.5730495	2.3798187
493	-16.42168	-0.9637766	16.973124	-1.9212325	-2.9940603
494	0.7237574	-1.7622616	3.0006468	3.7007987	-2.3416004
495	7.5558066	-1.720945	1.2152548	2.9828582	-0.48322016
498	-2.309221	-1.1358719	4.2144017	1.8317574	-2.3482082
499	7.544177	-1.5260248	0.92476946	2.444896	-0.18528692
500	-1.2773952	-1.2003114	5.3249454	1.402632	-0.9682918
501	-15.442487	-1.0749111	16.354786	-2.1442144	-1.8221561
503	6.937668	-1.3167017	1.409112	2.5338933	-1.0706824
504	0.8858189	-2.5440047	5.2926354	1.8029318	-1.249446
506	7.3171945	-1.7852161	1.189325	2.4328234	-0.50937897
507	4.0163984	-1.4687058	2.1987772	0.3371503	-0.0061983163
508	7.315869	-1.8028259	1.2810867	2.553015	-0.6838155
509	7.4009314	-1.8144677	1.1722887	2.8886871	-0.8307143
510	-12.908221	-1.6460853	14.534734	-1.9929173	-1.6188127
511	7.161534	-1.8397605	1.4720718	2.856035	-0.6778144
513	6.289876	-1.6052952	1.7164121	2.402613	-0.59801465
514	4.484068	-1.6613326	2.8676648	2.0141473	-0.7667012
515	7.8937793	-1.7251852	1.1449072	2.686655	-0.9253897
516	7.7381744	-1.8845924	0.89719003	2.5924628	-0.5535815
517	6.0343075	-1.7657521	1.6088976	2.13031	-0.46944538
518	6.4175444	-1.5494747	1.5932739	0.9673433	-0.09517773
519	7.717295	-1.7734092	1.0170192	2.791675	-0.7361172
520	7.7180796	-1.8649967	1.0509026	2.5185158	-0.95478725
521	7.7188487	-1.7626332	0.934643	2.5212138	-0.4365927
522	7.658339	-1.7881265	0.8226765	2.3509314	-0.43360987
523	7.275312	-1.7547133	1.1340938	2.4631839	-0.39633378
524	7.7335486	-1.8665222	0.94694567	2.6225772	-0.77541405
525	-6.9127026	-0.7479921	12.427237	2.0089045	5.2257876
526	-2.525425	-0.66575783	3.9208724	0.14511554	-0.46122134
527	-15.37334	-1.3618764	16.561666	-1.883271	-2.0947928
531	6.684185	-1.6823722	1.4148009	2.4418123	-0.8177258
532	7.5075707	-1.9569658	1.0106128	2.4555876	-0.26099443
533	-2.295486	-0.9630999	9.6052685	4.2763047	10.1394205
534	7.7615967	-1.8080847	0.7769194	2.595669	-0.63936234
535	-4.9596534	-1.5451666	11.566285	4.027768	11.761752
536	7.1460643	-1.8809801	1.174348	2.7749603	-0.4209634
537	7.694355	-1.6915104	1.1166075	2.951409	-0.49274552
538	7.79027	-1.8801723	0.9715761	2.9605205	-0.4791909
539	7.3489456	-1.7344522	1.2746954	2.785456	-0.80173457
540	7.7180076	-1.7153299	0.9994007	2.9295835	-0.55860883
541	7.5967245	-1.6591189	0.8630389	2.294344	-0.38888118
542	7.594936	-1.6302346	0.98589027	2.813465	-0.6550928
543	7.5175934	-1.7122614	1.250163	2.9458904	-0.38978943
544	-2.5014865	-1.2529778	9.942493	0.84614825	0.99590904
546	-14.549015	-0.8770532	16.324356	-1.2681588	-2.0436535
547	-16.930664	-1.0592481	17.519236	-2.4668775	-2.3366032
548	6.3551116	-1.7841429	1.3457575	1.5256902	-0.09581024
549	6.4600487	-1.389413	1.2942879	2.6685255	-0.82648605
550	7.7682896	-1.7752547	0.8813144	2.4758744	-0.5941529
551	7.098801	-1.6925442	1.3092543	2.6476238	-0.31420493
552	5.7335677	-1.540116	2.2327187	2.6785884	-0.82361203
554	6.920727	-1.8193952	1.297971	2.5655706	-0.3222745
555	7.558458	-1.7207499	0.9601788	2.733095	-0.80225044
556	6.9132514	-1.7787973	1.3037951	2.6024551	-0.44681653
557	7.763239	-1.7330874	1.0961688	2.5701766	-0.3483499
559	6.967589	-1.599866	1.4748813	2.7341778	-0.9034389
562	7.4689064	-1.6576091	1.0931295	2.799778	-0.52093935
563	7.463338	-1.8326153	1.1404878	2.8915749	-0.46577793
564	7.7847724	-1.6504235	0.82927334	2.47847	-0.6814912
