Gene;log2FoldChange;p_adj;state
AT3G12580;-7,392086421;8,53410797701146E-36;DOWN
AT5G44120;-6,685278969;6,14249819876815E-13;DOWN
AT4G25140;-6,457006291;6,52668250972118E-14;DOWN
AT1G03880;-6,425253059;4,1121503388264E-14;DOWN
AT5G52640;-5,828720656;1,06846275873138E-28;DOWN
AT1G36520;-5,78093854;5,1474520408448E-10;DOWN
AT5G45890;-5,768346109;1,86778677636447E-36;DOWN
AT5G12030;-5,626731921;9,26455105828357E-25;DOWN
AT1G67865;-5,423077422;1,42107314249346E-30;DOWN
AT5G42800;-5,351946162;8,26953753986616E-42;DOWN
AT4G21320;-5,33251468;2,15002134765277E-07;DOWN
AT5G54060;-5,309367984;5,49137137787414E-23;DOWN
AT1G64360;-5,020138984;6,38971855430612E-42;DOWN
AT5G59220;-4,782256615;2,06807570084186E-27;DOWN
AT4G22880;-4,775398612;1,56402114448415E-36;DOWN
AT1G65480;-4,748452608;1,34693655503589E-30;DOWN
AT1G17710;-4,651841839;2,53288211794622E-19;DOWN
AT3G27660;-4,645596268;8,98762376600271E-10;DOWN
AT5G23750;-4,585491766;6,78837242297002E-30;DOWN
AT4G28520;-4,463931211;1,57851143616693E-17;DOWN
AT1G04560;-4,450198443;1,5224573091397E-07;DOWN
AT2G31945;-4,339785463;3,59205066596301E-21;DOWN
AT4G27160;-4,245711122;1,63022868253825E-15;DOWN
AT1G67860;-4,220838979;3,74837885841055E-38;DOWN
AT4G32810;-4,196525173;4,30635007479986E-29;DOWN
AT2G32870;-4,178269266;7,01549749150593E-29;DOWN
AT5G60910;-4,1385751;4,5461531499035E-30;DOWN
AT4G14090;-4,135448396;6,26902153232989E-20;DOWN
AT3G29590;-4,0958969;1,09130390927919E-18;DOWN
AT1G11362;-4,079091258;0,002067009;DOWN
AT2G33380;-4,052987055;2,12042049542725E-37;DOWN
AT4G16000;-4,013832081;4,44297805941857E-28;DOWN
AT2G18050;-3,976821017;1,04858955641269E-24;DOWN
AT5G06760;-3,974714164;1,43824977326068E-23;DOWN
AT3G19580;-3,950675651;8,8428850643497E-30;DOWN
AT3G49580;-3,907522165;8,20765668584638E-24;DOWN
AT1G77450;-3,872955879;1,27102755440597E-32;DOWN
AT5G10625;-3,828455066;7,6764795475254E-19;DOWN
AT5G38710;-3,785147821;6,965696868313E-25;DOWN
AT1G05340;-3,766710714;2,99447417769096E-30;DOWN
AT1G11190;-3,736599693;1,29224377512694E-11;DOWN
AT1G13990;-3,731681343;2,27324138647393E-38;DOWN
AT4G30450;-3,725951993;4,40070567561893E-26;DOWN
AT5G65207;-3,722970897;2,3981637745254E-10;DOWN
AT3G03470;-3,715215251;8,92690921516509E-15;DOWN
AT5G33125;-3,686157981;1,10780048344025E-12;DOWN
AT4G37990;-3,685832141;3,18315263548233E-28;DOWN
AT2G32150;-3,6788746;2,62569236164271E-24;DOWN
AT3G09640;-3,6721099;1,27142175592577E-18;DOWN
AT2G25625;-3,632564058;1,82847059212236E-33;DOWN
AT1G66500;-3,620125164;5,22620403279435E-25;DOWN
AT5G16370;-3,605060899;1,22268280508665E-17;DOWN
AT2G37770;-3,586190608;4,13665666073973E-27;DOWN
AT4G22920;-3,585258125;5,6932222066494E-30;DOWN
AT1G13520;-3,527445963;2,171915206471E-08;DOWN
AT5G47370;-3,520081011;1,73205203762582E-23;DOWN
AT1G34060;-3,517739843;5,71954585464956E-18;DOWN
AT5G42380;-3,514729246;3,05189278300975E-24;DOWN
AT1G30040;-3,497708565;2,95765159890408E-15;DOWN
AT4G11910;-3,480710226;5,2995670304075E-24;DOWN
AT5G43620;-3,473086865;1,15929899221304E-24;DOWN
AT1G16030;-3,469579295;1,08654369334207E-11;DOWN
AT2G26150;-3,465370446;2,63283833332979E-13;DOWN
AT2G23000;-3,447987288;2,05705068040925E-17;DOWN
AT2G29500;-3,428051877;4,03392102673737E-18;DOWN
AT2G36950;-3,425494513;2,1476259537609E-21;DOWN
AT3G15500;-3,410096099;7,82952679043619E-19;DOWN
AT2G41380;-3,407796099;6,54682599244289E-25;DOWN
AT1G32920;-3,402201597;1,28353337734227E-36;DOWN
AT1G06520;-3,398359721;1,01968606934718E-10;DOWN
AT3G03910;-3,393844835;1,99044317377028E-16;DOWN
AT3G57540;-3,38698043;1,8567257365114E-29;DOWN
AT3G28100;-3,379676844;6,0355763557982E-12;DOWN
AT3G57520;-3,371838647;1,09636009784216E-18;DOWN
AT1G57590;-3,364748657;5,17154368855936E-15;DOWN
AT5G64240;-3,349517644;1,01321189925146E-28;DOWN
AT1G07350;-3,341557935;1,7583954838377E-29;DOWN
AT5G18630;-3,336788858;3,64095965932557E-14;DOWN
AT4G00780;-3,321268767;1,89361663900705E-35;DOWN
AT3G08860;-3,304877575;1,09362623665017E-11;DOWN
AT1G07500;-3,264942396;9,50130154925017E-22;DOWN
AT2G40000;-3,256639566;1,17389405442546E-30;DOWN
AT2G37750;-3,246283233;1,56501006197695E-13;DOWN
AT4G19840;-3,242662759;2,80818478069293E-39;DOWN
AT5G40690;-3,217232134;9,40689538005043E-22;DOWN
AT5G48180;-3,199066642;3,84770431707175E-35;DOWN
AT4G25000;-3,197332276;1,44436857645725E-15;DOWN
AT4G08290;-3,196811824;2,62778732529602E-19;DOWN
AT2G45210;-3,19638584;2,06116010144782E-18;DOWN
AT4G14020;-3,194739046;5,07529759935936E-38;DOWN
AT2G47190;-3,178219189;1,32042737317581E-21;DOWN
AT1G15380;-3,177263064;1,57980784073649E-16;DOWN
AT1G53560;-3,17692543;8,55828690221995E-17;DOWN
AT3G05630;-3,175702409;5,41835195891923E-16;DOWN
AT4G30460;-3,174955888;3,44222754029116E-27;DOWN
AT5G28870;-3,172887271;3,76271263826088E-08;DOWN
AT4G32250;-3,172001356;7,51307437498222E-28;DOWN
AT2G35900;-3,163600792;3,33064615618471E-10;DOWN
AT4G15490;-3,149189229;2,74636752671453E-29;DOWN
AT5G48850;-3,145644199;2,93342650184857E-16;DOWN
AT5G17220;-3,141395668;2,93203198854767E-31;DOWN
AT5G39850;-3,13932555;6,47547545109371E-21;DOWN
AT3G01970;-3,138516134;2,44805161617469E-19;DOWN
AT2G39890;-3,136079443;5,09180219777476E-17;DOWN
AT5G02560;-3,118462159;1,23671354761169E-15;DOWN
AT4G09820;-3,09990831;1,02897923527457E-19;DOWN
AT5G13080;-3,07483464;4,25403524110675E-15;DOWN
AT4G35060;-3,067210679;1,69843102919969E-18;DOWN
AT5G56870;-3,065740356;3,20857585432338E-16;DOWN
AT1G54575;-3,058010556;8,70565461600833E-24;DOWN
AT5G53120;-3,036763903;1,33295371653912E-12;DOWN
AT1G23040;-3,020231645;2,24732672548284E-26;DOWN
AT5G02230;-3,008833434;3,24415637811177E-26;DOWN
AT5G20250;-3,000105427;5,73339363268036E-17;DOWN
AT2G32210;-2,99997468;2,01828452788181E-07;DOWN
AT2G22860;-2,976887621;3,69650830927218E-17;DOWN
AT5G51990;-2,973575732;0,000108627;DOWN
AT3G60140;-2,97082278;1,14131460558566E-12;DOWN
AT2G15310;-2,964277566;4,51657268055289E-16;DOWN
AT3G12750;-2,956737506;1,65506042483086E-12;DOWN
AT3G62960;-2,943935316;5,99943300965219E-27;DOWN
AT3G58990;-2,938252667;0,001792835;DOWN
AT4G33150;-2,925787485;6,37496416786878E-17;DOWN
AT5G01550;-2,921212605;6,68655301585413E-12;DOWN
AT4G17870;-2,917080533;1,03172016821001E-16;DOWN
AT3G15353;-2,910192148;1,65570485243156E-40;DOWN
AT4G25390;-2,906045336;2,77896806948468E-14;DOWN
AT2G01890;-2,902622692;9,15517839660146E-12;DOWN
AT3G62260;-2,900779818;2,42357689817769E-32;DOWN
AT1G58340;-2,889222187;4,23584026189177E-11;DOWN
AT5G49360;-2,884254186;2,97341977786611E-16;DOWN
AT2G41730;-2,882679571;1,69437439514198E-08;DOWN
AT1G28130;-2,877903341;1,10043106896594E-07;DOWN
AT4G32070;-2,877292661;2,05210618953565E-14;DOWN
AT5G02020;-2,868536563;6,05647050192759E-13;DOWN
AT1G60610;-2,852480053;7,30633977871475E-11;DOWN
AT2G34810;-2,846958613;9,27676448677543E-18;DOWN
AT2G31110;-2,841711545;8,73580107111223E-11;DOWN
AT1G15670;-2,840311126;5,02363289416751E-11;DOWN
ATMG00460;-2,834652826;7,63626195060868E-12;DOWN
AT2G01610;-2,825898547;1,42139869952028E-15;DOWN
AT3G21790;-2,817814826;8,99537776036157E-18;DOWN
AT1G69790;-2,810071206;2,38331160930452E-19;DOWN
AT4G27020;-2,799106325;3,78535164486912E-17;DOWN
AT5G65300;-2,797601554;5,0862552279621E-20;DOWN
AT5G16570;-2,793668539;3,80667705656004E-29;DOWN
AT4G33040;-2,78698476;8,60643383643649E-32;DOWN
AT1G76650;-2,781749033;1,87723550987593E-22;DOWN
AT1G67810;-2,7753401;3,24692694047756E-14;DOWN
AT1G80920;-2,771770795;9,9966801037886E-20;DOWN
AT2G02990;-2,767212226;9,3366911941643E-17;DOWN
AT5G05340;-2,762774071;9,61885912664204E-14;DOWN
AT1G16960;-2,75641724;9,72336110419185E-09;DOWN
AT5G53730;-2,752963903;1,8487224631752E-13;DOWN
AT1G74930;-2,752216855;1,524966188996E-19;DOWN
AT2G37170;-2,749302758;6,55449965198937E-26;DOWN
AT3G63060;-2,742575203;9,45671890718011E-11;DOWN
AT5G27900;-2,741694591;0,00668489;DOWN
AT1G51340;-2,729443111;9,20501804523146E-15;DOWN
AT4G36950;-2,723739936;5,26268349768261E-11;DOWN
AT3G26580;-2,721633502;1,36006907714608E-24;DOWN
AT5G05110;-2,716530745;4,16431370554121E-23;DOWN
AT5G63800;-2,716329267;7,83491457988262E-17;DOWN
