sample,fastq_1,fastq_2,strandedness
SRX970683,/work/hartmaca/gehan_fetchngs/fastq/SRX970683_SRR1942839.fastq.gz,,auto
SRX970683,/work/hartmaca/gehan_fetchngs/fastq/SRX970683_SRR1942840.fastq.gz,,auto
SRX970684,/work/hartmaca/gehan_fetchngs/fastq/SRX970684_SRR1942841.fastq.gz,,auto
SRX970684,/work/hartmaca/gehan_fetchngs/fastq/SRX970684_SRR1942842.fastq.gz,,auto
SRX970685,/work/hartmaca/gehan_fetchngs/fastq/SRX970685_SRR1942843.fastq.gz,,auto
SRX970685,/work/hartmaca/gehan_fetchngs/fastq/SRX970685_SRR1942844.fastq.gz,,auto
SRX970686,/work/hartmaca/gehan_fetchngs/fastq/SRX970686_SRR1942845.fastq.gz,,auto
SRX970686,/work/hartmaca/gehan_fetchngs/fastq/SRX970686_SRR1942846.fastq.gz,,auto
SRX970687,/work/hartmaca/gehan_fetchngs/fastq/SRX970687_SRR1942847.fastq.gz,,auto
SRX970687,/work/hartmaca/gehan_fetchngs/fastq/SRX970687_SRR1942848.fastq.gz,,auto
SRX970688,/work/hartmaca/gehan_fetchngs/fastq/SRX970688_SRR1942849.fastq.gz,,auto
SRX970688,/work/hartmaca/gehan_fetchngs/fastq/SRX970688_SRR1942850.fastq.gz,,auto
SRX970689,/work/hartmaca/gehan_fetchngs/fastq/SRX970689_SRR1942851.fastq.gz,,auto
SRX970689,/work/hartmaca/gehan_fetchngs/fastq/SRX970689_SRR1942852.fastq.gz,,auto
SRX970690,/work/hartmaca/gehan_fetchngs/fastq/SRX970690_SRR1942853.fastq.gz,,auto
SRX970690,/work/hartmaca/gehan_fetchngs/fastq/SRX970690_SRR1942854.fastq.gz,,auto
SRX970691,/work/hartmaca/gehan_fetchngs/fastq/SRX970691_SRR1942855.fastq.gz,,auto
SRX970691,/work/hartmaca/gehan_fetchngs/fastq/SRX970691_SRR1942856.fastq.gz,,auto
SRX970692,/work/hartmaca/gehan_fetchngs/fastq/SRX970692_SRR1942857.fastq.gz,,auto
SRX970692,/work/hartmaca/gehan_fetchngs/fastq/SRX970692_SRR1942858.fastq.gz,,auto
SRX970693,/work/hartmaca/gehan_fetchngs/fastq/SRX970693_SRR1942859.fastq.gz,,auto
SRX970693,/work/hartmaca/gehan_fetchngs/fastq/SRX970693_SRR1942860.fastq.gz,,auto
SRX970694,/work/hartmaca/gehan_fetchngs/fastq/SRX970694_SRR1942861.fastq.gz,,auto
SRX970694,/work/hartmaca/gehan_fetchngs/fastq/SRX970694_SRR1942862.fastq.gz,,auto
SRX970695,/work/hartmaca/gehan_fetchngs/fastq/SRX970695_SRR1942863.fastq.gz,,auto
SRX970695,/work/hartmaca/gehan_fetchngs/fastq/SRX970695_SRR1942864.fastq.gz,,auto
SRX970696,/work/hartmaca/gehan_fetchngs/fastq/SRX970696_SRR1942865.fastq.gz,,auto
SRX970696,/work/hartmaca/gehan_fetchngs/fastq/SRX970696_SRR1942866.fastq.gz,,auto
SRX970697,/work/hartmaca/gehan_fetchngs/fastq/SRX970697_SRR1942867.fastq.gz,,auto
SRX970697,/work/hartmaca/gehan_fetchngs/fastq/SRX970697_SRR1942868.fastq.gz,,auto
SRX970698,/work/hartmaca/gehan_fetchngs/fastq/SRX970698_SRR1942869.fastq.gz,,auto
SRX970698,/work/hartmaca/gehan_fetchngs/fastq/SRX970698_SRR1942870.fastq.gz,,auto
SRX970699,/work/hartmaca/gehan_fetchngs/fastq/SRX970699_SRR1942871.fastq.gz,,auto
SRX970699,/work/hartmaca/gehan_fetchngs/fastq/SRX970699_SRR1942872.fastq.gz,,auto
SRX970700,/work/hartmaca/gehan_fetchngs/fastq/SRX970700_SRR1942873.fastq.gz,,auto
SRX970700,/work/hartmaca/gehan_fetchngs/fastq/SRX970700_SRR1942874.fastq.gz,,auto
