"Gene","Calixto","Gehan","Park","Jia","Tiwari"
"AT3G12580",TRUE,TRUE,TRUE,FALSE,TRUE
"AT5G44120",FALSE,FALSE,FALSE,FALSE,FALSE
"AT4G25140",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G03880",FALSE,FALSE,FALSE,FALSE,FALSE
"AT5G52640",TRUE,TRUE,TRUE,TRUE,FALSE
"AT1G36520",FALSE,FALSE,FALSE,FALSE,FALSE
"AT5G45890",FALSE,TRUE,TRUE,FALSE,FALSE
"AT5G12030",FALSE,TRUE,TRUE,FALSE,FALSE
"AT1G67865",TRUE,TRUE,TRUE,FALSE,TRUE
"AT5G42800",TRUE,TRUE,TRUE,TRUE,TRUE
"AT4G21320",TRUE,FALSE,TRUE,FALSE,FALSE
"AT5G54060",TRUE,FALSE,TRUE,FALSE,TRUE
"AT1G64360",TRUE,TRUE,FALSE,FALSE,TRUE
"AT5G59220",TRUE,FALSE,TRUE,TRUE,FALSE
"AT4G22880",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G65480",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G17710",TRUE,TRUE,TRUE,TRUE,FALSE
"AT3G27660",FALSE,TRUE,FALSE,FALSE,FALSE
"AT5G23750",FALSE,TRUE,TRUE,TRUE,TRUE
"AT4G28520",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G04560",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G31945",TRUE,TRUE,FALSE,FALSE,FALSE
"AT4G27160",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G67860",FALSE,TRUE,TRUE,FALSE,FALSE
"AT4G32810",FALSE,TRUE,FALSE,FALSE,FALSE
"AT2G32870",TRUE,TRUE,TRUE,TRUE,TRUE
"AT5G60910",FALSE,FALSE,TRUE,FALSE,FALSE
"AT4G14090",TRUE,FALSE,TRUE,FALSE,TRUE
"AT3G29590",TRUE,TRUE,TRUE,FALSE,TRUE
"AT1G11362",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G33380",TRUE,TRUE,TRUE,FALSE,TRUE
"AT4G16000",FALSE,TRUE,TRUE,TRUE,TRUE
"AT2G18050",TRUE,TRUE,TRUE,TRUE,TRUE
"AT5G06760",TRUE,TRUE,TRUE,TRUE,TRUE
"AT3G19580",TRUE,TRUE,TRUE,FALSE,TRUE
"AT3G49580",TRUE,TRUE,TRUE,TRUE,FALSE
"AT1G77450",TRUE,TRUE,TRUE,FALSE,FALSE
"AT5G10625",FALSE,TRUE,TRUE,FALSE,FALSE
"AT5G38710",TRUE,TRUE,TRUE,FALSE,FALSE
"AT1G05340",TRUE,FALSE,TRUE,FALSE,FALSE
"AT1G11190",FALSE,TRUE,TRUE,FALSE,FALSE
"AT1G13990",TRUE,TRUE,TRUE,FALSE,TRUE
"AT4G30450",FALSE,TRUE,TRUE,TRUE,FALSE
"AT5G65207",TRUE,TRUE,TRUE,TRUE,TRUE
"AT3G03470",TRUE,TRUE,TRUE,TRUE,TRUE
"AT5G33125",FALSE,FALSE,FALSE,FALSE,FALSE
"AT4G37990",TRUE,FALSE,TRUE,FALSE,FALSE
"AT2G32150",TRUE,TRUE,TRUE,TRUE,TRUE
"AT3G09640",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G25625",TRUE,TRUE,TRUE,FALSE,FALSE
"AT1G66500",FALSE,FALSE,TRUE,TRUE,TRUE
"AT5G16370",TRUE,TRUE,TRUE,TRUE,TRUE
"AT2G37770",TRUE,TRUE,TRUE,TRUE,TRUE
"AT4G22920",FALSE,TRUE,TRUE,FALSE,FALSE
"AT1G13520",TRUE,TRUE,TRUE,FALSE,FALSE
"AT5G47370",TRUE,TRUE,TRUE,FALSE,TRUE
"AT1G34060",FALSE,TRUE,TRUE,TRUE,TRUE
"AT5G42380",TRUE,TRUE,TRUE,TRUE,FALSE
"AT1G30040",FALSE,TRUE,TRUE,TRUE,TRUE
"AT4G11910",FALSE,FALSE,TRUE,FALSE,FALSE
"AT5G43620",TRUE,FALSE,TRUE,TRUE,TRUE
"AT1G16030",FALSE,FALSE,TRUE,FALSE,FALSE
"AT2G26150",TRUE,TRUE,TRUE,TRUE,FALSE
"AT2G23000",TRUE,TRUE,TRUE,TRUE,TRUE
"AT2G29500",TRUE,TRUE,TRUE,FALSE,FALSE
"AT2G36950",FALSE,FALSE,TRUE,TRUE,FALSE
"AT3G15500",TRUE,TRUE,TRUE,FALSE,FALSE
"AT2G41380",TRUE,TRUE,TRUE,FALSE,FALSE
"AT1G32920",TRUE,TRUE,TRUE,TRUE,TRUE
