Gene;log2FoldChange;p_adj;state
AT3G22120;6,519957219;4,58478814651858E-45;UP
AT2G05380;5,689856921;5,10813602375726E-45;UP
AT5G03350;4,811426625;3,3631470929639E-41;UP
AT3G57240;4,624210793;3,79207789781744E-42;UP
AT4G12470;4,484226366;2,06431461843437E-44;UP
AT1G29920;4,356826506;5,49577674104371E-45;UP
AT2G10940;3,987985966;3,21794155044354E-43;UP
AT1G29930;3,953332154;2,06431461843437E-44;UP
AT2G02100;3,93615796;2,06431461843437E-44;UP
AT1G29910;3,849591925;1,29988783821091E-43;UP
AT4G12490;3,809519298;4,74212123580847E-37;UP
AT1G28290;3,778117596;2,90422614890024E-40;UP
AT3G05730;3,741200314;9,70729474464406E-43;UP
AT1G33960;3,739265178;4,00657730565329E-33;UP
AT5G14920;3,709636388;4,68496794052612E-41;UP
AT2G34430;3,648469773;2,90422614890024E-40;UP
AT4G38770;3,594778777;7,53120873151878E-43;UP
AT1G75040;3,568256457;4,86424990475897E-42;UP
AT4G30650;3,354698193;8,1913876951717E-30;UP
AT3G16670;3,305938843;8,26953753986616E-42;UP
AT5G26000;3,246437436;2,15228488417472E-40;UP
AT2G05440;3,244158744;4,09139242990312E-30;UP
AT4G27440;3,210280961;4,01626691947867E-39;UP
AT2G25510;3,207997541;9,70729474464406E-43;UP
AT2G45180;3,1290341;5,74475097489682E-41;UP
ATCG01020;3,042655853;1,14119487480607E-30;UP
AT1G12090;3,039559994;1,30407044136585E-39;UP
AT2G05520;3,020037423;8,8720504299667E-44;UP
ATCG00330;3,015428977;2,68596773670596E-36;UP
AT1G76930;3,01293105;1,45864011380913E-41;UP
ATCG00110;3,000330639;1,5358515244003E-31;UP
AT2G45470;2,998438111;3,89144024644535E-32;UP
ATCG00470;2,943889771;1,70711351671887E-41;UP
AT3G27690;2,935931692;6,22503279699611E-36;UP
AT4G12500;2,907970728;3,48327548526579E-32;UP
AT2G22170;2,893884561;1,25836375798825E-34;UP
AT4G18422;2,868175022;1,4726847080031E-19;UP
AT1G68520;2,852281242;4,33957713227924E-35;UP
AT3G06035;2,832775965;2,85568553919888E-26;UP
ATCG00480;2,824578522;3,02668416717845E-31;UP
AT1G21310;2,820243799;2,07214991010865E-36;UP
ATCG00790;2,816837457;5,46940946021226E-27;UP
AT1G24020;2,808604404;1,78601793240785E-24;UP
AT2G26400;2,805268415;1,58538764751213E-19;UP
AT3G55580;2,800556964;2,77724073153178E-30;UP
AT2G14610;2,788747278;2,14578813066568E-38;UP
AT5G07030;2,772897873;6,14537983967432E-29;UP
AT4G12480;2,721877461;7,39809148686714E-39;UP
AT1G75750;2,642457936;2,75549062112154E-41;UP
AT4G19239;2,62465691;3,59194822244107E-18;UP
AT5G54270;2,565573702;6,26055429149695E-40;UP
AT1G54040;2,563239158;4,01298695215076E-38;UP
AT5G53490;2,542537199;6,54524609656973E-32;UP
AT5G27970;2,532181338;0,000344061;UP
AT2G15970;2,531486006;2,90422614890024E-40;UP
AT2G43590;2,521675686;5,71276335418561E-24;UP
AT3G12930;2,51935089;6,55197360687994E-23;UP
ATCG00340;2,507207581;1,34693655503589E-30;UP
AT2G26010;2,494912933;2,75411990019662E-18;UP
AT1G44446;2,461624115;2,44211602033774E-26;UP
AT3G08030;2,449760164;8,16755586219535E-29;UP
AT1G78820;2,442707161;7,09636094247388E-26;UP
ATCG00160;2,426401935;4,12628991921071E-26;UP
