"Gene","Liu","Zhang2021","Blair","LiWang","Zhang2017"
"AT3G22120",TRUE,TRUE,TRUE,TRUE,FALSE
"AT2G05380",FALSE,TRUE,FALSE,TRUE,FALSE
"AT5G03350",TRUE,TRUE,FALSE,TRUE,TRUE
"AT3G57240",FALSE,FALSE,FALSE,TRUE,TRUE
"AT4G12470",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G29920",TRUE,TRUE,FALSE,TRUE,FALSE
"AT2G10940",FALSE,TRUE,TRUE,FALSE,TRUE
"AT1G29930",FALSE,FALSE,FALSE,TRUE,TRUE
"AT2G02100",TRUE,FALSE,TRUE,TRUE,TRUE
"AT1G29910",TRUE,TRUE,FALSE,TRUE,TRUE
"AT4G12490",FALSE,FALSE,FALSE,TRUE,FALSE
"AT1G28290",FALSE,TRUE,FALSE,FALSE,TRUE
"AT3G05730",FALSE,TRUE,FALSE,TRUE,TRUE
"AT1G33960",FALSE,TRUE,FALSE,TRUE,FALSE
"AT5G14920",FALSE,FALSE,FALSE,TRUE,TRUE
"AT2G34430",TRUE,TRUE,FALSE,TRUE,FALSE
"AT4G38770",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G75040",FALSE,TRUE,TRUE,TRUE,TRUE
"AT4G30650",FALSE,TRUE,TRUE,TRUE,TRUE
"AT3G16670",FALSE,TRUE,FALSE,FALSE,FALSE
"AT5G26000",FALSE,FALSE,FALSE,FALSE,TRUE
"AT2G05440",FALSE,FALSE,FALSE,TRUE,FALSE
"AT4G27440",TRUE,TRUE,FALSE,FALSE,TRUE
"AT2G25510",FALSE,TRUE,FALSE,TRUE,TRUE
"AT2G45180",FALSE,TRUE,FALSE,FALSE,TRUE
"ATCG01020",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G12090",FALSE,TRUE,TRUE,TRUE,TRUE
"AT2G05520",FALSE,TRUE,FALSE,TRUE,TRUE
"ATCG00330",FALSE,TRUE,TRUE,TRUE,FALSE
"AT1G76930",FALSE,TRUE,FALSE,TRUE,FALSE
"ATCG00110",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G45470",FALSE,TRUE,TRUE,TRUE,TRUE
"ATCG00470",FALSE,TRUE,FALSE,TRUE,TRUE
