sample,timepoint,repetition,group
ERX1946678,Timepoint 1,3.0,1.0
ERX1946679,Timepoint 2,3.0,1.0
ERX1946680,Timepoint 3,3.0,1.0
ERX1946681,Timepoint 4,3.0,1.0
ERX1946682,Timepoint 5,3.0,1.0
ERX1946683,Timepoint 6,3.0,1.0
ERX1946684,Timepoint 7,3.0,1.0
ERX1946685,Timepoint 8,3.0,1.0
ERX1946686,Timepoint 9,3.0,1.0
ERX1946687,Timepoint 10,3.0,2.0
ERX1946688,Timepoint 11,3.0,2.0
ERX1946689,Timepoint 12,3.0,2.0
ERX1946690,Timepoint 13,3.0,2.0
ERX1946691,Timepoint 14,3.0,2.0
ERX1946692,Timepoint 15,3.0,2.0
ERX1946693,Timepoint 16,3.0,2.0
ERX1946694,Timepoint 17,3.0,2.0
ERX1946695,Timepoint 18,3.0,3.0
ERX1946696,Timepoint 19,3.0,3.0
ERX1946697,Timepoint 20,3.0,3.0
ERX1946698,Timepoint 21,3.0,3.0
ERX1946699,Timepoint 22,3.0,3.0
ERX1946700,Timepoint 23,3.0,3.0
ERX1946701,Timepoint 24,3.0,3.0
ERX1946702,Timepoint 25,3.0,3.0
ERX1946703,Timepoint 26,3.0,3.0
ERX1946704,Timepoint 1,2.0,1.0
ERX1946705,Timepoint 2,2.0,1.0
ERX1946706,Timepoint 3,2.0,1.0
ERX1946707,Timepoint 4,2.0,1.0
ERX1946708,Timepoint 5,2.0,1.0
ERX1946709,Timepoint 6,2.0,1.0
ERX1946710,Timepoint 7,2.0,1.0
ERX1946711,Timepoint 8,2.0,1.0
ERX1946712,Timepoint 9,2.0,1.0
ERX1946713,Timepoint 10,2.0,2.0
ERX1946714,Timepoint 11,2.0,2.0
ERX1946715,Timepoint 12,2.0,2.0
ERX1946716,Timepoint 13,2.0,2.0
ERX1946717,Timepoint 14,2.0,2.0
ERX1946718,Timepoint 15,2.0,2.0
ERX1946719,Timepoint 16,2.0,2.0
ERX1946720,Timepoint 17,2.0,2.0
ERX1946721,Timepoint 18,2.0,3.0
ERX1946722,Timepoint 19,2.0,3.0
ERX1946723,Timepoint 20,2.0,3.0
ERX1946724,Timepoint 21,2.0,3.0
ERX1946725,Timepoint 22,2.0,3.0
ERX1946726,Timepoint 23,2.0,3.0
ERX1946727,Timepoint 24,2.0,3.0
ERX1946728,Timepoint 25,2.0,3.0
ERX1946729,Timepoint 26,2.0,3.0
ERX1946730,Timepoint 1,1.0,1.0
ERX1946731,Timepoint 2,1.0,1.0
ERX1946732,Timepoint 3,1.0,1.0
ERX1946733,Timepoint 4,1.0,1.0
ERX1946734,Timepoint 5,1.0,1.0
ERX1946735,Timepoint 6,1.0,1.0
ERX1946736,Timepoint 7,1.0,1.0
ERX1946737,Timepoint 8,1.0,1.0
ERX1946738,Timepoint 9,1.0,1.0
ERX1946739,Timepoint 10,1.0,2.0
ERX1946740,Timepoint 11,1.0,2.0
ERX1946741,Timepoint 12,1.0,2.0
ERX1946742,Timepoint 13,1.0,2.0
ERX1946743,Timepoint 14,1.0,2.0
ERX1946744,Timepoint 15,1.0,2.0
ERX1946745,Timepoint 16,1.0,2.0
ERX1946746,Timepoint 17,1.0,2.0
ERX1946747,Timepoint 19,1.0,3.0
ERX1946748,Timepoint 19,1.0,3.0
ERX1946749,Timepoint 19,1.0,3.0
ERX1946750,Timepoint 18,1.0,3.0
ERX1946751,Timepoint 18,1.0,3.0
ERX1946752,Timepoint 18,1.0,3.0
ERX1946753,Timepoint 20,1.0,3.0
ERX1946754,Timepoint 20,1.0,3.0
ERX1946755,Timepoint 20,1.0,3.0
ERX1946756,Timepoint 22,1.0,3.0
ERX1946757,Timepoint 22,1.0,3.0
ERX1946758,Timepoint 22,1.0,3.0
ERX1946759,Timepoint 24,1.0,3.0
ERX1946760,Timepoint 24,1.0,3.0
ERX1946761,Timepoint 24,1.0,3.0
ERX1946762,Timepoint 25,1.0,3.0
