sample,fastq_1,fastq_2,strandedness
ERX1946678,/work/hartmaca/calixto_fetchngs/fastq/ERX1946678_ERR1886180_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946678_ERR1886180_2.fastq.gz,auto
ERX1946679,/work/hartmaca/calixto_fetchngs/fastq/ERX1946679_ERR1886181_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946679_ERR1886181_2.fastq.gz,auto
ERX1946680,/work/hartmaca/calixto_fetchngs/fastq/ERX1946680_ERR1886182_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946680_ERR1886182_2.fastq.gz,auto
ERX1946681,/work/hartmaca/calixto_fetchngs/fastq/ERX1946681_ERR1886183_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946681_ERR1886183_2.fastq.gz,auto
ERX1946682,/work/hartmaca/calixto_fetchngs/fastq/ERX1946682_ERR1886184_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946682_ERR1886184_2.fastq.gz,auto
ERX1946683,/work/hartmaca/calixto_fetchngs/fastq/ERX1946683_ERR1886185_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946683_ERR1886185_2.fastq.gz,auto
ERX1946684,/work/hartmaca/calixto_fetchngs/fastq/ERX1946684_ERR1886186_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946684_ERR1886186_2.fastq.gz,auto
ERX1946685,/work/hartmaca/calixto_fetchngs/fastq/ERX1946685_ERR1886187_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946685_ERR1886187_2.fastq.gz,auto
ERX1946686,/work/hartmaca/calixto_fetchngs/fastq/ERX1946686_ERR1886188_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946686_ERR1886188_2.fastq.gz,auto
ERX1946687,/work/hartmaca/calixto_fetchngs/fastq/ERX1946687_ERR1886189_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946687_ERR1886189_2.fastq.gz,auto
ERX1946688,/work/hartmaca/calixto_fetchngs/fastq/ERX1946688_ERR1886190_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946688_ERR1886190_2.fastq.gz,auto
ERX1946689,/work/hartmaca/calixto_fetchngs/fastq/ERX1946689_ERR1886191_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946689_ERR1886191_2.fastq.gz,auto
ERX1946690,/work/hartmaca/calixto_fetchngs/fastq/ERX1946690_ERR1886192_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946690_ERR1886192_2.fastq.gz,auto
ERX1946691,/work/hartmaca/calixto_fetchngs/fastq/ERX1946691_ERR1886193_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946691_ERR1886193_2.fastq.gz,auto
ERX1946692,/work/hartmaca/calixto_fetchngs/fastq/ERX1946692_ERR1886194_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946692_ERR1886194_2.fastq.gz,auto
ERX1946693,/work/hartmaca/calixto_fetchngs/fastq/ERX1946693_ERR1886195_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946693_ERR1886195_2.fastq.gz,auto
ERX1946694,/work/hartmaca/calixto_fetchngs/fastq/ERX1946694_ERR1886196_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946694_ERR1886196_2.fastq.gz,auto
ERX1946695,/work/hartmaca/calixto_fetchngs/fastq/ERX1946695_ERR1886197_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946695_ERR1886197_2.fastq.gz,auto
ERX1946696,/work/hartmaca/calixto_fetchngs/fastq/ERX1946696_ERR1886198_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946696_ERR1886198_2.fastq.gz,auto
ERX1946697,/work/hartmaca/calixto_fetchngs/fastq/ERX1946697_ERR1886199_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946697_ERR1886199_2.fastq.gz,auto
ERX1946698,/work/hartmaca/calixto_fetchngs/fastq/ERX1946698_ERR1886200_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946698_ERR1886200_2.fastq.gz,auto
ERX1946699,/work/hartmaca/calixto_fetchngs/fastq/ERX1946699_ERR1886201_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946699_ERR1886201_2.fastq.gz,auto
ERX1946700,/work/hartmaca/calixto_fetchngs/fastq/ERX1946700_ERR1886202_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946700_ERR1886202_2.fastq.gz,auto
ERX1946701,/work/hartmaca/calixto_fetchngs/fastq/ERX1946701_ERR1886203_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946701_ERR1886203_2.fastq.gz,auto
ERX1946702,/work/hartmaca/calixto_fetchngs/fastq/ERX1946702_ERR1886204_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946702_ERR1886204_2.fastq.gz,auto
ERX1946703,/work/hartmaca/calixto_fetchngs/fastq/ERX1946703_ERR1886205_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946703_ERR1886205_2.fastq.gz,auto
ERX1946704,/work/hartmaca/calixto_fetchngs/fastq/ERX1946704_ERR1886206_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946704_ERR1886206_2.fastq.gz,auto
ERX1946705,/work/hartmaca/calixto_fetchngs/fastq/ERX1946705_ERR1886207_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946705_ERR1886207_2.fastq.gz,auto
ERX1946706,/work/hartmaca/calixto_fetchngs/fastq/ERX1946706_ERR1886208_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946706_ERR1886208_2.fastq.gz,auto
ERX1946707,/work/hartmaca/calixto_fetchngs/fastq/ERX1946707_ERR1886209_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946707_ERR1886209_2.fastq.gz,auto
ERX1946708,/work/hartmaca/calixto_fetchngs/fastq/ERX1946708_ERR1886210_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946708_ERR1886210_2.fastq.gz,auto
ERX1946709,/work/hartmaca/calixto_fetchngs/fastq/ERX1946709_ERR1886211_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946709_ERR1886211_2.fastq.gz,auto
ERX1946710,/work/hartmaca/calixto_fetchngs/fastq/ERX1946710_ERR1886212_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946710_ERR1886212_2.fastq.gz,auto
ERX1946711,/work/hartmaca/calixto_fetchngs/fastq/ERX1946711_ERR1886213_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946711_ERR1886213_2.fastq.gz,auto
ERX1946712,/work/hartmaca/calixto_fetchngs/fastq/ERX1946712_ERR1886214_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946712_ERR1886214_2.fastq.gz,auto
ERX1946713,/work/hartmaca/calixto_fetchngs/fastq/ERX1946713_ERR1886215_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946713_ERR1886215_2.fastq.gz,auto
ERX1946714,/work/hartmaca/calixto_fetchngs/fastq/ERX1946714_ERR1886216_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946714_ERR1886216_2.fastq.gz,auto
ERX1946715,/work/hartmaca/calixto_fetchngs/fastq/ERX1946715_ERR1886217_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946715_ERR1886217_2.fastq.gz,auto
ERX1946716,/work/hartmaca/calixto_fetchngs/fastq/ERX1946716_ERR1886218_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946716_ERR1886218_2.fastq.gz,auto
ERX1946717,/work/hartmaca/calixto_fetchngs/fastq/ERX1946717_ERR1886219_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946717_ERR1886219_2.fastq.gz,auto
ERX1946718,/work/hartmaca/calixto_fetchngs/fastq/ERX1946718_ERR1886220_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946718_ERR1886220_2.fastq.gz,auto
ERX1946719,/work/hartmaca/calixto_fetchngs/fastq/ERX1946719_ERR1886221_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946719_ERR1886221_2.fastq.gz,auto
ERX1946720,/work/hartmaca/calixto_fetchngs/fastq/ERX1946720_ERR1886222_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946720_ERR1886222_2.fastq.gz,auto
ERX1946721,/work/hartmaca/calixto_fetchngs/fastq/ERX1946721_ERR1886223_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946721_ERR1886223_2.fastq.gz,auto
ERX1946722,/work/hartmaca/calixto_fetchngs/fastq/ERX1946722_ERR1886224_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946722_ERR1886224_2.fastq.gz,auto
ERX1946723,/work/hartmaca/calixto_fetchngs/fastq/ERX1946723_ERR1886225_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946723_ERR1886225_2.fastq.gz,auto
ERX1946724,/work/hartmaca/calixto_fetchngs/fastq/ERX1946724_ERR1886226_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946724_ERR1886226_2.fastq.gz,auto
ERX1946725,/work/hartmaca/calixto_fetchngs/fastq/ERX1946725_ERR1886227_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946725_ERR1886227_2.fastq.gz,auto
ERX1946726,/work/hartmaca/calixto_fetchngs/fastq/ERX1946726_ERR1886228_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946726_ERR1886228_2.fastq.gz,auto
ERX1946727,/work/hartmaca/calixto_fetchngs/fastq/ERX1946727_ERR1886229_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946727_ERR1886229_2.fastq.gz,auto
ERX1946728,/work/hartmaca/calixto_fetchngs/fastq/ERX1946728_ERR1886230_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946728_ERR1886230_2.fastq.gz,auto
ERX1946729,/work/hartmaca/calixto_fetchngs/fastq/ERX1946729_ERR1886231_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946729_ERR1886231_2.fastq.gz,auto
ERX1946730,/work/hartmaca/calixto_fetchngs/fastq/ERX1946730_ERR1886232_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946730_ERR1886232_2.fastq.gz,auto
ERX1946731,/work/hartmaca/calixto_fetchngs/fastq/ERX1946731_ERR1886233_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946731_ERR1886233_2.fastq.gz,auto
ERX1946732,/work/hartmaca/calixto_fetchngs/fastq/ERX1946732_ERR1886234_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946732_ERR1886234_2.fastq.gz,auto
ERX1946733,/work/hartmaca/calixto_fetchngs/fastq/ERX1946733_ERR1886235_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946733_ERR1886235_2.fastq.gz,auto
ERX1946734,/work/hartmaca/calixto_fetchngs/fastq/ERX1946734_ERR1886236_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946734_ERR1886236_2.fastq.gz,auto
ERX1946735,/work/hartmaca/calixto_fetchngs/fastq/ERX1946735_ERR1886237_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946735_ERR1886237_2.fastq.gz,auto
ERX1946736,/work/hartmaca/calixto_fetchngs/fastq/ERX1946736_ERR1886238_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946736_ERR1886238_2.fastq.gz,auto
ERX1946737,/work/hartmaca/calixto_fetchngs/fastq/ERX1946737_ERR1886239_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946737_ERR1886239_2.fastq.gz,auto
ERX1946738,/work/hartmaca/calixto_fetchngs/fastq/ERX1946738_ERR1886240_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946738_ERR1886240_2.fastq.gz,auto
ERX1946739,/work/hartmaca/calixto_fetchngs/fastq/ERX1946739_ERR1886241_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946739_ERR1886241_2.fastq.gz,auto
ERX1946740,/work/hartmaca/calixto_fetchngs/fastq/ERX1946740_ERR1886242_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946740_ERR1886242_2.fastq.gz,auto
ERX1946741,/work/hartmaca/calixto_fetchngs/fastq/ERX1946741_ERR1886243_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946741_ERR1886243_2.fastq.gz,auto
ERX1946742,/work/hartmaca/calixto_fetchngs/fastq/ERX1946742_ERR1886244_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946742_ERR1886244_2.fastq.gz,auto
ERX1946743,/work/hartmaca/calixto_fetchngs/fastq/ERX1946743_ERR1886245_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946743_ERR1886245_2.fastq.gz,auto
ERX1946744,/work/hartmaca/calixto_fetchngs/fastq/ERX1946744_ERR1886246_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946744_ERR1886246_2.fastq.gz,auto
ERX1946745,/work/hartmaca/calixto_fetchngs/fastq/ERX1946745_ERR1886247_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946745_ERR1886247_2.fastq.gz,auto
ERX1946746,/work/hartmaca/calixto_fetchngs/fastq/ERX1946746_ERR1886248_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946746_ERR1886248_2.fastq.gz,auto
ERX1946747,/work/hartmaca/calixto_fetchngs/fastq/ERX1946747_ERR1886249_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946747_ERR1886249_2.fastq.gz,auto
ERX1946748,/work/hartmaca/calixto_fetchngs/fastq/ERX1946748_ERR1886250_1.fastq.gz,/work/hartmaca/calixto_fetchngs/fastq/ERX1946748_ERR1886250_2.fastq.gz,auto
