sample,fastq_1,fastq_2,strandedness
SRX3338995,/work/hartmaca/park_fetchngs/fastq/SRX3338995_SRR6230481.fastq.gz,,auto
SRX3338996,/work/hartmaca/park_fetchngs/fastq/SRX3338996_SRR6230482.fastq.gz,,auto
SRX3338997,/work/hartmaca/park_fetchngs/fastq/SRX3338997_SRR6230483.fastq.gz,,auto
SRX3338998,/work/hartmaca/park_fetchngs/fastq/SRX3338998_SRR6230484.fastq.gz,,auto
SRX3338999,/work/hartmaca/park_fetchngs/fastq/SRX3338999_SRR6230485.fastq.gz,,auto
SRX3339000,/work/hartmaca/park_fetchngs/fastq/SRX3339000_SRR6230486.fastq.gz,,auto
SRX3339001,/work/hartmaca/park_fetchngs/fastq/SRX3339001_SRR6230487.fastq.gz,,auto
SRX3339002,/work/hartmaca/park_fetchngs/fastq/SRX3339002_SRR6230488.fastq.gz,,auto
SRX3339003,/work/hartmaca/park_fetchngs/fastq/SRX3339003_SRR6230489.fastq.gz,,auto
SRX3339004,/work/hartmaca/park_fetchngs/fastq/SRX3339004_SRR6230490.fastq.gz,,auto
SRX3339005,/work/hartmaca/park_fetchngs/fastq/SRX3339005_SRR6230491.fastq.gz,,auto
SRX3339006,/work/hartmaca/park_fetchngs/fastq/SRX3339006_SRR6230492.fastq.gz,,auto
SRX3339007,/work/hartmaca/park_fetchngs/fastq/SRX3339007_SRR6230493.fastq.gz,,auto
SRX3339008,/work/hartmaca/park_fetchngs/fastq/SRX3339008_SRR6230494.fastq.gz,,auto
SRX3339009,/work/hartmaca/park_fetchngs/fastq/SRX3339009_SRR6230495.fastq.gz,,auto
SRX3339010,/work/hartmaca/park_fetchngs/fastq/SRX3339010_SRR6230496.fastq.gz,,auto
SRX3339011,/work/hartmaca/park_fetchngs/fastq/SRX3339011_SRR6230497.fastq.gz,,auto
SRX3339012,/work/hartmaca/park_fetchngs/fastq/SRX3339012_SRR6230498.fastq.gz,,auto
SRX3339013,/work/hartmaca/park_fetchngs/fastq/SRX3339013_SRR6230499.fastq.gz,,auto
SRX3339014,/work/hartmaca/park_fetchngs/fastq/SRX3339014_SRR6230500.fastq.gz,,auto
SRX3339015,/work/hartmaca/park_fetchngs/fastq/SRX3339015_SRR6230501.fastq.gz,,auto
SRX3339016,/work/hartmaca/park_fetchngs/fastq/SRX3339016_SRR6230502.fastq.gz,,auto
SRX3339017,/work/hartmaca/park_fetchngs/fastq/SRX3339017_SRR6230503.fastq.gz,,auto
SRX3339018,/work/hartmaca/park_fetchngs/fastq/SRX3339018_SRR6230504.fastq.gz,,auto
SRX3339019,/work/hartmaca/park_fetchngs/fastq/SRX3339019_SRR6230505.fastq.gz,,auto
SRX3339020,/work/hartmaca/park_fetchngs/fastq/SRX3339020_SRR6230506.fastq.gz,,auto
SRX3339021,/work/hartmaca/park_fetchngs/fastq/SRX3339021_SRR6230507.fastq.gz,,auto
SRX3339022,/work/hartmaca/park_fetchngs/fastq/SRX3339022_SRR6230508.fastq.gz,,auto
SRX3339023,/work/hartmaca/park_fetchngs/fastq/SRX3339023_SRR6230509.fastq.gz,,auto
SRX3339024,/work/hartmaca/park_fetchngs/fastq/SRX3339024_SRR6230510.fastq.gz,,auto
SRX3339025,/work/hartmaca/park_fetchngs/fastq/SRX3339025_SRR6230511.fastq.gz,,auto
SRX3339026,/work/hartmaca/park_fetchngs/fastq/SRX3339026_SRR6230512.fastq.gz,,auto
SRX3339027,/work/hartmaca/park_fetchngs/fastq/SRX3339027_SRR6230513.fastq.gz,,auto
SRX3339028,/work/hartmaca/park_fetchngs/fastq/SRX3339028_SRR6230514.fastq.gz,,auto
SRX3339029,/work/hartmaca/park_fetchngs/fastq/SRX3339029_SRR6230515.fastq.gz,,auto
SRX3339030,/work/hartmaca/park_fetchngs/fastq/SRX3339030_SRR6230516.fastq.gz,,auto
SRX3339031,/work/hartmaca/park_fetchngs/fastq/SRX3339031_SRR6230517.fastq.gz,,auto
SRX3339032,/work/hartmaca/park_fetchngs/fastq/SRX3339032_SRR6230518.fastq.gz,,auto
SRX3339033,/work/hartmaca/park_fetchngs/fastq/SRX3339033_SRR6230519.fastq.gz,,auto
SRX3339034,/work/hartmaca/park_fetchngs/fastq/SRX3339034_SRR6230520.fastq.gz,,auto
SRX3339035,/work/hartmaca/park_fetchngs/fastq/SRX3339035_SRR6230521.fastq.gz,,auto
SRX3339036,/work/hartmaca/park_fetchngs/fastq/SRX3339036_SRR6230522.fastq.gz,,auto
SRX3339037,/work/hartmaca/park_fetchngs/fastq/SRX3339037_SRR6230523.fastq.gz,,auto
SRX3339038,/work/hartmaca/park_fetchngs/fastq/SRX3339038_SRR6230524.fastq.gz,,auto
