"Genes","Liu","Zhang2021","Blair","LiWang","Zhang2017"
"AT1G01120",FALSE,TRUE,FALSE,TRUE,TRUE
"AT1G01240",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G01520",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G01540",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G01720",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G01940",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G02305",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G02820",FALSE,TRUE,FALSE,TRUE,FALSE
"AT1G02920",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G03220",TRUE,FALSE,FALSE,TRUE,TRUE
"AT1G03610",TRUE,FALSE,TRUE,FALSE,TRUE
"AT1G03740",FALSE,TRUE,TRUE,FALSE,TRUE
"AT1G03880",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G04400",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G04430",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G04560",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G05270",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G05510",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G07280",TRUE,FALSE,FALSE,FALSE,TRUE
"AT1G07350",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G07380",FALSE,FALSE,FALSE,FALSE,TRUE
"AT1G07610",FALSE,FALSE,FALSE,TRUE,TRUE
"AT1G08380",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G08920",FALSE,FALSE,TRUE,FALSE,TRUE
"AT1G09330",FALSE,TRUE,FALSE,TRUE,FALSE
"AT1G10760",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G10950",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G11220",FALSE,FALSE,TRUE,FALSE,TRUE
"AT1G12200",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G13980",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G13990",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G14610",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G16030",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G16850",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G17170",FALSE,FALSE,FALSE,TRUE,TRUE
