"";"Location";"Season";"Batch";"year"
"1000";"Spiekeroog";"Winter";6;2021
"1001";"Spiekeroog";"Winter";6;2021
"1002";"Spiekeroog";"Winter";6;2021
"1003";"Spiekeroog";"Winter";6;2021
"1004";"Spiekeroog";"Winter";6;2021
"1005";"Spiekeroog";"Winter";6;2021
"1006";"Spiekeroog";"Winter";6;2021
"1007";"Spiekeroog";"Winter";6;2021
"1008";"Spiekeroog";"Winter";6;2021
"1009";"Spiekeroog";"Winter";6;2021
"1011";"Spiekeroog";"Winter";6;2021
"1012";"Spiekeroog";"Winter";6;2021
"1013";"Spiekeroog";"Winter";6;2021
"1015";"Spiekeroog";"Winter";6;2021
"1016";"Spiekeroog";"Winter";6;2021
"1018";"Spiekeroog";"Winter";6;2021
"1019";"Spiekeroog";"Winter";6;2021
"1020";"Spiekeroog";"Winter";6;2021
"1021";"Spiekeroog";"Winter";6;2021
"1022";"Spiekeroog";"Winter";6;2021
"1024";"Spiekeroog";"Winter";6;2021
"1025";"Spiekeroog";"Winter";6;2021
"1026";"Spiekeroog";"Winter";6;2021
"1027";"Spiekeroog";"Winter";6;2021
"1028";"Spiekeroog";"Winter";6;2021
"1029";"Spiekeroog";"Winter";6;2021
"1030";"Spiekeroog";"Winter";6;2021
"1032";"Spiekeroog";"Winter";6;2021
"1034";"Spiekeroog";"Winter";6;2021
"1035";"Spiekeroog";"Winter";6;2021
"1036";"Spiekeroog";"Winter";6;2021
"1037";"Spiekeroog";"Winter";6;2021
"1039";"Spiekeroog";"Winter";6;2021
"1040";"Spiekeroog";"Winter";6;2021
"1041";"Spiekeroog";"Winter";6;2021
"1043";"Spiekeroog";"Winter";6;2021
"1044";"Spiekeroog";"Winter";6;2021
"1045";"Spiekeroog";"Winter";6;2021
"1046";"Spiekeroog";"Winter";6;2021
"1047";"Spiekeroog";"Winter";6;2021
"1048";"Spiekeroog";"Winter";6;2021
"1049";"Spiekeroog";"Winter";6;2021
"1050";"Spiekeroog";"Winter";6;2021
"1051";"Spiekeroog";"Winter";6;2021
"1052";"Spiekeroog";"Winter";6;2021
"1053";"Spiekeroog";"Winter";6;2021
"1054";"Spiekeroog";"Winter";6;2021
"1055";"Spiekeroog";"Winter";6;2021
"1056";"Spiekeroog";"Winter";6;2021
"16";"Spiekeroog";"Winter";2;2021
"27";"Spiekeroog";"Winter";2;2021
"37";"Spiekeroog";"Winter";2;2021
"4_1163";"Spiekeroog";"Spring";20;2024
"4_1164";"Spiekeroog";"Spring";20;2024
"4_1165";"Spiekeroog";"Spring";20;2024
"4_1166";"Spiekeroog";"Spring";20;2024
"4_1167";"Spiekeroog";"Spring";20;2024
"4_1168";"Spiekeroog";"Spring";20;2024
"4_1169";"Spiekeroog";"Spring";20;2024
"4_1170";"Spiekeroog";"Spring";20;2024
"4_1171";"Spiekeroog";"Spring";20;2024
"4_1172";"Spiekeroog";"Spring";20;2024
"4_1173";"Spiekeroog";"Spring";20;2024
"4_1174";"Spiekeroog";"Spring";20;2024
"4_1175";"Spiekeroog";"Spring";20;2024
"4_1176";"Spiekeroog";"Spring";20;2024
"4_1177";"Spiekeroog";"Spring";20;2024
"4_1178";"Spiekeroog";"Spring";20;2024
"4_1180";"Spiekeroog";"Spring";20;2024
"4_1181";"Spiekeroog";"Spring";20;2024
"4_1182";"Spiekeroog";"Spring";20;2024
"4_1183";"Spiekeroog";"Spring";20;2024
"4_1184";"Spiekeroog";"Spring";20;2024
"4_1185";"Spiekeroog";"Spring";20;2024
"4_1186";"Spiekeroog";"Spring";20;2024
"4_1187";"Spiekeroog";"Spring";20;2024
"4_1188";"Spiekeroog";"Spring";20;2024
"4_1189";"Spiekeroog";"Spring";20;2024
"4_1190";"Spiekeroog";"Spring";20;2024
"4_1191";"Spiekeroog";"Spring";20;2024
"4_1192";"Spiekeroog";"Spring";20;2024
"4_1193";"Spiekeroog";"Spring";20;2024
"4_1194";"Spiekeroog";"Spring";20;2024
"4_1195";"Spiekeroog";"Spring";20;2024
"4_1196";"Spiekeroog";"Spring";20;2024
"4_1197";"Spiekeroog";"Spring";20;2024
"4_1198";"Spiekeroog";"Spring";20;2024
"4_1199";"Spiekeroog";"Spring";20;2024
"4_1200";"Spiekeroog";"Spring";20;2024
"4_1201";"Spiekeroog";"Spring";20;2024
"4_1202";"Spiekeroog";"Spring";20;2024
"4_1203";"Spiekeroog";"Spring";20;2024
"4_1204";"Spiekeroog";"Spring";20;2024
"4_1205";"Spiekeroog";"Spring";20;2024
"4_1206";"Spiekeroog";"Spring";20;2024
"4_1207";"Spiekeroog";"Spring";20;2024
"4_1208";"Spiekeroog";"Spring";20;2024
"4_1244";"Spiekeroog";"Spring";19;2024
"4_1245";"Spiekeroog";"Spring";19;2024
"4_1246";"Spiekeroog";"Spring";19;2024
"4_1247";"Spiekeroog";"Spring";19;2024
"4_1249";"Spiekeroog";"Spring";19;2024
"4_1250";"Spiekeroog";"Spring";19;2024
"4_1251";"Spiekeroog";"Spring";19;2024
"4_1252";"Spiekeroog";"Spring";19;2024
"4_1253";"Spiekeroog";"Spring";19;2024
"4_1254";"Spiekeroog";"Spring";19;2024
"4_1255";"Spiekeroog";"Spring";19;2024
"4_1256";"Spiekeroog";"Spring";19;2024
"4_1399";"Spiekeroog";"Spring";19;2024
"4_1400";"Spiekeroog";"Spring";19;2024
"4_1401";"Spiekeroog";"Spring";19;2024
"4_1402";"Spiekeroog";"Spring";19;2024
"4_1403";"Spiekeroog";"Spring";19;2024
"4_1404";"Spiekeroog";"Spring";19;2024
"4_1405";"Spiekeroog";"Spring";19;2024
"4_894";"Spiekeroog";"Spring";19;2024
"4_895";"Spiekeroog";"Spring";19;2024
"4_896";"Spiekeroog";"Spring";19;2024
"4_897";"Spiekeroog";"Spring";19;2024
"4_898";"Spiekeroog";"Spring";19;2024
"4_899";"Spiekeroog";"Spring";19;2024
"4_900";"Spiekeroog";"Spring";19;2024
"4_901";"Spiekeroog";"Spring";19;2024
"4_903";"Spiekeroog";"Spring";19;2024
"4_905";"Spiekeroog";"Spring";19;2024
"4_906";"Spiekeroog";"Spring";19;2024
"4_907";"Spiekeroog";"Spring";19;2024
"4_908";"Spiekeroog";"Spring";19;2024
"4_909";"Spiekeroog";"Spring";19;2024
"4_910";"Spiekeroog";"Spring";19;2024
"4_911";"Spiekeroog";"Spring";19;2024
"4_913";"Spiekeroog";"Spring";19;2024
"4_914";"Spiekeroog";"Spring";19;2024
"4_915";"Spiekeroog";"Spring";19;2024
"4_916";"Spiekeroog";"Spring";19;2024
"4_917";"Spiekeroog";"Spring";19;2024
"4_918";"Spiekeroog";"Spring";19;2024
"4_919";"Spiekeroog";"Spring";19;2024
"4_920";"Spiekeroog";"Spring";19;2024
"4_921";"Spiekeroog";"Spring";19;2024
"4_922";"Spiekeroog";"Spring";19;2024
"4_923";"Spiekeroog";"Spring";19;2024
"4_924";"Spiekeroog";"Spring";19;2024
"4_925";"Spiekeroog";"Spring";19;2024
"4_926";"Spiekeroog";"Spring";19;2024
"4_927";"Spiekeroog";"Spring";19;2024
"4_928";"Spiekeroog";"Spring";19;2024
"4_930";"Spiekeroog";"Spring";19;2024
"4_931";"Spiekeroog";"Spring";19;2024
"4_932";"Spiekeroog";"Spring";19;2024
"4_933";"Spiekeroog";"Spring";19;2024
"4_934";"Spiekeroog";"Spring";19;2024
"4_935";"Spiekeroog";"Spring";19;2024
"4_936";"Spiekeroog";"Spring";19;2024
"4_937";"Spiekeroog";"Spring";19;2024
"4_938";"Spiekeroog";"Spring";20;2024
"4_939";"Spiekeroog";"Spring";20;2024
"4_940";"Spiekeroog";"Spring";20;2024
"4_941";"Spiekeroog";"Spring";20;2024
"4_942";"Spiekeroog";"Spring";20;2024
"4_943";"Spiekeroog";"Spring";20;2024
"4_944";"Spiekeroog";"Spring";20;2024
"4_945";"Spiekeroog";"Spring";20;2024
"4_946";"Spiekeroog";"Spring";20;2024
"4_947";"Spiekeroog";"Spring";20;2024
"4_948";"Spiekeroog";"Spring";20;2024
"4_949";"Spiekeroog";"Spring";20;2024
"4_950";"Spiekeroog";"Spring";20;2024
"4_951";"Spiekeroog";"Spring";20;2024
"4_952";"Spiekeroog";"Spring";20;2024
"4_953";"Spiekeroog";"Spring";20;2024
"4_954";"Spiekeroog";"Spring";20;2024
"4_955";"Spiekeroog";"Spring";20;2024
"4_956";"Spiekeroog";"Spring";20;2024
"4_958";"Spiekeroog";"Spring";20;2024
"4_959";"Spiekeroog";"Spring";20;2024
"4_960";"Spiekeroog";"Spring";20;2024
"4_961";"Spiekeroog";"Spring";20;2024
"4_962";"Spiekeroog";"Spring";20;2024
"4_963";"Spiekeroog";"Spring";20;2024
"4_964";"Spiekeroog";"Spring";20;2024
"4_965";"Spiekeroog";"Spring";20;2024
"4_966";"Spiekeroog";"Spring";20;2024
"4_967";"Spiekeroog";"Spring";20;2024
"4_968";"Spiekeroog";"Spring";20;2024
"4_969";"Spiekeroog";"Spring";20;2024
"4_970";"Spiekeroog";"Spring";20;2024
"4_971";"Spiekeroog";"Spring";20;2024
"4_972";"Spiekeroog";"Spring";20;2024
"4_973";"Spiekeroog";"Spring";20;2024
"4_974";"Spiekeroog";"Spring";20;2024
"4_975";"Spiekeroog";"Spring";20;2024
"4_977";"Spiekeroog";"Spring";20;2024
"4_978";"Spiekeroog";"Spring";20;2024
"4_980";"Spiekeroog";"Spring";20;2024
"4_981";"Spiekeroog";"Spring";20;2024
"4_982";"Spiekeroog";"Spring";20;2024
"43";"Spiekeroog";"Winter";2;2021
"443";"Spiekeroog";"Winter";7;2021
"444";"Spiekeroog";"Winter";7;2021
"445";"Spiekeroog";"Winter";7;2021
"446";"Spiekeroog";"Winter";7;2021
"447";"Spiekeroog";"Winter";7;2021
"449";"Spiekeroog";"Winter";7;2021
"450";"Spiekeroog";"Winter";7;2021
"451";"Spiekeroog";"Winter";7;2021
"452";"Spiekeroog";"Winter";7;2021
"453";"Spiekeroog";"Winter";7;2021
"454";"Spiekeroog";"Winter";7;2021
"455";"Spiekeroog";"Winter";7;2021
"457";"Spiekeroog";"Winter";7;2021
"458";"Spiekeroog";"Winter";7;2021
"48";"Spiekeroog";"Winter";2;2021
"481";"Spiekeroog";"Winter";1;2021
"482";"Spiekeroog";"Winter";1;2021
"483";"Spiekeroog";"Winter";1;2021
"484";"Spiekeroog";"Winter";1;2021
"485";"Spiekeroog";"Winter";1;2021
"486";"Spiekeroog";"Winter";1;2021
"487";"Spiekeroog";"Winter";1;2021
"489";"Spiekeroog";"Winter";1;2021
"49";"Spiekeroog";"Winter";2;2021
"490";"Spiekeroog";"Winter";1;2021
"491";"Spiekeroog";"Winter";1;2021
"492";"Spiekeroog";"Winter";1;2021
"493";"Spiekeroog";"Winter";1;2021
"494";"Spiekeroog";"Winter";1;2021
"495";"Spiekeroog";"Winter";1;2021
"496";"Spiekeroog";"Winter";1;2021
"497";"Spiekeroog";"Winter";1;2021
"499";"Spiekeroog";"Winter";1;2021
"5";"Spiekeroog";"Winter";2;2021
"50";"Spiekeroog";"Winter";2;2021
"500";"Spiekeroog";"Winter";1;2021
"501";"Spiekeroog";"Winter";1;2021
"502";"Spiekeroog";"Winter";1;2021
"503";"Spiekeroog";"Winter";1;2021
"504";"Spiekeroog";"Winter";1;2021
"506";"Spiekeroog";"Winter";1;2021
"507";"Spiekeroog";"Winter";1;2021
"508";"Spiekeroog";"Winter";1;2021
