"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"ASV1";"Eukaryota";"Oomycota";"NA";"Peronosporales";"Peronosporaceae";"Peronospora"
"ASV2";"Eukaryota";"Oomycota";"NA";"Albuginales";"Albuginaceae";"Albugo"
"ASV3";"Eukaryota";"Oomycota";"NA";"Peronosporales";"Peronosporaceae";"Hyaloperonospora"
"ASV4";"Eukaryota";"Oomycota";"NA";"Peronosporales";"Peronosporaceae";"Phytophthora"
"ASV5";"Eukaryota";"Basidiomycota";"Pucciniomycetes";"Pucciniales";"Pucciniaceae";"Puccinia"
"ASV6";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Sclerotiniaceae";"Botrytis"
"ASV7";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio"
"ASV8";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Teratosphaeriaceae";"Friedmanniomyces"
"ASV9";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Sclerotiniaceae";"Sclerotinia"
"ASV10";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"NA";"NA";"Coccomyxa"
"ASV11";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Paraphoma"
"ASV12";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"ASV13";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Rhizobiaceae";"Rhizobium"
"ASV14";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas"
"ASV15";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Moraxellales";"Moraxellaceae";"Acinetobacter"
"ASV16";"Bacteria";"Actinomycetota";"Actinomycetes";"Propionibacteriales";"Nocardioidaceae";"Nocardioides"
"ASV17";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Oscillatoriales";"Microcoleaceae";"Microcoleus"
"ASV18";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Tremellales";"Bulleribasidiaceae";"Dioszegia"
"ASV19";"Bacteria";"Bacillota";"Clostridia";"Eubacteriales";"Peptostreptococcaceae";"Paeniclostridium"
