PC	eigenvalue	proportion of total	cumulative proportion
0	55.04901	0.28728	0.28728
1	14.44714	0.07539	0.36267
2	12.40965	0.06476	0.42743
3	2.96767	0.01549	0.44292
4	2.14581	0.0112	0.45412
5	1.57351	0.00821	0.46233
6	1.39307	0.00727	0.4696
7	1.32729	0.00693	0.47653
8	1.25767	0.00656	0.48309
9	1.02628	0.00536	0.48844
10	1.00171	0.00523	0.49367
11	0.87807	0.00458	0.49825
12	0.86583	0.00452	0.50277
13	0.81147	0.00423	0.50701
14	0.75439	0.00394	0.51094
15	0.73823	0.00385	0.5148
16	0.70636	0.00369	0.51848
17	0.67636	0.00353	0.52201
18	0.66926	0.00349	0.52551
19	0.64716	0.00338	0.52888
20	0.61496	0.00321	0.53209
21	0.6077	0.00317	0.53526
22	0.60389	0.00315	0.53841
23	0.5941	0.0031	0.54151
24	0.58355	0.00305	0.54456
25	0.57464	0.003	0.54756
26	0.56705	0.00296	0.55052
27	0.55751	0.00291	0.55343
28	0.5507	0.00287	0.5563
29	0.54411	0.00284	0.55914
30	0.54281	0.00283	0.56197
31	0.53325	0.00278	0.56476
32	0.52632	0.00275	0.5675
33	0.51981	0.00271	0.57022
34	0.51532	0.00269	0.57291
35	0.50728	0.00265	0.57555
36	0.5061	0.00264	0.57819
37	0.4987	0.0026	0.5808
38	0.49546	0.00259	0.58338
39	0.49234	0.00257	0.58595
40	0.48601	0.00254	0.58849
41	0.48395	0.00253	0.59101
42	0.4795	0.0025	0.59352
43	0.47765	0.00249	0.59601
44	0.47318	0.00247	0.59848
45	0.4697	0.00245	0.60093
46	0.46821	0.00244	0.60337
47	0.46547	0.00243	0.6058
48	0.46435	0.00242	0.60822
49	0.46107	0.00241	0.61063
50	0.4574	0.00239	0.61302
51	0.45506	0.00237	0.61539
52	0.45062	0.00235	0.61774
53	0.44633	0.00233	0.62007
54	0.44459	0.00232	0.62239
55	0.44235	0.00231	0.6247
56	0.44072	0.0023	0.627
57	0.43848	0.00229	0.62929
58	0.43502	0.00227	0.63156
59	0.43223	0.00226	0.63382
60	0.42773	0.00223	0.63605
61	0.42493	0.00222	0.63827
62	0.42348	0.00221	0.64048
63	0.41757	0.00218	0.64265
64	0.41628	0.00217	0.64483
65	0.41324	0.00216	0.64698
66	0.41073	0.00214	0.64913
67	0.40895	0.00213	0.65126
68	0.40817	0.00213	0.65339
69	0.40694	0.00212	0.65551
70	0.4042	0.00211	0.65762
71	0.40334	0.0021	0.65973
72	0.40106	0.00209	0.66182
73	0.39661	0.00207	0.66389
74	0.3954	0.00206	0.66595
75	0.393	0.00205	0.66801
76	0.39169	0.00204	0.67005
77	0.38956	0.00203	0.67208
78	0.38724	0.00202	0.6741
79	0.38584	0.00201	0.67612
80	0.3848	0.00201	0.67813
81	0.38223	0.00199	0.68012
82	0.37805	0.00197	0.68209
83	0.37554	0.00196	0.68405
84	0.37458	0.00195	0.68601
85	0.37418	0.00195	0.68796
86	0.37187	0.00194	0.6899
87	0.3703	0.00193	0.69183
88	0.36714	0.00192	0.69375
89	0.36697	0.00192	0.69566
90	0.36544	0.00191	0.69757
91	0.36294	0.00189	0.69947
92	0.3609	0.00188	0.70135
93	0.36059	0.00188	0.70323
94	0.36005	0.00188	0.70511
95	0.35731	0.00186	0.70697
96	0.35455	0.00185	0.70882
97	0.35397	0.00185	0.71067
98	0.35044	0.00183	0.7125
99	0.34848	0.00182	0.71432
100	0.34712	0.00181	0.71613
101	0.34669	0.00181	0.71794
102	0.34341	0.00179	0.71973
103	0.34111	0.00178	0.72151
104	0.34062	0.00178	0.72329
105	0.33898	0.00177	0.72506
106	0.33866	0.00177	0.72683
107	0.3384	0.00177	0.72859
108	0.33484	0.00175	0.73034
109	0.33417	0.00174	0.73208
110	0.33243	0.00173	0.73382
111	0.331	0.00173	0.73555
112	0.32883	0.00172	0.73726
113	0.32798	0.00171	0.73897
114	0.32627	0.0017	0.74068
115	0.32362	0.00169	0.74236
116	0.32206	0.00168	0.74404
117	0.31893	0.00166	0.74571
118	0.31835	0.00166	0.74737
119	0.31789	0.00166	0.74903
120	0.316	0.00165	0.75068
121	0.31446	0.00164	0.75232
122	0.31433	0.00164	0.75396
123	0.31338	0.00164	0.7556
124	0.31217	0.00163	0.75722
125	0.3103	0.00162	0.75884
126	0.30866	0.00161	0.76045
127	0.30607	0.0016	0.76205
128	0.30554	0.00159	0.76365
129	0.30499	0.00159	0.76524
130	0.30421	0.00159	0.76683
131	0.30262	0.00158	0.7684
132	0.30146	0.00157	0.76998
