<Phenotype>
taxa	data
Taxa	temperature_C
481	-0.29370525
482	1.3407427
483	0.7062947
486	-0.96066964
487	-0.534898
489	-0.441196
490	-1.1937051
491	0.20629473
492	0.10629483
493	-0.7937053
494	-0.0767653
495	0.84571266
498	0.100633055
499	-1.1197017
500	-1.2023933
501	-0.69370514
503	-0.82591105
504	0.093050316
506	-0.055027325
507	-0.13466224
508	2.1416545
509	-0.6892319
510	-0.093705215
511	0.75563526
513	-1.3665985
514	0.15409943
515	0.17359589
516	1.9246465
517	-1.1182152
518	-0.9301507
519	-0.74562067
520	-1.4947416
521	-0.9288639
522	2.1597657
523	-1.624017
524	0.19543925
525	1.506295
526	0.9321249
527	-0.8937052
531	2.076266
532	-0.778116
533	0.10629483
534	-0.16298866
535	0.10629483
536	0.33101305
537	0.22422878
538	-0.13514456
539	0.6514125
540	0.00462747
541	-0.08526975
542	-1.4759907
543	0.25083485
544	1.7062948
546	-0.093705215
547	-0.39370516
548	-1.8251219
549	-1.4886823
550	0.42527112
551	0.2664258
552	0.22417103
554	0.41289428
555	0.007694033
556	0.0978681
557	-1.8287897
559	-0.19408187
562	-0.04300994
563	0.65348595
564	-0.8221729
565	-0.16333035
566	0.01508515
567	1.506295
568	-0.17374052
569	1.6062949
570	-1.3993399
573	-0.52463454
574	0.40629503
576	-0.89439344
16	-0.6940314
27	-0.27912864
37	-0.58847076
43	0.8038499
49	0.24226877
5	0.2963553
50	0.2735342
51	-0.14827234
53	0.31856132
59	-0.13111123
6	0.44792095
62	0.25057143
65	-1.2586533
66	-0.38699874
7	0.26592416
78	-0.51884323
8	-0.45773104
80	-0.25773123
82	-0.8083665
83	-0.85773116
85	0.48820657
87	-0.3638572
88	-1.4577312
89	0.23761305
9	0.36069566
93	-0.19334915
94	-0.05387865
95	-0.55773145
701	0.94227827
703	1.8030741
704	-0.9710722
705	-1.1279728
707	0.3272131
708	0.97441393
709	0.5768087
712	-1.8497547
713	-0.7321634
714	2.6279037
715	-1.0370134
716	0.910738
718	0.84226865
720	1.4830116
722	-0.8027872
723	-1.1588192
726	-1.3282472
727	-1.1084054
729	-0.862484
730	0.47813684
731	-0.9368875
732	-1.7902435
734	0.43117517
735	-1.7480897
736	-1.7951748
739	1.1499287
740	4.026177
741	-1.7577312
744	1.375239
746	-1.0211258
747	0.97240716
748	-0.6978152
749	-0.4735992
750	1.4731963
751	-1.0320436
752	1.6906959
753	-0.3131356
754	-1.2015715
755	0.7770395
756	1.7999544
757	1.1135706
759	-1.5349296
760	2.5302727
761	0.6715598
762	0.79897815
764	2.3848827
765	1.3581462
766	-0.8396974
767	0.54226893
768	-2.0577312
769	-0.25865325
773	-1.3586534
774	1.204664
775	0.34226868
776	-0.6312113
777	0.04134647
778	0.7413468
779	2.2413468
780	1.1413468
781	-0.5466929
782	-0.65773135
783	-0.16746485
784	1.6413468
785	0.042268958
786	-1.0586535
787	1.2413467
788	2.3413467
789	1.8413466
791	-0.6287755
792	-1.4586533
793	-1.2586533
795	-0.9586533
796	-0.7586532
797	0.7413468
799	-0.55199057
800	1.4413465
801	-0.058653433
802	-0.058653433
805	-0.058653433
806	-0.7068423
807	-0.43802446
