Taxa	PC1	PC2	PC3	PC4	PC5
H008	-1.5633515	-1.3478638	-5.052179	-1.7676864	1.7426302
H010	-2.7912874	-1.1622202	-2.603276	0.5187626	3.392982
H011	-6.878482	-1.6707536	1.4222798	1.4504491	2.7797966
H012	-7.435029	-2.2583642	1.69277	1.3880719	2.6927187
H013	-5.085149	-1.5998987	-0.14366896	1.6632522	3.605076
H014	-4.98339	-1.5656759	-1.0053576	0.17518075	2.528754
H015	-4.694514	-1.4723192	-0.6044299	1.7217855	3.2595847
H016	-6.2731996	-2.3084145	0.71949375	0.9849614	3.0594144
H018	-3.5205	-0.8009026	-0.59296465	1.8114283	2.7115128
H019	-3.4228516	-0.74207574	-1.323687	1.7230136	3.7841506
H020	-0.35127094	1.5087229	-2.6040354	2.9757159	-0.6843565
H021	-3.100966	-0.68113446	-1.8099719	1.4968016	4.5957446
H023	-5.9154534	-2.123292	0.49470103	1.2042456	2.976826
H024	-6.7043695	-2.4303498	1.5841883	1.0695784	2.8045208
WU008	-1.9638821	0.36337045	-3.0723476	2.9014585	-2.646085
WU010	-5.6425457	-0.38963753	0.8215338	0.7138048	-1.522638
WU014	-5.8395343	-1.0418828	1.3497173	0.48592174	-1.0487622
WU015	-3.32325	-0.38177612	-0.8132167	1.0050704	1.9322695
WU016	-5.7071385	-1.1865864	1.346607	0.8624993	-1.4196829
WU017	-2.964284	-0.58311945	-1.3417956	1.3173863	3.434813
WU023	-5.2468047	-1.4793206	0.6713381	0.9359586	1.3414552
WU024	-4.0290213	-1.2979367	-0.24635965	1.5112189	2.1181548
WU025	-5.2164264	-0.91331226	0.36517075	0.7671989	1.2707367
WU028	-4.872424	-0.95938206	0.22561039	0.98056686	0.21404491
WU029	-5.3042955	-1.519766	0.28644022	0.5719435	0.20179024
WU031	-4.586223	-0.50811374	0.5243389	1.4546633	-0.13332526
WU033	-2.9879231	-0.48126718	-1.1240562	1.2944081	1.5453367
WU034	-4.5756445	-0.55830634	0.6800934	0.5968335	-1.4975489
WU036	-4.5096	-0.7760583	0.36168346	0.58888656	-0.3946927
WU039	-3.3596685	-0.85568035	-0.88488567	1.128623	3.755903
WU041	-3.605142	-0.9587614	-1.1746502	1.5466355	3.3384717
H025	0.38665614	1.5161601	-5.988679	6.1385074	-5.0816584
H027	-2.8229272	-0.22615513	-1.8158877	4.4762654	-3.8878841
H028	-0.5448262	1.0296189	-4.36805	6.190072	-5.004299
H029	-1.6839826	0.07312681	-3.9857771	4.7876964	-4.3541307
H030	0.14402223	1.0561625	-5.5133824	5.582628	-4.7905803
H031	-0.27223116	1.0126998	-6.473821	6.5996222	-5.5380006
H032	-0.6171335	0.75973153	-4.8626156	6.1791058	-5.2864804
H033	-0.5305007	1.0142406	-4.8513007	5.6438956	-5.23016
H034	-1.7367743	1.0308671	-3.5364091	4.6792316	-3.9430683
H035	1.4119469	2.0904453	-7.363021	7.9022417	-6.520623
H036	-0.48763695	0.88989353	-5.719652	6.2949653	-4.0008135
H037	-2.3377314	-0.31772268	-3.2448359	4.055609	-3.1911628
H038	-4.351177	-1.0401672	-2.197316	4.0218177	-3.304844
H039	0.5409376	0.5678141	-5.132597	4.4874296	-4.497255
H040	0.19290686	0.76889116	-6.4851594	5.821445	-3.6890125
H041	0.64152753	0.87049925	-6.41332	5.9416437	-4.5008655
H043	0.005622482	0.6175614	-5.5157633	5.725281	-4.256344
H044	0.5788317	0.6182455	-5.4955683	5.1505904	-3.9853864
H045	-0.27317846	0.6400897	-4.864077	4.792819	-4.683896
M008	0.19763832	0.8560977	-5.668776	5.637867	-3.1899617
M009	0.9065266	1.6113356	-5.908879	6.633604	-4.83449
M010	-0.11771729	0.9448347	-6.538441	5.6222486	-3.3664587
M022	-1.2803429	0.74799114	-4.682147	5.1541386	-4.501439
M023	-0.6883133	0.15918717	-5.226764	4.6596236	-0.4692265
M026	-2.204564	-0.44636807	-3.5889845	3.196815	1.4145241
M028	-1.0355761	-0.2028631	-4.220985	2.9785423	2.3998585
M040	-3.7411551	-0.7942689	-2.2719462	3.4220443	1.2511994
M042	-0.8768721	0.29101598	-3.727916	2.6817536	2.6377199
M045	-1.8418946	-0.6585516	-2.990596	2.6545975	3.7822745
WE007	-0.53430617	-0.054087285	-4.2010164	3.1632988	3.006608
WU040	-2.098728	0.04744313	-2.6644924	4.5930614	-4.4018598
H047	-0.19894639	0.45593265	-3.3704557	1.6336685	3.3472965
WE014	-1.9874357	-0.4166116	-1.1383399	0.98215574	1.7279022
WE015	-1.1266997	-0.30685252	-2.744188	0.95259035	2.4251401
WE016	-0.65590847	-0.40153852	-3.226862	0.54315645	0.7563816
WE017	-1.6195077	0.040427063	-1.8942593	1.5115033	1.8010812
WE018	-3.2663038	-0.04795302	-1.0875028	1.0205909	-0.2754378
WE020	-1.3855388	0.32661378	-1.4888935	0.6767456	-3.1355455
WE021	-1.01048	-0.003466272	-2.4630191	1.2530152	0.22188838
WE023	-0.37464863	0.51002705	-2.635347	1.5931988	-1.3350708
WE024	0.22621998	1.3212298	-2.1965034	1.2940623	-2.692015
WE026	-0.13630487	-0.5906416	-3.0621698	1.4853164	1.455251
WE027	0.30029684	0.5530563	-3.183888	0.867363	0.15399031
WE028	0.7867717	1.0768691	-2.7260706	1.3114481	-3.2610986
WE030	-0.29636726	-0.07957072	-3.4006567	1.9009922	1.8269281
WE031	0.27032712	0.7757959	-2.8109102	1.03157	1.5745974
WE032	-0.026905041	0.27579907	-3.004041	1.3646472	0.9802522
WE035	0.19701037	0.79572684	-3.0844045	0.87588185	0.9800244
WE038	-3.2462227	-0.6464776	-1.0696852	0.7840816	1.656601
WE040	-3.201978	-0.656062	-1.2819057	1.0623482	1.6253313
C101	1.0853274	3.7112317	2.8652992	0.7100551	-0.94987696
C102	2.1487725	4.1359515	2.5219462	0.6945145	-0.029959636
C103	2.8359458	4.7710075	2.1073227	0.6968301	0.46018282
C104	2.517437	4.3683405	2.2033575	0.93898344	0.14505988
C105	2.3018162	4.2821918	1.8068211	0.49343386	-0.31957066
C106	2.9135404	4.796376	1.5683265	0.8960164	-0.11044172
C107	2.4966528	4.417054	2.6725502	0.9503858	-0.5226788
C108	3.0461752	5.3134637	2.504243	0.7459054	0.19763245
C109	2.3002872	4.4632335	2.4637566	0.6880213	-0.20942259
C110	4.614572	6.755244	2.3764546	0.6142797	0.37974337
C111	3.473656	5.59353	2.0612547	0.92502934	0.2768657
C112	3.5142019	5.760211	2.59136	0.74225974	0.8822122
C113	1.3904966	3.4047377	2.1018655	0.5652974	0.81530064
C114	1.8821877	3.9208264	1.5281154	1.2250798	0.3005594
C115	1.4185785	3.5741723	2.018635	1.3232082	0.7785359
C116	2.5392132	4.4087787	2.0346174	0.93981427	0.6254539
C117	1.5081073	4.1195498	2.1959174	1.0519099	-0.3147701
C118	1.6630905	3.79644	2.6977487	0.89566576	-0.29714182
C119	1.9787674	4.1500616	2.8384833	0.8186193	-0.44344032
C120	0.8018477	3.05936	2.606075	1.5137995	-1.3262904
C121	1.8143005	3.2958019	2.0554984	1.1141838	-0.010152771
C122	3.2341647	3.617088	1.1484997	1.3561244	0.83323675
C123	2.208148	3.7456043	1.5743976	1.1279513	0.2198041
C124	1.5117421	3.610076	2.5115929	0.91024613	0.28220335
C125	1.1344539	3.3573453	3.141831	0.97109514	-0.06480877
C126	1.1959146	3.4863694	2.2673454	1.2862431	-0.4658746
C127	0.8087025	3.104775	1.0862993	1.1838338	0.99636024
C128	0.39539403	2.5525167	2.057629	1.128801	-0.6310286
C129	0.97654897	2.9611766	0.6876318	0.66246367	2.5215685
C130	3.5736403	5.0906124	1.72286	1.3536721	0.28763825
C131	6.186046	6.122387	2.2119153	0.82518506	0.43424824
C132	3.0366726	3.9311829	2.4952538	0.2711194	0.33420137
C133	-0.029038597	2.8506246	2.3499205	1.110461	-1.465806
C134	0.807322	3.2213013	0.86240846	0.8908488	1.0013142
