Trait	Eigenvector1	Eigenvector2	Eigenvector3	Eigenvector4	Eigenvector5
S1_64304	-3.878E-3	0.01759	0.02382	0.03705	0.01287
S1_201605	-1.1103E-3	0.01289	0.02718	0.0398	0.00964
S1_201650	0.00191	0.01152	0.03327	0.0458	0.00639
S1_399795	0.0074	-4.7171E-3	-4.0576E-3	-2.5541E-3	0.00541
S1_400190	0.02338	0.01884	0.01056	0.00512	0.06136
S1_413471	-4.5996E-2	-2.4125E-2	-4.0016E-2	-3.6549E-4	-1.2424E-3
S1_458034	0.0096	9.3728E-4	0.02912	0.03552	0.02333
S1_458035	0.00978	7.9157E-4	0.02833	0.03591	0.02135
S1_458079	-1.5579E-2	-5.3467E-2	-2.2176E-2	0.00329	-4.5082E-3
S1_520313	-3.6504E-3	-5.5806E-2	0.02761	0.00871	0.01957
S1_539800	0.00351	-3.4921E-4	0.02854	-3.6408E-2	0.01139
S1_608068	0.03639	0.01817	-8.4597E-4	0.064	2.1351E-4
S1_658759	0.00334	0.00501	0.03276	0.02855	-4.2962E-5
S1_658767	-3.2753E-2	-9.209E-3	-4.0806E-2	0.00403	0.01402
S1_661250	0.0219	-2.8485E-3	-3.1708E-2	-1.5898E-3	0.0221
S1_909302	0.01826	0.00385	-1.5878E-2	0.00836	0.00631
S1_916899	-5.3068E-3	-1.0001E-3	0.03062	0.04717	5.1072E-4
S1_1141872	-3.0633E-4	0.00745	-5.9929E-4	0.00431	-3.5441E-3
S1_1141882	6.5888E-5	0.00669	0.00306	0.00292	-1.265E-2
S1_1141885	1.0479E-4	0.00575	0.00216	0.00256	-1.3035E-2
S1_1141891	0.0041	0.00194	9.7156E-4	0.00202	-7.7898E-3
S1_1141893	-6.8358E-3	0.00973	-1.2837E-2	0.01637	0.00371
S1_1141902	4.8256E-4	0.00868	-4.0167E-3	0.00982	-3.5107E-3
S1_1141924	0.00233	0.00202	-1.8861E-3	0.01369	-7.7861E-3
S1_1141930	-5.7403E-3	-1.7021E-3	-1.4867E-2	0.02202	-5.8059E-3
S1_1141932	0.00373	0.00261	-1.487E-3	0.00938	-1.0679E-2
S1_1141933	-1.4929E-3	0.00714	-4.8662E-2	0.00768	0.03125
S1_1141954	-1.5355E-3	0.00478	-1.8646E-2	0.0191	0.00947
S1_1141972	4.6276E-4	0.00528	-1.4909E-2	0.01393	0.00944
S1_1141977	0.00371	0.00802	-8.2484E-3	0.00813	-5.8236E-4
S1_1141980	0.00237	0.0033	-1.0093E-2	0.01185	5.717E-4
S1_1141988	0.00313	0.00326	-1.1615E-2	0.01513	0.00864
S1_1141989	0.00185	7.9558E-4	-1.292E-2	0.01839	0.00738
S1_1141993	-7.4178E-4	9.6682E-4	-1.6468E-2	0.01647	0.00212
S1_1315585	0.02524	0.00979	-2.3002E-2	0.00448	0.03418
S1_1502440	0.04261	0.0078	-4.316E-2	-7.6088E-3	0.0077
S1_1502479	0.03843	0.00461	-4.1805E-2	5.3308E-4	0.01749
S1_1502480	0.03846	0.00416	-4.1895E-2	-2.834E-5	0.01846
S1_1558899	0.00449	0.00263	0.01582	0.03468	0.00763
S1_1781862	6.8866E-4	-2.1657E-3	0.00686	-3.533E-3	-1.0758E-2
S1_1828634	-1.742E-2	-1.4615E-2	0.00212	0.06705	0.00878
S1_2049323	-6.4772E-3	0.00208	0.0293	0.04372	-4.2934E-3
S1_2076683	-2.7957E-2	0.0241	-1.7345E-2	-4.2372E-3	-2.5922E-3
S1_2174146	0.02501	0.01224	-1.5531E-2	-4.52E-3	0.01634
S1_2338678	-2.7037E-3	0.00725	0.05138	0.02651	0.02263
S1_2338807	0.04408	0.01789	-2.1435E-2	-1.118E-2	0.00935
S1_2338830	0.00766	-1.3119E-3	-1.3902E-3	-9.8541E-3	0.00974
S1_2368833	-2.5074E-3	0.00502	-5.1283E-3	0.00348	0.01281
S1_2439441	0.00931	-5.6991E-4	0.02202	-3.7654E-2	0.01865
S1_2439573	0.0096	-1.6955E-3	0.01986	-4.3907E-2	0.02945
S1_2439640	0.0101	-2.0259E-3	0.01693	-4.1015E-2	0.02817
S1_2457066	0.01037	4.9856E-5	9.7287E-4	-5.223E-3	0.00273
S1_2457247	0.01706	-7.9631E-3	0.01188	-3.7472E-2	0.05348
S1_2460562	0.00494	0.01071	0.02199	0.04317	0.01344
S1_2463099	0.00854	-3.9047E-3	0.01366	-3.9024E-2	0.03356
S1_2463280	0.01057	-2.0572E-3	0.01879	-4.2317E-2	0.03294
S1_2463306	0.00992	-3.2611E-3	0.01732	-3.4397E-2	0.03105
S1_2463316	0.01007	-3.1613E-3	0.01758	-3.4578E-2	0.03216
S1_2640913	-8.3222E-3	-2.9778E-2	0.01348	-2.3102E-2	0.01914
S1_2641016	-8.7963E-3	-2.8963E-2	-1.2692E-2	0.01966	-8.3507E-3
S1_2667882	0.0047	0.00177	0.00116	-8.8789E-4	-1.2966E-2
S1_2714561	0.01924	0.00182	-2.1222E-2	-1.8255E-3	0.03066
S1_2714622	0.00476	8.036E-4	0.02242	-3.4407E-2	0.01014
S1_2821630	0.00861	-2.7302E-3	-1.1991E-4	-1.1462E-2	0.00535
S1_2829156	-1.4028E-2	-4.1677E-2	-1.5758E-2	0.01499	-6.5039E-3
S1_2829247	-1.2379E-2	-3.4721E-2	-1.3228E-2	0.0084	-1.261E-2
S1_2877052	0.02616	0.00247	-3.1143E-2	0.0139	0.01548
S1_2928675	-2.8701E-2	0.02196	-2.2881E-2	-2.9236E-3	-2.8511E-3
S1_2928702	-3.1766E-3	1.1495E-4	-1.5277E-2	0.00385	0.03885
S1_2939770	-2.6541E-2	0.02571	-1.2958E-2	-5.0754E-3	-1.3509E-2
S1_2985924	0.00989	-4.9232E-3	3.9624E-5	-1.0617E-2	0.01091
S1_2985988	-2.6744E-2	0.02562	-1.151E-2	-2.4861E-3	-1.0011E-2
S1_3018133	-2.1706E-2	0.03706	-7.1894E-3	-2.0309E-3	-8.7419E-3
S1_3094790	-2.9176E-2	-9.9517E-3	-3.2586E-2	-5.6132E-3	0.02298
S1_3107712	-3.3462E-2	0.00653	-1.5524E-2	-7.0336E-3	-9.6222E-3
S1_3290296	-8.2406E-4	-1.0415E-3	0.02633	0.01439	0.02414
S1_3333704	-2.3274E-2	0.03301	-7.4233E-3	-4.5281E-3	-8.07E-3
S1_3397179	-1.6665E-2	-3.626E-2	-3.8491E-2	-8.0248E-3	0.00397
S1_3397188	-6.2448E-3	-1.8628E-2	-6.3547E-3	0.00843	-1.4938E-2
S1_3460058	-4.7742E-2	-5.192E-3	-4.3344E-2	0.00218	-4.0056E-3
S1_3460059	-5.0203E-2	-1.228E-2	-4.1024E-2	-7.7671E-3	0.00244
