Trait	Eigenvector1	Eigenvector2	Eigenvector3	Eigenvector4	Eigenvector5
S1_50507	0.01736	0.0262	0.02535	0.00114	-1.2354E-2
S1_50556	0.00179	-4.3709E-3	9.0534E-4	0.0091	-8.3029E-3
S1_118441	0.02216	0.00564	0.02712	-1.331E-2	-1.8712E-3
S1_201605	0.00842	0.00131	-3.3554E-2	0.00716	-3.0731E-2
S1_201650	0.0097	0.0037	-3.8334E-2	0.02009	-1.6247E-2
S1_291008	0.02209	-1.4718E-2	0.03549	-8.9944E-3	0.01573
S1_399795	0.00438	-2.2362E-2	0.00815	0.00285	-5.5783E-3
S1_458034	0.01157	-2.447E-2	-2.234E-2	0.01188	-2.7232E-2
S1_458035	0.01156	-2.5109E-2	-2.2186E-2	0.01059	-2.8E-2
S1_520313	0.028	0.00367	0.00134	0.00126	-3.9162E-2
S1_539800	0.01366	0.02243	0.0196	0.00252	-7.0002E-3
S1_539994	0.00776	-2.8563E-2	0.01305	-5.5071E-3	-4.6392E-3
S1_540037	0.02569	-1.2198E-2	-2.847E-3	-1.7228E-2	-2.3565E-2
S1_608068	0.02924	-7.6859E-3	0.03534	-6.6112E-3	-7.8156E-3
S1_608482	0.01999	0.02957	0.02682	7.4527E-4	-9.4639E-3
S1_658767	0.0109	-3.0737E-2	0.01336	-3.5251E-3	-1.4189E-2
S1_658913	0.02064	-2.3228E-2	-1.9363E-2	0.00695	-1.9647E-2
S1_658928	0.01368	-2.1638E-2	0.01268	0.00405	-3.2477E-3
S1_661250	0.018	-2.7105E-2	-1.4984E-2	0.01647	-3.9744E-2
S1_661266	0.01912	-2.3864E-2	-1.9807E-2	0.0119	-4.1687E-2
S1_810713	0.01051	-1.4746E-2	-2.0933E-2	0.01342	-2.7384E-2
S1_847566	0.02915	-1.0866E-2	-1.195E-2	-9.9197E-3	-2.699E-2
S1_847629	0.02557	-4.1345E-3	-1.5803E-2	-1.5677E-2	-2.3072E-2
S1_847647	0.01369	0.01644	-2.5321E-2	-5.2062E-3	-2.9485E-2
S1_847668	0.00899	-2.7499E-2	0.01323	0.00256	-7.0786E-3
S1_847672	0.01022	-2.3635E-2	0.01792	0.00496	-6.6242E-3
S1_909281	0.03125	0.00489	-8.3743E-4	-2.3644E-2	-2.445E-2
S1_909302	0.0313	-2.3674E-3	-4.4593E-3	-1.625E-2	-2.2278E-2
S1_917083	0.00556	-3.2128E-2	0.01152	0.00218	-3.5868E-3
S1_1141735	0.01637	0.02512	0.02211	-1.4496E-3	-9.2595E-3
S1_1141933	0.02832	0.03741	-1.4426E-2	-9.7266E-3	-3.5185E-2
S1_1141940	-9.0301E-4	-7.7425E-3	0.00349	0.01565	-3.9191E-3
S1_1141945	0.01863	0.02831	0.02651	-6.5133E-3	-9.2663E-3
S1_1147584	0.00399	-2.2637E-2	0.00784	-7.1795E-4	-4.5222E-3
S1_1185567	0.02325	0.02446	-1.2141E-2	-3.3979E-4	-3.0741E-2
S1_1193840	0.02441	-1.1281E-2	0.03347	-1.2755E-2	0.01847
S1_1193848	0.02474	-1.1182E-2	0.03433	-1.5527E-2	0.01484
S1_1234335	0.01598	0.01856	0.02272	-6.764E-4	-5.0912E-3
S1_1243266	-1.1596E-3	-6.5042E-4	-1.6247E-2	-2.3439E-2	-2.5251E-3
S1_1315505	0.01081	-1.9539E-2	-2.1522E-2	0.00504	-2.3378E-2
S1_1315585	0.0281	0.00475	-6.9289E-3	-2.8786E-3	-9.74E-3
S1_1457093	0.0201	0.02097	-3.5927E-3	0.00547	-1.797E-2
S1_1502440	0.02405	0.02725	-2.5812E-2	0.00386	-2.1607E-2
S1_1502479	0.02495	0.02769	-2.3096E-2	-2.8566E-3	-1.3737E-2
S1_1502480	0.02498	0.02768	-2.3152E-2	-2.9161E-3	-1.3479E-2
S1_1502518	0.02293	0.02961	-2.581E-2	-3.2821E-3	-2.6054E-2
S1_1781832	-3.4802E-3	0.00236	-1.6382E-2	-2.5172E-2	0.00381
S1_2155215	0.01252	-2.0186E-2	-2.274E-2	-1.3952E-3	-3.4408E-2
S1_2174146	0.02915	0.00107	-1.1827E-2	-3.6076E-2	-2.0018E-2
S1_2250264	0.03134	-3.7001E-3	-1.3348E-2	-2.0382E-2	-2.6409E-2
S1_2266842	-2.8757E-3	0.00897	-2.1545E-2	-9.3187E-2	0.03397
S1_2338678	0.0237	0.02659	-1.3966E-2	0.01614	-3.6644E-2
S1_2338807	0.03007	0.00334	-1.0673E-2	0.0051	-2.3844E-2
S1_2338830	0.00686	-2.2857E-2	0.00729	-1.012E-2	-1.9492E-3
S1_2368807	-1.1829E-3	-7.9579E-3	-6.8971E-3	-1.4279E-2	0.00704
S1_2413611	0.03142	-8.6724E-3	-2.5782E-3	-2.4618E-3	0.00178
S1_2439441	0.02609	0.00105	0.03067	-9.9479E-3	-7.6241E-3
S1_2439573	0.02621	-6.5025E-3	0.03467	-2.2722E-3	-1.6943E-2
S1_2439640	0.02357	-9.1569E-3	0.03316	-2.3292E-3	-1.2136E-2
S1_2457066	0.00739	-3.7059E-2	0.00946	-4.1183E-3	-6.9096E-3
S1_2457247	0.02441	-1.0684E-2	0.03669	-8.2555E-4	-2.689E-3
S1_2463099	0.02053	-8.5569E-3	0.02619	-1.2129E-3	-3.7014E-3
S1_2463280	0.02616	-9.2775E-3	0.0346	-4.4066E-3	-4.1397E-3
S1_2463306	0.02756	-7.2579E-3	0.03543	-1.175E-2	-3.3161E-4
S1_2463316	0.02617	-4.598E-3	0.03326	-1.5381E-2	-3.5718E-3
S1_2463389	0.02905	-7.9649E-3	0.03684	-1.8437E-2	-9.8356E-3
S1_2637637	-2.7388E-3	-7.4191E-4	0.00682	0.00834	0.00811
S1_2637640	-2.2359E-3	-1.299E-3	0.0068	0.0096	0.00702
S1_2637641	-2.0477E-3	-1.9027E-3	0.00638	0.00784	0.00764
S1_2637647	-1.98E-3	-3.2363E-3	0.00447	0.01394	0.00166
S1_2637648	-1.9159E-3	-3.9535E-3	0.00373	0.0129	2.2061E-4
S1_2637649	-1.9037E-3	-3.528E-3	0.00423	0.01416	9.8901E-4
S1_2637650	-1.8087E-3	-4.0546E-3	0.00425	0.01382	0.00105
S1_2637723	0.01718	0.02709	0.02469	0.00171	-9.4321E-3
S1_2640913	0.01066	0.0162	0.0139	-1.2712E-3	-9.4896E-4
S1_2685555	0.01628	0.02441	0.02118	-5.6933E-4	-5.1356E-3
S1_2709464	0.0142	0.01667	-1.6667E-2	-7.66E-4	-1.5253E-2
S1_2714689	0.01555	0.02037	0.01999	0.00284	-1.9356E-3
S1_2748494	0.01728	0.02164	-2.3967E-2	0.00113	-1.1273E-2
S1_2748495	0.01183	0.01648	0.01405	0.00535	-2.584E-4
S1_2753643	0.0155	-1.0655E-2	0.01744	0.00175	-3.1032E-3
S1_2877052	0.02264	-9.5133E-3	-1.6193E-2	-1.9338E-3	-7.6733E-3
S1_2928702	0.00428	0.01108	-3.678E-3	-4.7407E-2	0.01397
S1_2971739	-1.4093E-3	-7.7168E-4	0.00246	0.00284	0.00178
S1_2971748	-1.5734E-3	-1.1082E-3	-6.596E-4	0.0018	0.00477
S1_2981477	-6.6831E-4	-3.4927E-3	-1.1032E-3	0.00783	0.00158
S1_3018014	0.00634	-3.258E-2	0.00859	-3.2819E-3	-7.937E-3
S1_3021292	0.00663	0.00457	0.00692	-5.5454E-3	0.0159
S1_3094790	0.00605	-1.9863E-2	0.00885	-3.1447E-3	-3.0562E-3
S1_3132364	9.641E-5	-9.1104E-3	0.00149	0.00446	-5.9423E-3
S1_3132365	6.8699E-4	-8.4935E-3	0.00271	0.0079	-3.6331E-4
S1_3263850	0.00116	-2.075E-3	-6.0089E-3	0.01425	-1.4025E-3
S1_3297428	0.00773	0.00675	0.01016	0.00481	-3.49E-3
S1_3333469	-5.7038E-4	0.00359	1.1963E-4	-1.6718E-2	0.0062
S1_3469889	-2.5257E-3	-4.2865E-3	0.00149	0.0301	-9.7112E-3
S1_3568343	3.9186E-4	-6.8983E-3	0.00819	0.02024	-5.4885E-3
S1_3622295	0.00133	5.7579E-4	0.0065	-2.8657E-3	0.0043
S1_3867724	-2.7433E-3	0.01064	-1.5701E-2	-6.4563E-2	0.0228
S1_3867728	0.00107	0.00576	8.8501E-4	-1.647E-2	0.00217
S1_3997550	0.03025	0.01129	-1.4506E-2	-1.7754E-2	-2.9752E-2
S1_3997596	0.03116	0.01	-7.5842E-3	-1.8457E-2	-4.215E-2
S1_3997605	0.0311	0.00956	-7.567E-3	-1.8069E-2	-4.5886E-2
S1_3997690	0.03093	0.00717	-1.0636E-2	-1.3338E-2	-2.4615E-2
S1_3997721	0.03275	0.00494	-9.1172E-3	-1.9436E-2	-1.8909E-2
S1_4016831	0.02932	0.00484	-1.9598E-2	-1.7183E-2	-1.3923E-2
S1_4016870	0.03037	-2.608E-3	-1.858E-2	-3.7502E-2	-8.5809E-3
S1_4016881	-1.5616E-2	0.00763	0.00781	-5.444E-2	0.0459
S1_4017319	0.03238	0.00115	-1.8543E-2	-2.1209E-2	-2.871E-2
S1_4017350	0.0062	5.3821E-4	-3.9537E-2	0.01001	-4.3977E-2
S1_4076043	0.02377	0.00205	-1.0104E-2	-1.3494E-2	-2.5706E-2
S1_4076074	0.02579	6.4911E-4	-4.5232E-3	-2.7221E-3	-5.5109E-3
S1_4080236	0.00333	-2.2417E-3	0.00423	0.01467	-6.0897E-3
S1_4224998	0.02142	0.02407	-1.8687E-2	0.00406	-2.1157E-2
S1_4241688	0.02489	0.02336	-2.0609E-2	-1.8206E-3	-1.7998E-2
S1_4241693	0.02399	0.02519	-1.5099E-2	-1.1424E-3	-1.6308E-2
S1_4241701	0.02195	0.02435	-1.641E-2	-4.6212E-3	-1.4889E-2
S1_4241740	0.02215	0.01824	-1.5134E-2	0.00405	-2.621E-2
S1_4241785	0.02321	0.02239	-2.2319E-2	0.00902	-1.255E-2
S1_4241786	0.02316	0.02255	-2.2223E-2	0.00771	-1.2924E-2
S1_4241794	0.02305	0.02347	-2.3856E-2	0.00464	-2.6707E-2
S1_4241799	0.02468	0.02472	-2.5071E-2	0.00199	-3.1311E-2
S1_4378474	0.02826	0.00262	-5.3409E-3	-1.8797E-2	-1.6779E-2
S1_4454819	-4.7155E-4	-2.7499E-3	-1.7201E-3	-1.8146E-4	-3.7308E-3
S1_4620251	0.01833	-1.0964E-2	0.02244	-1.7298E-3	-2.0181E-3
S1_4620255	0.01883	-1.1332E-2	0.02317	0.00115	-4.4191E-3
S1_4620370	0.01662	-1.7559E-2	0.01974	0.0014	0.00177
S1_4876082	-2.1934E-3	-4.6281E-3	-6.262E-4	0.00675	-4.9691E-3
S1_4889003	-2.5109E-3	-2.7E-3	9.229E-4	0.00982	0.00563
S1_4889209	0.01606	-3.6714E-2	-4.0575E-2	-1.2082E-2	-1.1286E-2
S1_4889215	0.00678	0.00352	-4.4069E-2	0.01715	-3.0594E-2
S1_4889579	0.03074	-2.9976E-3	-9.2928E-3	0.00198	-2.1505E-2
S1_4927172	0.00867	-2.707E-2	0.00924	-9.287E-3	-3.7831E-3
S1_4946375	0.00646	-2.1093E-2	0.00819	-9.613E-5	-5.5118E-3
S1_4989183	0.0073	0.00382	0.00286	-5.861E-3	0.0043
S1_5105178	0.02699	-3.0645E-3	-1.1152E-2	0.00593	-3.3754E-2
S1_5132718	0.02816	-1.5495E-2	-1.2556E-2	0.02517	-2.4978E-2
S1_5132839	0.02801	-1.7171E-2	-1.2357E-2	0.00628	-2.7289E-2
S1_5193665	0.02695	-2.9927E-3	-3.2911E-3	-1.7893E-2	-1.0631E-2
S1_5193668	0.02673	-4.9273E-3	-4.6149E-3	-1.5496E-2	-1.3709E-2
S1_5339922	0.00252	8.6735E-5	0.0063	0.04193	-3.9492E-3
S1_5339950	-4.1575E-3	0.00287	-1.6478E-2	-5.117E-2	0.0025
S1_5339951	5.3565E-4	0.00671	-9.059E-3	-4.7517E-2	0.01149
S1_5339957	0.00133	-2.1244E-3	0.00414	-1.8974E-2	-3.2142E-3
S1_5446577	0.02784	-1.7317E-2	-1.2353E-2	0.02418	-2.4054E-2
S1_5472523	-1.1017E-3	-1.0393E-2	0.00557	0.0152	-8.9455E-3
S1_5482068	0.02861	0.00821	-1.2018E-2	-7.903E-3	-2.621E-2
